research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,C2_VOLUME_ACCELERATING,281,275,142,133,2,4,51.63636363636363,48.04270462633452,1.3386405922044564,1.2892178417728375,0.9187082405345177,0.9482129832239253,62,134,c2_vs_c1_volume_state
DISCOVERY,C2_VOLUME_DECELERATING,3991,3902,1992,1910,12,77,51.05074320861097,46.354297168629415,1.290358500004323,1.2384916923299774,0.9159881569207946,0.8790892059374635,112,161,c2_vs_c1_volume_state
VALIDATION,C2_VOLUME_ACCELERATING,343,329,182,147,13,1,55.319148936170215,47.23032069970846,1.783959895677868,1.5795843581149631,1.3068783068783063,1.1917960088691788,66,144,c2_vs_c1_volume_state
VALIDATION,C2_VOLUME_DECELERATING,3842,3759,1832,1927,56,27,48.736366054801806,47.21499219156689,1.6611472170108115,1.5493669566243617,1.1642758930503934,1.1119612062552362,112,161,c2_vs_c1_volume_state
DISCOVERY,LOW_C2_RVOL_MARKET_OPPOSING,381,371,194,177,0,10,52.2911051212938,46.981627296587924,1.1932234066549865,1.1548964308901328,0.9176316364430731,0.715287607772496,105,121,low_c2_rvol_market_opposition_state
DISCOVERY,OTHER,3891,3806,1940,1866,14,71,50.97214923804519,46.4148033924441,1.3033566337679656,1.2503405339136382,0.9162903331369892,0.9039110190755153,112,161,low_c2_rvol_market_opposition_state
VALIDATION,LOW_C2_RVOL_MARKET_OPPOSING,368,361,212,149,3,4,58.72576177285318,55.43478260869565,1.57261601931857,1.3633033759596462,1.2248427110337303,1.0025311044224436,106,129,low_c2_rvol_market_opposition_state
VALIDATION,OTHER,3817,3727,1802,1925,66,24,48.34987925945801,46.423893109772074,1.6807186682902309,1.5700208645090594,1.1673850574712619,1.1308094278369807,112,161,low_c2_rvol_market_opposition_state
DISCOVERY,NOT_POSITIVE_CANDIDATE,3411,3332,1704,1628,6,73,51.14045618247299,46.027557900908825,1.2726282359638241,1.209632847607276,0.8955696202531594,0.8736559139785065,112,161,positive_candidate_participation_state
DISCOVERY,POSITIVE_BOTH_ABOVE,355,347,170,177,7,1,48.99135446685879,47.04225352112676,1.4132440729462556,1.536464860205597,0.9830056647784129,1.1416434355502336,102,118,positive_candidate_participation_state
DISCOVERY,POSITIVE_BOTH_BELOW,251,246,125,121,0,5,50.8130081300813,48.60557768924303,1.311882000474153,1.3324554057751343,0.9181799632728073,0.8572021236635979,88,111,positive_candidate_participation_state
DISCOVERY,POSITIVE_MIXED,237,234,125,109,1,2,53.41880341880342,48.52320675105485,1.4023074382219598,1.1585676283837065,1.0051762252400116,0.8452975673327576,93,107,positive_candidate_participation_state
DISCOVERY,POSITIVE_UNKNOWN,18,18,10,8,0,0,55.55555555555556,61.111111111111114,1.2062764544756954,1.3645030160668865,0.8766202107869856,0.9986365082779869,16,4,positive_candidate_participation_state
VALIDATION,NOT_POSITIVE_CANDIDATE,3441,3365,1616,1749,50,26,48.02377414561664,46.265620459168844,1.5840020373898527,1.5294899998319764,1.114388725008205,1.1035122982829073,112,161,positive_candidate_participation_state
VALIDATION,POSITIVE_BOTH_ABOVE,263,251,124,127,11,1,49.40239043824701,50.19011406844106,2.2768319398620878,1.9010522146235962,1.7857142857142856,1.3707192927624205,87,113,positive_candidate_participation_state
VALIDATION,POSITIVE_BOTH_BELOW,249,245,141,104,3,1,57.55102040816327,55.82329317269076,1.8155749537171926,1.6365434520213746,1.3244452241031535,1.2253018040421302,89,105,positive_candidate_participation_state
VALIDATION,POSITIVE_MIXED,232,227,133,94,5,0,58.590308370044056,48.706896551724135,2.1232322312726386,1.3966126757028945,1.6448017548460823,1.0409824937117398,88,106,positive_candidate_participation_state
