architecture,direction,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,avg_minutes_to_favorable,avg_minutes_to_adverse,symbol_n,trade_date_n
AE0_CLEAN,BEAR,2553,2503,1173,1330,18,32,46.86376348381942,1.3332426377167839,1.3887861454144512,0.9361606135799665,0.9909320370197273,16.934508816120907,15.026706231454005,113,317
AE0_CLEAN,BULL,2817,2757,1402,1355,30,30,50.85237577076533,1.3378241041117718,1.2847926025549077,0.9843426203085471,0.9461796723980127,16.22835195530726,15.418772563176896,113,318
AE2_RECLAIM,BEAR,4247,4143,2067,2076,37,67,49.8913830557567,1.4546337799523676,1.3932330129154733,1.023641238118454,0.9939083039435659,16.049429657794676,13.934690014197823,113,322
AE2_RECLAIM,BULL,4310,4190,2112,2078,46,74,50.40572792362769,1.4813390742497765,1.376283209671797,1.0234063935616668,0.9668838694030402,15.0032437442076,15.506120527306967,113,322
AE3_COLOR_RELAXED,BEAR,945,940,457,483,3,2,48.61702127659574,1.3156167344157836,1.2737233369816383,0.9518864659051576,0.9897292250233449,15.16304347826087,14.174897119341564,111,295
AE3_COLOR_RELAXED,BULL,998,983,475,508,3,12,48.32146490335707,1.2483120836528538,1.3474883003618396,0.9367750053366574,1.0319934175702405,17.742677824267783,12.66536203522505,112,292
AE4_RECLAIM_C3,BEAR,1982,1934,1044,890,12,36,53.98138572905894,1.4398255942390354,1.4044481055288833,1.028743013529629,0.9902278469222074,17.367424242424242,14.171840354767184,113,317
AE4_RECLAIM_C3,BULL,2021,1975,1052,923,12,34,53.265822784810126,1.5163355620277819,1.3330999649742543,1.0611122027903304,0.95606753101389,16.61466165413534,18.190374331550803,113,318
AE5_COLOR_C3,BEAR,440,435,202,233,4,1,46.4367816091954,1.300517036374355,1.2623691237508394,0.9274775445752375,0.8773431031939615,16.771844660194176,14.822784810126583,105,222
AE5_COLOR_C3,BULL,495,489,240,249,3,3,49.079754601226995,1.255624286824366,1.2722314195282791,0.9351936367192627,1.018260145885354,13.366255144032921,15.46031746031746,109,229
NC_VWAP_CLOSE_FAIL,BEAR,5415,5282,2676,2606,40,93,50.66262779250284,1.382414275925384,1.351104200539207,0.9809691975671964,0.9527634961439692,15.202503681885124,15.171201814058957,113,322
NC_VWAP_CLOSE_FAIL,BULL,5242,5122,2645,2477,53,67,51.63998438110113,1.414623509867387,1.3642622395492545,1.0322836257856987,0.9678677841038459,14.015567086730911,16.108695652173914,113,322
