column,dtype,non_null_n,bucket
c1_open,float64,8307,C1_ONLY
c1_high,float64,8307,C1_ONLY
c1_low,float64,8307,C1_ONLY
c1_close,float64,8307,C1_ONLY
c1_volume,float64,8307,C1_ONLY
c1_vwap,float64,8307,C1_ONLY
c2_open,float64,8307,C2_ONLY
c2_high,float64,8307,C2_ONLY
c2_low,float64,8307,C2_ONLY
c2_close,float64,8307,C2_ONLY
c2_volume,float64,8307,C2_ONLY
c2_vwap,float64,8307,C2_ONLY
c3_open,float64,8276,OTHER_RELEVANT
c3_high,float64,8276,OTHER_RELEVANT
c3_low,float64,8276,OTHER_RELEVANT
c3_close,float64,8276,OTHER_RELEVANT
c3_volume,float64,8276,OTHER_RELEVANT
c3_vwap,float64,8276,OTHER_RELEVANT
c1_direction_aligned,bool,8307,C1_ONLY
c1_vwap_close_ok,bool,8307,C1_ONLY
c2_direction_aligned,bool,8307,C2_ONLY
c2_vwap_close_ok,bool,8307,C2_ONLY
c2_no_touch_ok,bool,8307,C2_ONLY
c2_vwap_touch_or_cross,bool,8307,C2_ONLY
c1_body_to_range_pct,float64,8307,C1_ONLY
c2_body_to_range_pct,float64,8307,C2_ONLY
c1_favorable_clv_pct,float64,8307,C1_ONLY
c2_favorable_clv_pct,float64,8307,C2_ONLY
c1_favorable_wick_pct,float64,8307,C1_ONLY
c2_favorable_wick_pct,float64,8307,C2_ONLY
c1_adverse_wick_pct,float64,8307,C1_ONLY
c2_adverse_wick_pct,float64,8307,C2_ONLY
c1_favorable_body_return_pct,float64,8307,C1_ONLY
c2_favorable_body_return_pct,float64,8307,C2_ONLY
c1_favorable_vwap_distance_pct,float64,8307,C1_ONLY
c2_favorable_vwap_distance_pct,float64,8307,C2_ONLY
c2_vwap_penetration_pct,float64,8307,C2_ONLY
c1_to_c2_close_progress_pct,float64,8307,EXPLICIT_C1_TO_C2
c2_to_c1_volume_ratio,float64,8307,EXPLICIT_C1_TO_C2
c1_range_pct,float64,8307,C1_ONLY
c2_range_pct,float64,8307,C2_ONLY
clv_change_pp,float64,8307,OTHER_RELEVANT
vwap_distance_change_pp,float64,8307,OTHER_RELEVANT
c1_body_to_range_pct__bucket,str,8307,C1_ONLY
c2_body_to_range_pct__bucket,str,8307,C2_ONLY
c1_favorable_clv_pct__bucket,str,8307,C1_ONLY
c2_favorable_clv_pct__bucket,str,8307,C2_ONLY
c1_favorable_wick_pct__bucket,str,8307,C1_ONLY
c2_favorable_wick_pct__bucket,str,8307,C2_ONLY
c1_adverse_wick_pct__bucket,str,8307,C1_ONLY
c2_adverse_wick_pct__bucket,str,8307,C2_ONLY
c1_favorable_body_return_pct__bucket,str,8307,C1_ONLY
c2_favorable_body_return_pct__bucket,str,8307,C2_ONLY
c1_favorable_vwap_distance_pct__bucket,str,8307,C1_ONLY
c2_favorable_vwap_distance_pct__bucket,str,8307,C2_ONLY
c2_vwap_penetration_pct__bucket,str,8307,C2_ONLY
c1_to_c2_close_progress_pct__bucket,str,8307,EXPLICIT_C1_TO_C2
c2_to_c1_volume_ratio__bucket,str,8307,EXPLICIT_C1_TO_C2
c1_range_pct__bucket,str,8307,C1_ONLY
c2_range_pct__bucket,str,8307,C2_ONLY
clv_change_pp__bucket,str,8307,OTHER_RELEVANT
vwap_distance_change_pp__bucket,str,8307,OTHER_RELEVANT
