feature,direction,bucket,n,c3_confirmed_n,c3_confirmation_pct,binary_n,favorable_first_pct,avg_feature_value,median_feature_value
c1_body_to_range_pct,BEAR,"(0.088, 25.0]",841,392,46.611177170035674,821,48.96467722289891,13.445653898798993,13.723365836041701
c1_body_to_range_pct,BEAR,"(25.0, 44.063]",803,369,45.952677459526775,784,49.234693877551024,34.80207034489279,35.0000000000032
c1_body_to_range_pct,BEAR,"(44.063, 59.092]",834,373,44.724220623501196,818,48.655256723716384,51.796527018577805,52.107432918679606
c1_body_to_range_pct,BEAR,"(59.092, 75.0]",814,400,49.14004914004914,801,52.43445692883895,66.94425287098235,66.66666666667248
c1_body_to_range_pct,BEAR,"(75.0, 100.0]",845,397,46.98224852071006,825,50.303030303030305,87.95480691056336,87.24150664697204
c1_body_to_range_pct,BULL,"(0.088, 25.0]",825,403,48.84848484848485,803,50.186799501867995,13.626889771393351,14.110429447850429
c1_body_to_range_pct,BULL,"(25.0, 44.063]",854,390,45.667447306791566,830,48.433734939759034,34.3992991977903,34.375000000000995
c1_body_to_range_pct,BULL,"(44.063, 59.092]",827,388,46.916565900846436,809,50.30902348578492,52.08826656785554,52.335164835165024
c1_body_to_range_pct,BULL,"(59.092, 75.0]",848,409,48.2311320754717,833,52.94117647058823,66.79010114723751,66.66666666666667
c1_body_to_range_pct,BULL,"(75.0, 100.0]",816,369,45.220588235294116,794,50.8816120906801,87.26830319354588,86.4605638375032
c2_body_to_range_pct,BEAR,"(0.00432, 22.3]",846,391,46.21749408983452,832,50.36057692307692,11.847090519276012,12.404965804146336
c2_body_to_range_pct,BEAR,"(22.3, 41.935]",842,412,48.93111638954869,817,49.81640146878825,32.081388572710075,32.00000000000027
c2_body_to_range_pct,BEAR,"(41.935, 60.805]",808,370,45.79207920792079,792,51.26262626262626,51.670485613755964,51.83833468504899
c2_body_to_range_pct,BEAR,"(60.805, 78.112]",828,393,47.46376811594203,813,50.18450184501845,69.43262212769282,69.32125307125254
c2_body_to_range_pct,BEAR,"(78.112, 100.0]",813,365,44.895448954489545,795,47.924528301886795,89.10840443726742,88.57142857142706
c2_body_to_range_pct,BULL,"(0.00432, 22.3]",816,400,49.01960784313726,799,52.065081351689614,11.481226186193402,11.621224171304995
c2_body_to_range_pct,BULL,"(22.3, 41.935]",819,388,47.37484737484738,796,50.12562814070352,32.29973864492567,32.142857142856315
c2_body_to_range_pct,BULL,"(41.935, 60.805]",853,417,48.8862837045721,832,53.125,51.41150255640978,51.428571428570116
c2_body_to_range_pct,BULL,"(60.805, 78.112]",833,382,45.85834333733494,811,48.95191122071517,69.25373150669918,69.41176470588321
c2_body_to_range_pct,BULL,"(78.112, 100.0]",849,372,43.81625441696113,831,48.49578820697954,89.34129005939201,88.84297520661096
c1_favorable_clv_pct,BEAR,"(49.999, 62.797]",851,381,44.770857814336075,835,45.98802395209581,56.62661895705133,56.78271308523326
