research_period,month_number,month_name,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
DISCOVERY,1,JANUARY,157,157,111,46,0,0,70.70063694267516,54.140127388535035,2.091132947013226,1.074512381380562,1.8012035692052306,0.704942498463697,89,5
DISCOVERY,5,MAY,118,116,72,44,0,2,62.06896551724138,58.47457627118644,1.218532194838374,1.0688332706747328,0.8836000596079976,0.6929182391751447,77,5
DISCOVERY,6,JUNE,571,562,286,276,0,9,50.88967971530249,49.21190893169877,1.1752219074663275,1.1894677141113934,0.8684707363121432,0.9209888511875972,111,20
DISCOVERY,7,JULY,630,614,284,330,4,12,46.25407166123779,42.53968253968254,1.1985063256782247,1.2299864172413097,0.8611308770326627,0.8897808873518727,111,22
DISCOVERY,8,AUGUST,510,502,232,270,2,6,46.21513944223108,41.76470588235294,1.0883647245143246,1.3269007989940815,0.8044470910854673,0.9431335044675586,110,21
DISCOVERY,9,SEPTEMBER,485,474,227,247,3,8,47.89029535864979,42.06185567010309,1.162258275848151,1.1773201460275025,0.8731535195263488,0.8795542756980159,109,21
DISCOVERY,10,OCTOBER,600,586,311,275,3,11,53.0716723549488,46.5,1.453547705359396,1.3495084556278547,1.046365425201898,0.8917876232039367,110,23
DISCOVERY,11,NOVEMBER,481,479,232,247,0,2,48.43423799582463,48.024948024948024,1.6249651073087725,1.4085454909248234,1.1522431968619733,1.091108152829784,108,19
DISCOVERY,12,DECEMBER,621,588,325,263,2,31,55.27210884353742,48.470209339774556,1.1436893530622938,1.1319832924209308,0.8342194184517109,0.7204148120956239,111,22
VALIDATION,1,JANUARY,427,426,228,198,0,1,53.521126760563384,51.288056206088996,1.3521684910059921,1.3425423025628163,0.9969630970275161,1.0309278350515556,109,15
VALIDATION,2,FEBRUARY,476,456,214,242,19,1,46.92982456140351,44.747899159663866,1.8967302262697319,1.6731046268688572,1.3945272350460738,1.146722680739295,110,19
VALIDATION,3,MARCH,509,502,257,245,5,2,51.19521912350598,44.20432220039293,1.550015004759881,1.4451877691203512,1.1643844617124612,1.151751267115519,109,22
VALIDATION,4,APRIL,582,570,266,304,8,4,46.666666666666664,43.81443298969072,1.4745867206193624,1.418940354414952,1.020885646709195,1.1339685072810104,112,21
VALIDATION,5,MAY,515,506,263,243,4,5,51.976284584980235,50.679611650485434,1.8528924875123787,1.5473519514378309,1.212250755748258,1.0188846824116071,111,20
VALIDATION,6,JUNE,530,517,270,247,10,3,52.22437137330754,49.43396226415094,1.9896180665223873,1.7864579950955903,1.4647056169489112,1.1641048216723422,110,21
VALIDATION,7,JULY,582,568,274,294,12,2,48.23943661971831,49.48453608247423,1.74264631885648,1.6606330636500362,1.274473588906012,1.2178050270925471,112,22
VALIDATION,8,AUGUST,513,495,226,269,9,9,45.656565656565654,46.00389863547758,1.4682500872892774,1.5043523853046878,1.0061870283109353,1.0869356480325636,112,19
