feature,quarter,state,share_of_quarter_binary_pct,total_n,binary_n,favorable_n,adverse_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
market_prior_5d_consensus,2025Q2,CONSENSUS_OPPOSING,100.0,40,40,27,13,67.5,1.7408342506873034,1.1572996859064153,1.307080871631775,0.8553876146790973,34,15
market_prior_5d_consensus,2025Q3,CONSENSUS_OPPOSING,100.0,152,152,67,85,44.078947368421055,1.0861105765499428,1.4332238784244495,0.8238280026462019,1.1627175401783318,81,53
market_prior_5d_consensus,2025Q4,CONSENSUS_OPPOSING,100.0,137,137,85,52,62.043795620437955,1.470159118974908,1.5037669164190162,1.1029524716581078,0.9344733087547196,77,44
market_prior_5d_consensus,2026Q1,CONSENSUS_OPPOSING,100.0,175,175,107,68,61.142857142857146,2.078759270427269,1.2299633783416801,1.6078713702903809,0.9007287714605485,85,43
market_prior_5d_consensus,2026Q2,CONSENSUS_OPPOSING,100.0,160,160,90,70,56.25,1.8114285425397036,1.3612190784347409,1.5115779678010703,1.0039714208004642,76,47
market_prior_5d_consensus,2026Q3,CONSENSUS_OPPOSING,100.0,89,89,53,36,59.550561797752806,1.8903076618482666,2.104766216441653,1.3590679913347568,1.298408674834534,64,32
market_3idx_prior_5d_state,2025Q2,ALL_3_OPPOSING,95.0,38,38,26,12,68.42105263157895,1.724079535709627,1.1925251315817897,1.226501310135903,0.8857268657704382,33,14
market_3idx_prior_5d_state,2025Q2,MAJORITY_OPPOSING,5.0,2,2,1,1,50.0,2.059173835263144,0.48801621807429924,2.059173835263144,0.48801621807429924,2,1
market_3idx_prior_5d_state,2025Q3,ALL_3_OPPOSING,77.63157894736842,118,118,54,64,45.76271186440678,1.0505196150409002,1.4785971648300429,0.7852398872354793,1.177297267565348,75,42
market_3idx_prior_5d_state,2025Q3,MAJORITY_OPPOSING,22.36842105263158,34,34,13,21,38.23529411764706,1.2096321488460324,1.275751884428568,1.1447863708639767,1.0901985876469533,29,11
