research_period,model_id,binary_retention_pct,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
DISCOVERY,M0_BASELINE,100.0,4173,4078,2080,1998,14,81,51.00539480137322,1.2894643104203354,1.2429415372277186,0.9117307271989309,0.8829300196206656,112,158
DISCOVERY,M1_AVOIDANCE_FILTER,74.27660617949975,3097,3029,1585,1444,13,55,52.3275008253549,1.3037223046145099,1.2383316798920012,0.9348639102430791,0.8817952541374355,112,158
DISCOVERY,M2_POSITIVE_ONLY,8.925944090240314,376,364,204,160,8,4,56.043956043956044,1.4138778325867125,1.4348176072728294,1.0585624590950897,0.9889100053457252,107,117
DISCOVERY,M3_TRIAGE_PREFERRED,8.925944090240314,376,364,204,160,8,4,56.043956043956044,1.4138778325867125,1.4348176072728294,1.0585624590950897,0.9889100053457252,107,117
DISCOVERY,M4_TRIAGE_STANDARD_PLUS,74.27660617949975,3097,3029,1585,1444,13,55,52.3275008253549,1.3037223046145099,1.2383316798920012,0.9348639102430791,0.8817952541374355,112,158
VALIDATION,M0_BASELINE,100.0,4134,4040,1998,2042,67,27,49.45544554455446,1.669945887969717,1.55128626885158,1.1704154967208127,1.122054386808543,112,159
VALIDATION,M1_AVOIDANCE_FILTER,76.50990099009901,3156,3091,1585,1506,53,12,51.27790359107085,1.7159828454074926,1.528080667731871,1.1977986084248462,1.100747711319395,112,159
VALIDATION,M2_POSITIVE_ONLY,9.628712871287128,396,389,225,164,5,2,57.840616966580974,1.9212325834659734,1.4780611304531448,1.4895075291353246,0.9667865674333105,110,117
VALIDATION,M3_TRIAGE_PREFERRED,9.628712871287128,396,389,225,164,5,2,57.840616966580974,1.9212325834659734,1.4780611304531448,1.4895075291353246,0.9667865674333105,110,117
VALIDATION,M4_TRIAGE_STANDARD_PLUS,76.50990099009901,3156,3091,1585,1506,53,12,51.27790359107085,1.7159828454074926,1.528080667731871,1.1977986084248462,1.100747711319395,112,159
ALL,M0_BASELINE,100.0,8307,8118,4078,4040,81,108,50.23404779502341,1.4788119499519523,1.3963900891156495,1.0398273494212305,0.9950898453823659,112,317
ALL,M1_AVOIDANCE_FILTER,75.3880266075388,6253,6120,3170,2950,66,67,51.79738562091503,1.5117975111941762,1.3845731328941808,1.0647633534195244,0.9865684060382721,112,317
ALL,M2_POSITIVE_ONLY,9.275683665927568,772,753,429,324,13,6,56.97211155378486,1.6741271607579395,1.456999518126981,1.2461256553211726,0.9847686162617109,112,234
ALL,M3_TRIAGE_PREFERRED,9.275683665927568,772,753,429,324,13,6,56.97211155378486,1.6741271607579395,1.456999518126981,1.2461256553211726,0.9847686162617109,112,234
ALL,M4_TRIAGE_STANDARD_PLUS,75.3880266075388,6253,6120,3170,2950,66,67,51.79738562091503,1.5117975111941762,1.3845731328941808,1.0647633534195244,0.9865684060382721,112,317
