model_id,symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
M0_BASELINE,AAPL,40,39,20,19,0,1,51.282051282051285,1.0025785312509654,0.937065102609995,0.7757651168006631,0.8922673428734906,1,40
M0_BASELINE,ABBV,30,29,13,16,1,0,44.827586206896555,1.0800557683755796,1.1982458815324215,0.9770268955672431,1.0129729159903946,1,30
M0_BASELINE,ABNB,30,30,14,16,0,0,46.666666666666664,1.302200518076784,1.5144682941730163,1.1351321363709932,1.1757194622617684,1,30
M0_BASELINE,ADBE,40,40,18,22,0,0,45.0,2.0316232474357063,1.4628385253912426,2.149458433880024,1.570145143377644,1,40
M0_BASELINE,AMAT,43,41,23,18,2,0,56.09756097560975,2.6716259454383473,1.944909085406245,1.8500441593455073,1.7280466453020802,1,43
M0_BASELINE,AMD,48,48,23,25,0,0,47.916666666666664,2.5894722292719106,2.1507374088724998,1.9843243615325683,1.6344889424421853,1,48
M0_BASELINE,AMGN,32,32,17,15,0,0,53.125,1.242039544251328,1.101296060993253,0.9789497668341571,0.8397169472122672,1,32
M0_BASELINE,AMZN,44,44,18,26,0,0,40.90909090909091,1.0028027683210665,1.4041156911499224,0.9186975727111352,0.8929701679946773,1,44
M0_BASELINE,ANET,37,36,25,11,1,0,69.44444444444444,2.4664481285281328,1.833144678012929,1.9999999999999942,1.666345169379612,1,37
M0_BASELINE,APP,54,50,25,25,4,0,50.0,3.158198027933082,2.1309995429982775,2.8626218387138533,1.7903077643204037,1,54
M0_BASELINE,ARM,45,40,22,18,5,0,55.0,3.5385750736393717,2.5496954942779504,2.429436147114939,1.7910572678007244,1,45
M0_BASELINE,ASML,42,42,23,19,0,0,54.76190476190476,1.931127152093548,1.220166561446987,1.7465785917570849,0.9807438905327639,1,42
M0_BASELINE,AVGO,32,30,8,22,2,0,26.666666666666668,1.2332010155202489,1.9028004566655607,0.7985349440110723,1.4700232638153592,1,32
M0_BASELINE,AXON,28,27,11,16,1,0,40.74074074074074,2.4380244930803263,3.2108656001929368,2.08548910252932,2.7470491127464864,1,28
M0_BASELINE,AXP,27,27,13,14,0,0,48.148148148148145,1.1977700315865911,1.209855252982359,1.1005569261223531,0.9042487303356918,1,27
M0_BASELINE,BA,46,46,20,26,0,0,43.47826086956522,1.5174703209362193,1.1537823461038264,1.329673352673399,0.7597252636502871,1,46
M0_BASELINE,BAC,31,31,11,20,0,0,35.483870967741936,0.5991365208750684,1.3618513815789144,0.39682539682539847,1.3444876008365785,1,31
M0_BASELINE,BKNG,37,36,17,19,1,0,47.22222222222222,1.2602080991229194,1.8986635076634328,0.7435665330402209,1.8508897259384487,1,37
M0_BASELINE,BLK,18,18,10,8,0,0,55.55555555555556,1.9856302392253613,1.2463344835857773,1.5511735972148615,0.9188413168454325,1,18
M0_BASELINE,BMY,34,33,17,16,1,0,51.515151515151516,1.1429413315714683,1.339152311918957,0.8068920666795911,1.1372725009499645,1,34
M0_BASELINE,C,49,49,31,18,0,0,63.265306122448976,1.1834443678731235,1.6122674198610694,0.8237838832896224,1.214437367303615,1,49
M0_BASELINE,CAT,29,29,12,17,0,0,41.37931034482759,1.3091015175829814,1.6231945781733292,1.0264416688812097,1.2899725396403554,1,29
M0_BASELINE,CEG,29,28,13,15,1,0,46.42857142857143,1.7628967837599825,1.572426072919964,1.411887746208804,1.1386610885985096,1,29
M0_BASELINE,CMCSA,28,28,12,16,0,0,42.857142857142854,0.9634430316152428,1.5367011912559723,0.6963897153591478,1.4594501279943701,1,28
M0_BASELINE,CME,30,30,9,21,0,0,30.0,0.9596743773489327,1.5047276464477493,0.5057373818008513,1.2028208951096633,1,30
M0_BASELINE,CMG,34,33,16,17,1,0,48.484848484848484,1.8489265518580509,1.3818919258730407,1.6240207082697262,1.1688488041566163,1,34
M0_BASELINE,COIN,50,47,23,24,3,0,48.93617021276596,2.503056190563239,3.0444407988933726,1.8270461686983923,2.6116800436937817,1,50
M0_BASELINE,COP,33,33,20,13,0,0,60.60606060606061,1.4255313520165624,0.7717696518383802,1.2257651017465159,0.6130790190735685,1,33
M0_BASELINE,COST,44,44,20,24,0,0,45.45454545454545,0.7875033906975658,0.9342512713696686,0.6283772000866947,0.7746188708227608,1,44
M0_BASELINE,CRM,40,40,22,18,0,0,55.0,1.9831134507623838,1.7382686915160313,1.3971920354199363,1.1835850760379092,1,40
M0_BASELINE,CRWD,32,32,12,20,0,0,37.5,2.2751990280419503,1.9424561624931815,1.870184136439743,1.8716130049118809,1,32
M0_BASELINE,CSCO,27,27,10,17,0,0,37.03703703703704,1.1747000298683292,1.4892814458289385,0.8870424432966608,0.8713133333535948,1,27
M0_BASELINE,CVS,36,35,18,17,1,0,51.42857142857143,1.3040316511818226,1.1795259046036053,0.9576696817712265,0.8160733340324573,1,36
M0_BASELINE,CVX,38,38,16,22,0,0,42.10526315789474,0.79380311676818,1.1337190061191122,0.7272483066900295,0.9355225618946079,1,38
M0_BASELINE,DASH,32,31,14,17,1,0,45.16129032258065,2.1019753958414835,2.30259997119338,1.590209232987156,1.8055128944338297,1,32
M0_BASELINE,DDOG,45,43,26,17,2,0,60.46511627906977,2.831492150686911,2.388060937453702,2.4466689343505497,1.902807573920336,1,45
M0_BASELINE,DE,22,22,7,15,0,0,31.818181818181817,1.766554200228842,1.0412574299409094,1.440676661750423,0.8671775020692065,1,22
M0_BASELINE,DELL,47,43,21,22,4,0,48.83720930232558,3.508484822435863,2.2015227566349447,2.805996375816821,1.7732415783911943,1,47
M0_BASELINE,DIS,42,42,23,19,0,0,54.76190476190476,0.9744061146193307,0.9237274646494855,0.7710593753588211,0.6474125247873094,1,42
M0_BASELINE,EOG,21,21,11,10,0,0,52.38095238095238,1.020486820698018,1.4716923171070604,0.915626843818972,1.132854261539285,1,21
M0_BASELINE,ETN,26,26,13,13,0,0,50.0,1.6212765000387939,1.3131906616978837,1.5130687732465078,0.9753140748135831,1,26
M0_BASELINE,FDX,25,25,17,8,0,0,68.0,1.5467081051953542,0.8330402482013983,1.387109353239379,0.5544603252833944,1,25
M0_BASELINE,GE,35,35,15,20,0,0,42.857142857142854,1.3289431656196482,1.4706664671147807,0.8395677472984132,1.3102995967235516,1,35
M0_BASELINE,GILD,29,29,15,14,0,0,51.724137931034484,1.2287910724549647,1.1831343390943236,1.0869565217391304,0.9522381345129952,1,29
M0_BASELINE,GOOG,34,34,18,16,0,0,52.94117647058823,1.4632541258724094,1.200957488565849,0.8954363544306652,0.8723610333422346,1,34
M0_BASELINE,GS,45,45,21,24,0,0,46.666666666666664,1.3353239438605813,1.4340013043348592,0.9731834762890708,1.210038693670196,1,45
M0_BASELINE,HAL,36,35,21,14,1,0,60.0,1.1087830467065238,1.5679123978956975,1.0455209241363628,1.288298597499987,1,36
M0_BASELINE,HD,41,41,20,21,0,0,48.78048780487805,1.1304834709228555,1.1389548033008587,0.9831148346391446,0.8069684406021623,1,41
M0_BASELINE,HON,26,26,16,10,0,0,61.53846153846154,1.3777491557697188,1.1890951578396356,0.9448282966608922,0.9679752550625103,1,26
M0_BASELINE,HOOD,45,43,28,15,2,0,65.11627906976744,2.887436282670728,2.3246023271428506,2.271203486423059,1.4403907496012833,1,45
M0_BASELINE,IBM,32,32,20,12,0,0,62.5,1.884728763467087,1.3547405272263924,1.4315979937161263,1.2252520151492314,1,32
M0_BASELINE,INTC,44,44,21,23,0,0,47.72727272727273,3.0860824385092327,2.9114820904442866,2.3234474996407597,2.4293044980925025,1,44
M0_BASELINE,ISRG,26,26,13,13,0,0,50.0,1.4993802085456376,1.2734456649324697,1.2883216675748463,0.7386619561058858,1,26
M0_BASELINE,IWM,55,49,24,25,0,6,48.97959183673469,0.7218260381238738,0.7802662386450859,0.5184813513965585,0.5821718434300157,1,55
M0_BASELINE,JNJ,36,35,17,18,0,1,48.57142857142857,0.8169571951964788,0.9341015854116053,0.5643969235479012,0.8249531685250144,1,36
M0_BASELINE,JPM,35,35,22,13,0,0,62.857142857142854,0.8951708372654043,1.0610225992952813,0.8288488897136164,0.5399615323724316,1,35
M0_BASELINE,KLAC,35,35,21,14,0,0,60.0,2.7974069784456934,2.1075855861917447,1.9353273769990003,1.3552542372881324,1,35
M0_BASELINE,LLY,41,40,25,15,1,0,62.5,1.4477376546279788,1.5772876379296652,1.1517034347055979,1.2216233872284856,1,41
M0_BASELINE,LMT,26,26,13,13,0,0,50.0,1.4331168633445455,1.2381344896082516,1.2109924516408817,1.2489857653247878,1,26
M0_BASELINE,LOW,18,18,11,7,0,0,61.111111111111114,1.1770574094304385,0.8605379331378445,0.9604630837768497,0.7927814326730639,1,18
M0_BASELINE,LRCX,44,44,21,23,0,0,47.72727272727273,2.550074359632903,2.363453127952933,1.9891634029806604,2.0272406561966374,1,44
M0_BASELINE,LULU,35,34,18,16,1,0,52.94117647058823,1.8887808893287512,1.9774809612792938,1.5609960242728682,1.5372920010136053,1,35
M0_BASELINE,MA,32,32,12,20,0,0,37.5,1.0332550481313207,0.9888530478267441,0.8443824820561231,0.844404990404978,1,32
M0_BASELINE,MCD,40,40,16,24,0,0,40.0,0.7409162910651576,0.899409743399022,0.6356457231288345,0.6120863003704671,1,40
M0_BASELINE,META,50,50,26,24,0,0,52.0,1.2537227077270159,1.2740785668877475,1.0495993524064984,1.1891320486680645,1,50
M0_BASELINE,MNDY,35,31,12,19,4,0,38.70967741935484,2.8989278664507365,2.7741743729171495,2.8958210712183563,1.9969040247678118,1,35
M0_BASELINE,MRK,33,33,17,16,0,0,51.515151515151516,1.0629930068531535,1.2076819738095401,1.0630876021439282,0.7826239887442847,1,33
M0_BASELINE,MRNA,35,33,22,11,2,0,66.66666666666667,3.2618176221021877,3.0749609819387738,3.3092037228541913,2.402016853801434,1,35
M0_BASELINE,MRVL,49,47,23,24,2,0,48.93617021276596,3.6271322131748454,2.2263676381965665,3.0844681778065772,1.6538517336428062,1,49
M0_BASELINE,MS,32,32,15,17,0,0,46.875,0.9370927265540117,1.5496917629231373,0.6088085076878464,1.0786988813933385,1,32
M0_BASELINE,MSFT,44,43,16,27,0,1,37.2093023255814,1.0310473940195595,1.0510813618198218,0.9691028188048897,0.9048549699890848,1,44
M0_BASELINE,MU,46,43,20,23,3,0,46.51162790697674,3.6422952928327534,2.565553199997623,2.635935629598197,1.906066134822781,1,46
M0_BASELINE,NEE,33,33,12,21,0,0,36.36363636363637,0.6631311852447234,1.0284072030195976,0.5020320344250558,0.9366270471599979,1,33
M0_BASELINE,NFLX,45,44,19,25,1,0,43.18181818181818,1.392135288866608,1.2513520967980951,1.110733310665311,1.002865167459029,1,45
M0_BASELINE,NKE,39,37,18,19,2,0,48.648648648648646,1.1956429561500836,1.6352665667687027,0.9573396036278138,1.4237760876968235,1,39
M0_BASELINE,NOW,41,40,21,19,1,0,52.5,2.143832429888093,1.8822134127029218,1.7815793204479853,1.50885900421033,1,41
M0_BASELINE,NVDA,50,50,24,26,0,0,48.0,1.6400314338256958,1.2881163521100862,1.3915205062256528,1.0152629745598423,1,50
M0_BASELINE,ORCL,48,46,27,19,2,0,58.69565217391305,2.3534982736047807,2.109593053187803,1.9759231425361694,1.563595078093841,1,48
M0_BASELINE,OXY,45,45,16,29,0,0,35.55555555555556,1.0763360683199312,1.419203164461247,0.7243784653908087,1.0228848821081766,1,45
M0_BASELINE,PANW,30,30,12,18,0,0,40.0,1.7883655046043712,1.6937429619114117,1.786677616594147,1.451547732356068,1,30
M0_BASELINE,PEP,33,32,16,16,0,1,50.0,0.8015856558547956,0.9929490538479508,0.5720682621711911,0.9628432956381319,1,33
M0_BASELINE,PFE,36,36,17,19,0,0,47.22222222222222,0.9858524450728806,0.8597872453502152,0.6881649577319922,0.7324139605458698,1,36
M0_BASELINE,PLTR,36,35,15,20,1,0,42.857142857142854,2.1571283407621933,1.948513921045483,1.5405239210929458,1.6610942267528404,1,36
M0_BASELINE,PYPL,40,40,21,19,0,0,52.5,1.4281634988013885,1.5066036891290921,0.990498843591992,1.1890630122652799,1,40
M0_BASELINE,QCOM,41,38,21,17,3,0,55.26315789473684,2.288626927099252,1.8522581353829308,2.000237651998262,1.2564957729000268,1,41
M0_BASELINE,QQQ,62,59,28,31,0,3,47.45762711864407,0.7305980939424479,0.6813325838680352,0.5702405015991334,0.6514337376045447,1,62
M0_BASELINE,RBLX,33,32,17,15,1,0,53.125,2.3526409242190165,2.462293711575581,1.9419419419419395,2.2228102672664627,1,33
M0_BASELINE,REGN,19,19,8,11,0,0,42.10526315789474,1.5737204929210438,1.1016624044187644,1.371332986160434,0.8761697384451863,1,19
M0_BASELINE,RTX,34,34,23,11,0,0,67.6470588235294,1.3742970717734282,0.9240444298867172,1.104334485300657,0.5475386236163962,1,34
M0_BASELINE,SBUX,37,37,18,19,0,0,48.648648648648646,1.2457850010726765,1.5004157311837822,0.9967723561799859,1.1522960776522684,1,37
M0_BASELINE,SCHW,27,27,18,9,0,0,66.66666666666667,1.2620500350549417,0.9271701119682019,1.121794871794869,0.8104368452263225,1,27
M0_BASELINE,SHOP,37,35,15,20,2,0,42.857142857142854,3.2323061992202384,1.6306195438144508,2.428932014730833,1.3613605329581628,1,37
M0_BASELINE,SLB,35,35,17,18,0,0,48.57142857142857,1.473215408887282,1.099348559562205,1.4583333333333393,0.8283132530120592,1,35
M0_BASELINE,SNOW,34,32,17,15,2,0,53.125,2.3393465983380968,2.4271912214536293,1.8495743557152104,2.2579120002807187,1,34
M0_BASELINE,SPY,65,52,22,30,0,13,42.30769230769231,0.5110524778931913,0.5259956156439557,0.43177200299431934,0.46506851324784476,1,65
M0_BASELINE,T,41,41,19,22,0,0,46.34146341463415,1.2528813636908513,1.3213364014770577,1.1680855276183002,1.0121457489878543,1,41
M0_BASELINE,TEAM,36,33,18,15,3,0,54.54545454545455,3.283690522456364,2.723155508330371,2.8305773512512484,2.798572577054065,1,36
M0_BASELINE,TGT,26,25,14,11,1,0,56.0,1.4640670007462644,1.1958830306193595,1.1797541744324287,0.9508147394403901,1,26
M0_BASELINE,TMO,29,29,15,14,0,0,51.724137931034484,1.5589565011658104,1.4179216084637694,1.2699070000172565,1.2539012444675084,1,29
M0_BASELINE,TMUS,27,26,10,16,0,1,38.46153846153846,0.9357603844265694,1.4698882075950563,0.6135986733001734,1.4187253848907928,1,27
M0_BASELINE,TQQQ,62,62,33,29,0,0,53.225806451612904,2.2222444114033237,2.202494068888111,1.769352691665547,1.9747764534851475,1,62
M0_BASELINE,TSLA,51,51,20,31,0,0,39.21568627450981,1.5876820646786023,1.6660826683192285,1.2743007650821627,1.0610811488774519,1,51
M0_BASELINE,TXN,43,43,20,23,0,0,46.51162790697674,1.5677257692689734,1.2589828382238208,1.2166113661500195,1.000362825895406,1,43
M0_BASELINE,UBER,37,37,17,20,0,0,45.945945945945944,1.3566070635173122,1.7764151684879874,0.9128108278250028,1.6522098306484767,1,37
M0_BASELINE,UNH,39,39,22,17,0,0,56.41025641025641,1.0534543128066065,1.2544866723353112,0.8745532569896585,1.0408790950664726,1,39
M0_BASELINE,UPS,33,33,16,17,0,0,48.484848484848484,1.3328404837557288,1.015291782863324,0.8630835995994066,0.8321198252548336,1,33
M0_BASELINE,URI,17,16,7,9,1,0,43.75,1.21438732372684,1.4130635461153873,1.0739359140667077,0.9950898453823659,1,17
M0_BASELINE,V,42,42,25,17,0,0,59.523809523809526,1.0241340728496513,0.9078271229398392,0.8821842733757386,0.7303080019322555,1,42
M0_BASELINE,VRTX,23,23,12,11,0,0,52.17391304347826,1.118352074330474,1.3466267685199793,0.8433231112350142,1.102760480041998,1,23
M0_BASELINE,VZ,39,39,15,24,0,0,38.46153846153846,1.1983580397459015,1.0438362828765382,0.8759842519685045,0.852151682999586,1,39
M0_BASELINE,WMT,33,33,16,17,0,0,48.484848484848484,1.2117980794702503,0.9807052942317854,0.9837398373983688,0.7492920932258762,1,33
M0_BASELINE,XOM,45,45,24,21,0,0,53.333333333333336,0.9884532266616,1.261400311753937,0.6486332113101895,1.277411113476675,1,45
M1_AVOIDANCE_FILTER,AAPL,26,26,14,12,0,0,53.84615384615385,1.1332729296483182,0.8818119925171216,0.8600756158304386,0.7852546971093732,1,26
M1_AVOIDANCE_FILTER,ABBV,26,25,12,13,1,0,48.0,1.1144523991122208,1.1970947936214598,0.9770268955672431,1.0365345159267978,1,26
M1_AVOIDANCE_FILTER,ABNB,19,19,8,11,0,0,42.10526315789474,1.1220872636652646,1.6412761475977367,1.0835150918173446,1.3521501403871823,1,19
M1_AVOIDANCE_FILTER,ADBE,29,29,12,17,0,0,41.37931034482759,1.917362260715409,1.3443530813190814,1.6078713702903809,1.151461470327721,1,29
M1_AVOIDANCE_FILTER,AMAT,32,31,17,14,1,0,54.83870967741935,2.9445986642981476,1.9386778014392045,2.1681413189039476,1.675757568156123,1,32
M1_AVOIDANCE_FILTER,AMD,33,33,15,18,0,0,45.45454545454545,2.622936672044704,2.1031960718929845,2.436823104693135,1.5108225108225146,1,33
M1_AVOIDANCE_FILTER,AMGN,25,25,12,13,0,0,48.0,1.169196422363383,1.1766983842637393,0.8177231340253995,1.0540217915830588,1,25
M1_AVOIDANCE_FILTER,AMZN,33,33,15,18,0,0,45.45454545454545,0.9557947639806389,1.3418579106571125,0.7478790166035387,0.8446087940510832,1,33
M1_AVOIDANCE_FILTER,ANET,29,29,19,10,0,0,65.51724137931035,2.3912441080287543,1.850077483736493,2.097681923727818,1.5295396882928696,1,29
M1_AVOIDANCE_FILTER,APP,46,43,23,20,3,0,53.48837209302326,3.2316600673411986,1.9789454896576806,3.0168247666192807,1.3396851588223921,1,46
M1_AVOIDANCE_FILTER,ARM,36,31,18,13,5,0,58.064516129032256,3.6150009354204165,2.634827812506761,2.5511368300601864,1.8027327382307172,1,36
M1_AVOIDANCE_FILTER,ASML,28,28,15,13,0,0,53.57142857142857,2.077458670816095,1.1497622707550477,2.0480399034361785,0.9096607333256539,1,28
M1_AVOIDANCE_FILTER,AVGO,24,23,5,18,1,0,21.73913043478261,1.1236862012101214,1.9418723662634791,0.7361940818521548,1.4700232638153592,1,24
M1_AVOIDANCE_FILTER,AXON,18,18,8,10,0,0,44.44444444444444,2.5647773848346054,3.3846129008188695,2.08548910252932,4.0156510783770365,1,18
M1_AVOIDANCE_FILTER,AXP,19,19,9,10,0,0,47.36842105263158,1.1392782032313573,1.0184871555516586,0.8084841740041145,0.8907863442305665,1,19
M1_AVOIDANCE_FILTER,BA,34,34,16,18,0,0,47.05882352941177,1.585020699968185,1.166796514723795,1.56311048164547,0.6480865554639128,1,34
M1_AVOIDANCE_FILTER,BAC,24,24,10,14,0,0,41.666666666666664,0.6485615817528984,1.412185036365716,0.42823546391319023,1.4261150310621336,1,24
M1_AVOIDANCE_FILTER,BKNG,24,23,11,12,1,0,47.82608695652174,1.3943741751271006,1.9896652557474586,0.7974835651056302,1.5928777676665566,1,24
M1_AVOIDANCE_FILTER,BLK,14,14,8,6,0,0,57.142857142857146,1.9928414585728305,1.2519115739402518,1.3848159089830205,0.9188413168454325,1,14
M1_AVOIDANCE_FILTER,BMY,29,28,15,13,1,0,53.57142857142857,1.193088120613606,1.295730262355217,0.8113590263691631,1.1257485029940162,1,29
M1_AVOIDANCE_FILTER,C,39,39,26,13,0,0,66.66666666666667,1.2725608883145219,1.5202621267449654,0.8651820643996219,1.2656309208033467,1,39
M1_AVOIDANCE_FILTER,CAT,24,24,12,12,0,0,50.0,1.297561181673469,1.6520286021358228,1.0622410979976513,1.3910550310466634,1,24
M1_AVOIDANCE_FILTER,CEG,26,25,11,14,1,0,44.0,1.7505069135134168,1.6338388471301788,1.3334265516742536,1.2895885845710775,1,26
M1_AVOIDANCE_FILTER,CMCSA,19,19,9,10,0,0,47.36842105263158,1.0039994690982936,1.3844939870118338,0.7381974248927033,1.1603878556668321,1,19
M1_AVOIDANCE_FILTER,CME,25,25,8,17,0,0,32.0,0.9071202367964011,1.4462521362754452,0.5726031419762158,1.1659192825112081,1,25
M1_AVOIDANCE_FILTER,CMG,26,25,12,13,1,0,48.0,1.9600789293970218,1.348729301926728,1.5042213642897997,1.185228029248478,1,26
M1_AVOIDANCE_FILTER,COIN,34,33,17,16,1,0,51.515151515151516,2.710835207540517,3.1104181984661845,1.8877422874808603,2.690612972921303,1,34
M1_AVOIDANCE_FILTER,COP,22,22,12,10,0,0,54.54545454545455,1.4466869436746697,0.7765457757385971,1.3100553418754928,0.6844000982675387,1,22
