hypothesis_id,feature_a,state_a,feature_b,state_b,effect_type,sensitivity,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,BASE,396,389,225,164,5,2,57.840616966580974,1.9212325834659734,1.4780611304531448,1.4895075291353246,0.9667865674333105,110,117
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,393,387,224,163,5,1,57.88113695090439,1.9329613692414356,1.4747792078025141,1.494827207876111,0.9611493322541367,107,117
H1A,session_level_clear_state,NONE_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,NEGATIVE_REPLICATING,BASE,592,573,258,315,11,8,45.026178010471206,1.5267007192020696,1.601165537969738,1.0092473647721003,1.1227945224419429,110,134
H1A,session_level_clear_state,NONE_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,556,540,247,293,11,5,45.74074074074074,1.5727876027757575,1.617087783027,1.0431537412696472,1.148490785835633,107,134
H1A,session_level_clear_state,TWO_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,NEGATIVE_REPLICATING,BASE,542,532,240,292,9,1,45.11278195488722,1.632561758203992,1.490835407579957,1.0879482284279103,1.1398276918135195,111,139
H1A,session_level_clear_state,TWO_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,524,515,231,284,9,0,44.85436893203884,1.638317074608698,1.513708476707217,1.0879482284279103,1.1585349416583,108,139
H1A,session_level_clear_state,ONE_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,NEGATIVE_REPLICATING,BASE,341,331,158,173,8,2,47.73413897280967,1.8025524733799232,1.6509935681527839,1.2180899208761344,1.141360501718048,106,125
H1A,session_level_clear_state,ONE_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,327,318,151,167,8,1,47.484276729559745,1.837760690495821,1.6597455125302736,1.2262961793495433,1.1552462240892885,103,124
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,BASE,292,285,164,121,5,2,57.54385964912281,1.8870650145569687,1.5317681045436942,1.4172805989415296,0.9578493837030397,105,88
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,289,283,163,120,5,1,57.59717314487632,1.9026598592041302,1.5278626558259567,1.4228405028087245,0.9545494351519428,102,88
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,BASE,464,448,200,248,8,8,44.642857142857146,1.5216869794652272,1.6588053708109876,0.9702350756847313,1.1563764028961274,110,100
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,436,423,190,233,8,5,44.917257683215134,1.574932407179273,1.6850842649836575,1.0065076334470475,1.2481362658591033,107,100
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,BASE,172,169,82,87,3,0,48.5207100591716,1.6249270990483182,1.4343359723099018,1.1759304121129888,1.046559049917422,84,45
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,158,155,78,77,3,0,50.32258064516129,1.6523107292151928,1.4264775992312944,1.2036869719329282,1.0573775706962136,81,45
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,MAJORITY_OPPOSING,POSITIVE_REPLICATING,BASE,140,140,82,58,0,0,58.57142857142857,1.8808991387312135,1.326582059169547,1.4726383720522471,0.9974476731336435,80,42
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,MAJORITY_OPPOSING,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,140,140,82,58,0,0,58.57142857142857,1.8808991387312135,1.326582059169547,1.4726383720522471,0.9974476731336435,80,42
H1B,session_level_clear_state,TWO_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,BASE,412,404,172,232,7,1,42.57425742574257,1.564073180472267,1.53302415056092,1.0352130971266038,1.1651323972660066,111,104
H1B,session_level_clear_state,TWO_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,398,391,166,225,7,0,42.45524296675192,1.5802286682469318,1.5596164917666495,1.044370781299579,1.179492058720214,108,104
H1B,session_level_clear_state,ONE_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,NEGATIVE_REPLICATING,BASE,270,261,123,138,7,2,47.12643678160919,1.6495531597426278,1.5942975883107746,1.1511837132078897,1.1222229413328275,100,96
