hypothesis_id,hypothesis_label,feature_a,state_a,feature_b,state_b,research_period_discovery,baseline_favorable_first_pct_discovery,feature_a_binary_n_discovery,feature_a_favorable_first_pct_discovery,feature_b_binary_n_discovery,feature_b_favorable_first_pct_discovery,lift_vs_baseline_pp_discovery,incremental_vs_feature_a_pp_discovery,incremental_vs_feature_b_pp_discovery,total_n_discovery,binary_n_discovery,favorable_n_discovery,adverse_n_discovery,both_n_discovery,unresolved_n_discovery,favorable_first_pct_discovery,avg_mfe_pct_discovery,avg_mae_pct_discovery,median_mfe_pct_discovery,median_mae_pct_discovery,symbol_n_discovery,trade_date_n_discovery,research_period_validation,baseline_favorable_first_pct_validation,feature_a_binary_n_validation,feature_a_favorable_first_pct_validation,feature_b_binary_n_validation,feature_b_favorable_first_pct_validation,lift_vs_baseline_pp_validation,incremental_vs_feature_a_pp_validation,incremental_vs_feature_b_pp_validation,total_n_validation,binary_n_validation,favorable_n_validation,adverse_n_validation,both_n_validation,unresolved_n_validation,favorable_first_pct_validation,avg_mfe_pct_validation,avg_mae_pct_validation,median_mfe_pct_validation,median_mae_pct_validation,symbol_n_validation,trade_date_n_validation,passes_sample_gate,discovery_effect_sign,validation_effect_sign,same_effect_direction,effect_type,validation_minus_discovery_lift_pp,discovery_abs_lift_pp,discovery_rank_within_hypothesis
H1A,STRUCTURE_CLEARANCE_X_MARKET_5D_CONSENSUS,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,DISCOVERY,51.00539480137322,886,54.853273137697514,1899,51.026856240126385,5.038561242582823,1.1906829062585302,5.017099803829659,376,364,204,160,8,4,56.043956043956044,1.4138778325867125,1.4348176072728294,1.0585624590950897,0.9889100053457252,107,117,VALIDATION,49.45544554455446,961,51.925078043704474,1783,53.11273135165452,8.385171422026517,5.9155389228765,4.727885614926457,396,389,225,164,5,2,57.840616966580974,1.9212325834659734,1.4780611304531448,1.4895075291353246,0.9667865674333105,110,117,True,1.0,1.0,True,POSITIVE_REPLICATING,3.3466101794436938,5.038561242582823,4.0
H1A,STRUCTURE_CLEARANCE_X_MARKET_5D_CONSENSUS,session_level_clear_state,NONE_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,DISCOVERY,51.00539480137322,1122,49.376114081996434,1906,50.419727177334735,-4.547061468039885,-2.9177807486630982,-3.9613938440013996,496,480,223,257,0,16,46.458333333333336,1.2650499171583263,1.215174592681881,0.8679430662258476,0.8276477330678318,108,130,VALIDATION,49.45544554455446,1285,48.793774319066145,1933,45.93895499224004,-4.429267534083252,-3.767596308594939,-0.912776981768836,592,573,258,315,11,8,45.026178010471206,1.5267007192020696,1.601165537969738,1.0092473647721003,1.1227945224419429,110,134,True,-1.0,-1.0,True,NEGATIVE_REPLICATING,0.11779393395663362,4.547061468039885,5.0
H1A,STRUCTURE_CLEARANCE_X_MARKET_5D_CONSENSUS,session_level_clear_state,TWO_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,DISCOVERY,51.00539480137322,1120,49.82142857142857,1906,50.419727177334735,-1.6620552141311933,-0.47808898418654167,-1.0763875900927076,541,533,263,270,1,7,49.34333958724203,1.2120667739732645,1.2245681356714302,0.8720930232558213,0.8626538722496855,109,132,VALIDATION,49.45544554455446,1064,49.62406015037594,1933,45.93895499224004,-4.342663589667239,-4.511278195488721,-0.8261730373528238,542,532,240,292,9,1,45.11278195488722,1.632561758203992,1.490835407579957,1.0879482284279103,1.1398276918135195,111,139,True,-1.0,-1.0,True,NEGATIVE_REPLICATING,-2.680608375536046,1.6620552141311933,10.0
H1A,STRUCTURE_CLEARANCE_X_MARKET_5D_CONSENSUS,session_level_clear_state,ONE_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,DISCOVERY,51.00539480137322,830,52.04819277108434,1899,51.026856240126385,-0.7614923623488323,-1.8042903320599493,-0.7829538011019963,417,410,206,204,1,6,50.24390243902439,1.2385643892801033,1.3250816965578047,0.8785654110001252,0.8817952541374355,104,137,VALIDATION,49.45544554455446,709,47.249647390691116,1783,53.11273135165452,-1.7213065717447904,0.4844915821185509,-5.37859237884485,341,331,158,173,8,2,47.73413897280967,1.8025524733799232,1.6509935681527839,1.2180899208761344,1.141360501718048,106,125,True,-1.0,-1.0,True,NEGATIVE_REPLICATING,-0.9598142093959581,0.7614923623488323,13.0
H1B,STRUCTURE_CLEARANCE_X_3IDX_5D_REGIME,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,DISCOVERY,51.00539480137322,886,54.853273137697514,1595,51.5987460815047,5.617121754918166,1.7692434185938737,5.023770474786687,310,302,171,131,5,3,56.62251655629139,1.3663734178942832,1.4464570498817,1.0179548014106161,0.9973625275500317,104,97,VALIDATION,49.45544554455446,961,51.925078043704474,1366,52.928257686676424,8.08841410456835,5.618781605418334,4.615601962446384,292,285,164,121,5,2,57.54385964912281,1.8870650145569687,1.5317681045436942,1.4172805989415296,0.9578493837030397,105,88,True,1.0,1.0,True,POSITIVE_REPLICATING,2.4712923496501844,5.617121754918166,6.0
H1B,STRUCTURE_CLEARANCE_X_3IDX_5D_REGIME,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,DISCOVERY,51.00539480137322,1122,49.376114081996434,1615,50.154798761609904,-4.55062707521185,-2.9213463558350625,-3.700031035448532,424,409,190,219,0,15,46.45476772616137,1.2980127755018251,1.1636755706204116,0.8860752538715957,0.8016811011965528,108,111,VALIDATION,49.45544554455446,1285,48.793774319066145,1466,45.29331514324693,-4.812588401697312,-4.150917176208999,-0.6504580003897829,464,448,200,248,8,8,44.642857142857146,1.5216869794652272,1.6588053708109876,0.9702350756847313,1.1563764028961274,110,100,True,-1.0,-1.0,True,NEGATIVE_REPLICATING,-0.2619613264854621,4.55062707521185,7.0
H1B,STRUCTURE_CLEARANCE_X_3IDX_5D_REGIME,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,DISCOVERY,51.00539480137322,1122,49.376114081996434,344,50.2906976744186,-3.693566844383973,-2.064286125007186,-2.9788697174293546,94,93,44,49,0,1,47.31182795698925,1.3128255800152415,1.5552512162605916,0.8679430662258476,0.9700423362495485,66,25,VALIDATION,49.45544554455446,1285,48.793774319066145,623,47.67255216693419,-0.9347354853828591,-0.2730642598945465,0.8481578922374098,172,169,82,87,3,0,48.5207100591716,1.6249270990483182,1.4343359723099018,1.1759304121129888,1.046559049917422,84,45,True,-1.0,-1.0,True,NEGATIVE_REPLICATING,2.758831359001114,3.693566844383973,9.0
H1B,STRUCTURE_CLEARANCE_X_3IDX_5D_REGIME,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,MAJORITY_OPPOSING,DISCOVERY,51.00539480137322,886,54.853273137697514,383,47.78067885117493,3.3155928529477663,-0.5322854833765263,6.540308803146054,86,81,44,37,3,2,54.32098765432099,1.5259201037507026,1.4162227074276352,1.176384021707503,1.0103548214385625,59,24,VALIDATION,49.45544554455446,961,51.925078043704474,585,53.675213675213676,9.115983026874112,6.6463505277240955,4.896214896214893,140,140,82,58,0,0,58.57142857142857,1.8808991387312135,1.326582059169547,1.4726383720522471,0.9974476731336435,80,42,True,1.0,1.0,True,POSITIVE_REPLICATING,5.8003901739263455,3.3155928529477663,10.0
H1B,STRUCTURE_CLEARANCE_X_3IDX_5D_REGIME,session_level_clear_state,TWO_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,DISCOVERY,51.00539480137322,1120,49.82142857142857,1615,50.154798761609904,-2.823576619555041,-1.6396103896103895,-1.9729805797917237,446,440,212,228,1,5,48.18181818181818,1.1872180858409171,1.206688428941228,0.8511142777325224,0.8644783685941408,107,112,VALIDATION,49.45544554455446,1064,49.62406015037594,1466,45.29331514324693,-6.881188118811885,-7.049802724633366,-2.7190577175043558,412,404,172,232,7,1,42.57425742574257,1.564073180472267,1.53302415056092,1.0352130971266038,1.1651323972660066,111,104,True,-1.0,-1.0,True,NEGATIVE_REPLICATING,-4.0576114992568435,2.823576619555041,12.0
H1B,STRUCTURE_CLEARANCE_X_3IDX_5D_REGIME,session_level_clear_state,ONE_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,DISCOVERY,51.00539480137322,830,52.04819277108434,1595,51.5987460815047,-1.5834294834541467,-2.6262274531652636,-2.1767807635856258,352,346,171,175,1,5,49.421965317919074,1.211339356641308,1.3124426686693706,0.863904115996007,0.8407496476060345,103,116,VALIDATION,49.45544554455446,709,47.249647390691116,1366,52.928257686676424,-2.3290087629452643,-0.12321060908192294,-5.801820905067231,270,261,123,138,7,2,47.12643678160919,1.6495531597426278,1.5942975883107746,1.1511837132078897,1.1222229413328275,100,96,True,-1.0,-1.0,True,NEGATIVE_REPLICATING,-0.7455792794911176,1.5834294834541467,17.0
