hypothesis_id,feature_a,state_a,feature_b,state_b,effect_type,symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,AAPL,1,1,0,1,0,0,0.0,0.2865859295553422,0.8042895442359291,0.2865859295553422,0.8042895442359291,1,1
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,ABBV,6,6,3,3,0,0,50.0,1.0330998189583624,0.9753403190433044,1.18363291369432,0.9444122042649048,1,6
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,ABNB,2,2,1,1,0,0,50.0,0.8473471900480013,1.6672070472410567,0.8473471900480013,1.6672070472410567,1,2
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,ADBE,6,6,4,2,0,0,66.66666666666667,2.8199046765738323,0.9613864721813563,2.9990290316667574,0.6230175672048638,1,6
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,AMAT,3,3,1,2,0,0,33.333333333333336,0.699389262527082,3.152638629751665,0.6004454547541983,3.887102140401459,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,AMD,6,6,2,4,0,0,33.333333333333336,3.0864570796576802,2.2849994074863633,3.32856324709892,1.277663638207375,1,6
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,AMGN,5,5,2,3,0,0,40.0,1.2472148236443377,0.6900393734054378,1.3590679913347568,0.5777635179485435,1,5
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,AMZN,1,1,1,0,0,0,100.0,1.6077974008663836,0.10621459513495311,1.6077974008663836,0.10621459513495311,1,1
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,ANET,1,1,1,0,0,0,100.0,2.186782650718848,1.5295396882928696,2.186782650718848,1.5295396882928696,1,1
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,APP,6,5,2,3,1,0,40.0,3.1767651995321593,1.2625463950017242,3.137426321704349,0.8205118490894783,1,6
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,ARM,5,5,4,1,0,0,80.0,4.8348641411457285,1.0634276833621943,3.7789651253890786,0.49305244285073707,1,5
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,ASML,4,4,3,1,0,0,75.0,1.1086873764973952,2.003937690026774,1.0919801862306615,1.8709151080236956,1,4
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,AVGO,1,1,0,1,0,0,0.0,0.7402758561668175,2.7799569242180047,0.7402758561668175,2.7799569242180047,1,1
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,AXON,3,3,1,2,0,0,33.333333333333336,5.450323355816753,2.0529212861501316,4.478125141383523,1.1301633262453068,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,AXP,4,4,1,3,0,0,25.0,1.5716030088612731,0.926898941910937,1.378451285818936,0.863953555304966,1,4
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,BA,4,4,1,3,0,0,25.0,0.9952894746673876,2.4420111649647898,0.8162445682042643,1.7411936748980295,1,4
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,BAC,2,2,0,2,0,0,0.0,0.42823546391319023,1.6072033344224959,0.42823546391319023,1.6072033344224959,1,2
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,BKNG,2,2,2,0,0,0,100.0,2.875082467068842,0.44873222890805203,2.875082467068842,0.44873222890805203,1,2
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,BLK,1,1,0,1,0,0,0.0,0.4937061223060516,0.8683625413610245,0.4937061223060516,0.8683625413610245,1,1
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,BMY,5,5,4,1,0,0,80.0,1.1047634788709473,1.3729862236104309,1.0474179928548282,1.2909801257007052,1,5
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,C,4,4,3,1,0,0,75.0,0.7176404939633939,1.6139544520595583,0.5860273679460707,1.881625065934555,1,4
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,CEG,8,8,1,7,0,0,12.5,1.7842428206398022,1.9973834998497746,0.5505626335349671,2.2177343582918034,1,8
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,CMCSA,3,3,2,1,0,0,66.66666666666667,1.4037379945415422,1.0363992893233884,0.5319584254030538,0.6026516673362738,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,CME,2,2,1,1,0,0,50.0,1.8750422626872183,0.48975092148808974,1.8750422626872183,0.48975092148808974,1,2
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,CMG,4,4,2,2,0,0,50.0,1.3523214406339188,1.2291592595209302,1.5144689371890414,1.0617922278376486,1,4
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,COIN,3,3,2,1,0,0,66.66666666666667,2.477635584328782,1.4863075964693155,2.116168852639702,0.6447701972886517,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,COP,3,3,1,2,0,0,33.333333333333336,1.949005920247753,0.8789676133131524,1.9295109766717118,0.6920573811815348,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,COST,3,3,2,1,0,0,66.66666666666667,1.357704022452312,0.21964112437404362,1.0962905067001212,0.10489834116642655,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,CRM,4,4,3,1,0,0,75.0,2.1946261685763773,1.0127955243221767,2.2335211528744345,1.0805140558142292,1,4
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,CRWD,3,3,1,2,0,0,33.333333333333336,1.9939878392937505,2.3772487884335116,1.575132221757874,2.925451427418535,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,CSCO,1,1,1,0,0,0,100.0,5.328809482906718,0.03435835767049651,5.328809482906718,0.03435835767049651,1,1
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,CVS,3,3,1,2,0,0,33.333333333333336,0.6459729647238114,1.7714781813434577,0.10169060633023809,1.6009736916019173,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,CVX,5,5,4,1,0,0,80.0,1.0818382479319504,1.3211267212139444,1.402137679242289,1.3122387427906184,1,5
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,DASH,2,2,2,0,0,0,100.0,2.0522143048169035,1.132182281347293,2.0522143048169035,1.132182281347293,1,2
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,DDOG,7,7,6,1,0,0,85.71428571428571,3.3801008326815425,1.1444730630643265,3.8989945506178514,0.9055952106838618,1,7
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,DE,4,4,1,3,0,0,25.0,2.538088674372348,1.4314420702466482,2.2343645927620646,1.682393967912346,1,4
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,DELL,7,7,4,3,0,0,57.142857142857146,3.4428306357743415,2.0324049082522415,3.0006256316473294,0.7459454256701532,1,7
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,DIS,3,3,2,1,0,0,66.66666666666667,0.9372138407793073,1.1685698809655425,0.5675568656782174,1.2979013594966733,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,EOG,2,2,1,1,0,0,50.0,1.9449843776220295,0.47121135941870396,1.9449843776220295,0.47121135941870396,1,2
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,ETN,1,1,0,1,0,0,0.0,0.40934264387189706,1.8781603660004844,0.40934264387189706,1.8781603660004844,1,1
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,GE,3,3,2,1,0,0,66.66666666666667,1.1876898891140195,1.4066490644506249,0.5277466815928282,1.6412238747297354,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,GILD,1,1,0,1,0,0,0.0,0.7554296506137896,0.9611493322541367,0.7554296506137896,0.9611493322541367,1,1
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,GOOG,2,2,2,0,0,0,100.0,2.3510442718737448,1.9092315723738664,2.3510442718737448,1.9092315723738664,1,2
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,GS,5,5,3,2,0,0,60.0,1.731925227024139,1.1911869866223943,1.0654944634901002,1.0905780257244684,1,5
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,HAL,3,3,2,1,0,0,66.66666666666667,0.8378154156213524,1.3758321573181291,0.9288824383164014,0.9724238026124843,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,HD,5,5,3,2,0,0,60.0,1.3843024993565853,1.0753887809695262,1.5004167824395707,0.532038834951458,1,5
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,HON,3,3,3,0,0,0,100.0,2.5756584091312327,0.2510367399486009,3.4878144482713522,0.23802624498074623,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,HOOD,3,3,3,0,0,0,100.0,3.6481081073798265,1.2236075415342524,3.2685976046189795,1.3515358361774674,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,IBM,4,4,3,1,0,0,75.0,1.8983976635543485,1.2941947475502333,1.785440580627836,1.5702230053236048,1,4
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,INTC,5,5,5,0,0,0,100.0,2.234511788922494,3.724604884955099,1.1728367274150089,3.6732675150754193,1,5
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,ISRG,3,3,3,0,0,0,100.0,2.838611352016759,0.9658516606320884,1.3935867947503657,0.24724657226343508,1,3
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,IWM,5,4,3,1,0,1,75.0,0.8400453543125866,1.0124339404804394,0.7233402563918864,0.3679529611892848,1,5
