symbol,trade_date,direction,architecture,decision_candle,entry_timestamp,pm_directional_level,ah_directional_level,pd_directional_level,ema9,ema20,c2_vwap,a47_structural_center_price,a47_center_to_ema9_abs_pct,a47_center_to_ema20_abs_pct,a47_center_to_vwap_abs_pct,a47_center_to_nearest_tech_abs_pct,a47_center_to_mean_tech_abs_pct
AAPL,2025-05-23,BULL,AE2_RECLAIM,2,2025-05-23 13:31:00+00:00,202.0,,,194.40880613321093,194.2393062608226,195.1636876003649,,,,,,
AAPL,2025-05-29,BEAR,AE2_RECLAIM,2,2025-05-29 13:31:00+00:00,203.39,199.9,199.9,203.52455523376724,203.70343641783592,203.21202438650147,201.0633333333333,1.2241028036442618,1.3130703847059533,1.0686637973946012,1.0686637973946012,1.201945661914939
AAPL,2025-06-05,BEAR,AE2_RECLAIM,2,2025-06-05 13:31:00+00:00,201.75,200.55,202.1,203.44572455345207,203.56725432843598,203.19282762975695,201.46666666666667,0.9823252250754788,1.0426477474036948,0.8567973013353473,0.8567973013353473,0.960590091271507
AAPL,2025-06-24,BEAR,AE2_RECLAIM,2,2025-06-24 13:31:00+00:00,202.4,201.15,198.96,202.65398871173687,203.09796682532348,202.01934094693576,200.83666666666667,0.90487562616564,1.1259398974241799,0.5888736852180461,0.5888736852180461,0.8732297362692888
AAPL,2025-06-25,BULL,AE2_RECLAIM,2,2025-06-25 13:31:00+00:00,201.71,200.8,203.44,201.57425892421503,201.39313609057197,201.78505213559865,201.98333333333335,0.20252879401847593,0.2922009618424179,0.0981671083759557,0.0981671083759557,0.19763228807894984
AAPL,2025-06-26,BULL,AE2_RECLAIM,2,2025-06-26 13:31:00+00:00,202.72,201.74,203.67,201.7215104437783,201.5552186269682,202.0420111492307,202.71,0.4876372927935021,0.5696716358501285,0.3295293033246111,0.3295293033246111,0.4622794106560806
AAPL,2025-06-30,BEAR,AE2_RECLAIM,2,2025-06-30 13:31:00+00:00,200.578,200.8998,200.0,201.93430992938232,201.993275778156,201.88652064047488,200.4926,0.7190838611411656,0.7484943475001042,0.6952479245991495,0.6952479245991495,0.7209420444134732
AAPL,2025-07-01,BULL,AE2_RECLAIM,2,2025-07-01 13:31:00+00:00,207.47,206.3,207.39,206.9637662290427,206.8635874191162,207.2674723449657,207.0533333333333,0.04325798713243388,0.09164108162975426,0.10342215128102143,0.04325798713243388,0.07944040668106987
AAPL,2025-07-03,BEAR,AE2_RECLAIM,2,2025-07-03 13:31:00+00:00,209.81,211.83,208.14,212.09582074158976,212.04198124007624,212.163196152826,209.92666666666665,1.0332913437659725,1.007644529872142,1.0653860806119704,1.007644529872142,1.035440651416695
AAPL,2025-07-14,BULL,AE2_RECLAIM,2,2025-07-14 13:31:00+00:00,210.0,211.16,212.13,210.1016567254291,209.88707796686288,210.4091462382694,211.09666666666666,0.47135274893218987,0.5730022737468403,0.32568985538881606,0.32568985538881606,0.4566816260226154
AAPL,2025-07-25,BEAR,AE2_RECLAIM,2,2025-07-25 13:31:00+00:00,213.72,213.71,213.53,214.5206816340385,214.4848929401235,214.55939397908878,213.65333333333334,0.40596057509291106,0.38920975105630545,0.4240798079858863,0.38920975105630545,0.4064167113783676
