research_period,feature,role,quintile,n,ff_pct,baseline_ff_pct,lift_pp
DISCOVERY,a47_center_to_nearest_tech_abs_pct,PRIMARY_NEAREST,Q1,73,52.054794520547944,56.043956043956044,-3.9891615234081
DISCOVERY,a47_center_to_nearest_tech_abs_pct,PRIMARY_NEAREST,Q2,73,61.64383561643836,56.043956043956044,5.599879572482315
DISCOVERY,a47_center_to_nearest_tech_abs_pct,PRIMARY_NEAREST,Q3,72,47.22222222222222,56.043956043956044,-8.821733821733822
DISCOVERY,a47_center_to_nearest_tech_abs_pct,PRIMARY_NEAREST,Q4,73,65.75342465753425,56.043956043956044,9.70946861357821
DISCOVERY,a47_center_to_nearest_tech_abs_pct,PRIMARY_NEAREST,Q5,73,53.42465753424658,56.043956043956044,-2.6192985097094663
DISCOVERY,a47_center_to_mean_tech_abs_pct,PRIMARY_MEAN,Q1,73,47.945205479452056,56.043956043956044,-8.098750564503987
DISCOVERY,a47_center_to_mean_tech_abs_pct,PRIMARY_MEAN,Q2,73,65.75342465753425,56.043956043956044,9.70946861357821
DISCOVERY,a47_center_to_mean_tech_abs_pct,PRIMARY_MEAN,Q3,72,51.388888888888886,56.043956043956044,-4.655067155067158
DISCOVERY,a47_center_to_mean_tech_abs_pct,PRIMARY_MEAN,Q4,73,63.013698630136986,56.043956043956044,6.969742586180942
DISCOVERY,a47_center_to_mean_tech_abs_pct,PRIMARY_MEAN,Q5,73,52.054794520547944,56.043956043956044,-3.9891615234081
DISCOVERY,a47_center_to_ema9_abs_pct,ROBUSTNESS_EMA9,Q1,73,53.42465753424658,56.043956043956044,-2.6192985097094663
DISCOVERY,a47_center_to_ema9_abs_pct,ROBUSTNESS_EMA9,Q2,73,54.794520547945204,56.043956043956044,-1.2494354960108396
DISCOVERY,a47_center_to_ema9_abs_pct,ROBUSTNESS_EMA9,Q3,72,59.72222222222222,56.043956043956044,3.6782661782661776
DISCOVERY,a47_center_to_ema9_abs_pct,ROBUSTNESS_EMA9,Q4,73,56.16438356164384,56.043956043956044,0.12042751768779425
DISCOVERY,a47_center_to_ema9_abs_pct,ROBUSTNESS_EMA9,Q5,73,56.16438356164384,56.043956043956044,0.12042751768779425
DISCOVERY,a47_center_to_ema20_abs_pct,ROBUSTNESS_EMA20,Q1,73,56.16438356164384,56.043956043956044,0.12042751768779425
DISCOVERY,a47_center_to_ema20_abs_pct,ROBUSTNESS_EMA20,Q2,73,57.534246575342465,56.043956043956044,1.490290531386421
DISCOVERY,a47_center_to_ema20_abs_pct,ROBUSTNESS_EMA20,Q3,72,52.77777777777778,56.043956043956044,-3.2661782661782652
DISCOVERY,a47_center_to_ema20_abs_pct,ROBUSTNESS_EMA20,Q4,73,63.013698630136986,56.043956043956044,6.969742586180942
DISCOVERY,a47_center_to_ema20_abs_pct,ROBUSTNESS_EMA20,Q5,73,50.68493150684932,56.043956043956044,-5.359024537106727
DISCOVERY,a47_center_to_vwap_abs_pct,ROBUSTNESS_VWAP,Q1,73,42.465753424657535,56.043956043956044,-13.578202619298509
DISCOVERY,a47_center_to_vwap_abs_pct,ROBUSTNESS_VWAP,Q2,73,65.75342465753425,56.043956043956044,9.70946861357821
DISCOVERY,a47_center_to_vwap_abs_pct,ROBUSTNESS_VWAP,Q3,72,58.333333333333336,56.043956043956044,2.289377289377292
DISCOVERY,a47_center_to_vwap_abs_pct,ROBUSTNESS_VWAP,Q4,73,60.273972602739725,56.043956043956044,4.2300165587836815
DISCOVERY,a47_center_to_vwap_abs_pct,ROBUSTNESS_VWAP,Q5,73,53.42465753424658,56.043956043956044,-2.6192985097094663
VALIDATION,a47_center_to_nearest_tech_abs_pct,PRIMARY_NEAREST,Q1,59,64.40677966101696,57.840616966580974,6.566162694435981
VALIDATION,a47_center_to_nearest_tech_abs_pct,PRIMARY_NEAREST,Q2,55,58.18181818181818,57.840616966580974,0.3412012152372057
VALIDATION,a47_center_to_nearest_tech_abs_pct,PRIMARY_NEAREST,Q3,68,58.8235294117647,57.840616966580974,0.9829124451837288
VALIDATION,a47_center_to_nearest_tech_abs_pct,PRIMARY_NEAREST,Q4,97,55.670103092783506,57.840616966580974,-2.170513873797468
VALIDATION,a47_center_to_nearest_tech_abs_pct,PRIMARY_NEAREST,Q5,110,55.45454545454545,57.840616966580974,-2.386071512035521
VALIDATION,a47_center_to_mean_tech_abs_pct,PRIMARY_MEAN,Q1,33,63.63636363636363,57.840616966580974,5.795746669782659
VALIDATION,a47_center_to_mean_tech_abs_pct,PRIMARY_MEAN,Q2,56,53.57142857142857,57.840616966580974,-4.269188395152405
VALIDATION,a47_center_to_mean_tech_abs_pct,PRIMARY_MEAN,Q3,87,64.36781609195403,57.840616966580974,6.527199125373052
VALIDATION,a47_center_to_mean_tech_abs_pct,PRIMARY_MEAN,Q4,99,54.54545454545455,57.840616966580974,-3.2951624211264274
VALIDATION,a47_center_to_mean_tech_abs_pct,PRIMARY_MEAN,Q5,114,56.14035087719298,57.840616966580974,-1.7002660893879948
VALIDATION,a47_center_to_ema9_abs_pct,ROBUSTNESS_EMA9,Q1,45,66.66666666666667,57.840616966580974,8.826049700085697
VALIDATION,a47_center_to_ema9_abs_pct,ROBUSTNESS_EMA9,Q2,61,67.21311475409836,57.840616966580974,9.372497787517382
VALIDATION,a47_center_to_ema9_abs_pct,ROBUSTNESS_EMA9,Q3,86,50.0,57.840616966580974,-7.840616966580974
VALIDATION,a47_center_to_ema9_abs_pct,ROBUSTNESS_EMA9,Q4,77,57.142857142857146,57.840616966580974,-0.6977598237238283
VALIDATION,a47_center_to_ema9_abs_pct,ROBUSTNESS_EMA9,Q5,120,55.833333333333336,57.840616966580974,-2.0072836332476385
VALIDATION,a47_center_to_ema20_abs_pct,ROBUSTNESS_EMA20,Q1,71,54.929577464788736,57.840616966580974,-2.9110395017922386
