feature,research_period,n,confirmed_mean,not_confirmed_mean,confirmation_difference,winner_mean,loser_mean,outcome_difference
price_ema9_distance_pct,DISCOVERY,4173,0.3866639003718297,0.391647430992134,-0.004983530620304322,0.3915447530991523,0.39137561935133014,0.00016913374782218105
price_ema9_distance_pct,VALIDATION,4134,0.5450799018510495,0.5344915028524684,0.010588398998581106,0.5428770811023149,0.520887824616353,0.02198925648596195
price_ema20_distance_pct,DISCOVERY,4173,0.4693338066731578,0.4752124291637182,-0.00587862249056037,0.47645278102445926,0.4736539631502394,0.002798817874219872
price_ema20_distance_pct,VALIDATION,4134,0.6598725576808041,0.6491845426817965,0.010688014999007622,0.6632442124916978,0.6301564417234063,0.0330877707682915
price_sma50_distance_pct,DISCOVERY,4173,0.5393385986776269,0.5491004102731878,-0.009761811595560888,0.5520089107582397,0.5426034825955076,0.009405428162732044
price_sma50_distance_pct,VALIDATION,4134,0.7499970324101166,0.7444159684851853,0.0055810639249312954,0.763391672540261,0.7187540711436153,0.04463760139664563
ema9_ema20_distance_pct,DISCOVERY,4173,0.08270699293594759,0.08380510671266488,-0.0010981137767172855,0.08506943973893805,0.08238731062810349,0.002682129110834555
ema9_ema20_distance_pct,VALIDATION,4134,0.1148177232712873,0.11462539863010214,0.00019232464118515424,0.12035169030754193,0.10918155735392232,0.011170132953619613
ema9_sma50_distance_pct,DISCOVERY,4173,0.15211505680441104,0.15733209005182366,-0.005217033247412628,0.16024031370771824,0.15072046042495982,0.009519853282758423
ema9_sma50_distance_pct,VALIDATION,4134,0.20513384965266596,0.20988989339921052,-0.004756043746544564,0.22066476512831815,0.19775230490279389,0.02291246022552426
ema20_sma50_distance_pct,DISCOVERY,4173,0.06905712298223554,0.07365711402899719,-0.004599991046761648,0.07488161526109927,0.0684353204026081,0.006446294858491172
ema20_sma50_distance_pct,VALIDATION,4134,0.09035174962624588,0.09524940147642422,-0.004897651850178333,0.10036349935241905,0.08854562203882607,0.011817877313592975
ema9_slope_1bar_pct,DISCOVERY,4173,0.0966531264193437,0.09788847539956136,-0.0012353489802176543,0.09788217388488941,0.0978175078000326,6.46660848568209e-05
ema9_slope_1bar_pct,VALIDATION,4134,0.13628905467217894,0.13365486670070853,0.002634187971470414,0.13574769656372226,0.13025264369940281,0.00549505286431945
ema20_slope_1bar_pct,DISCOVERY,4173,0.049400575549993365,0.05004128200336889,-0.0006407064533755225,0.050151995391478785,0.04987965175528007,0.00027234363619871305
ema20_slope_1bar_pct,VALIDATION,4134,0.06946352278252736,0.06834307799245956,0.001120444790067801,0.0698209436477201,0.06634035876359347,0.003480584884126628
sma50_slope_1bar_pct,DISCOVERY,4173,0.011369235325232017,0.011705583832889223,-0.0003363485076572064,0.01169866836901734,0.01152039660043604,0.00017827176858129998
sma50_slope_1bar_pct,VALIDATION,4134,0.015446337699366899,0.015585497095605529,-0.00013915939623863026,0.01575226581654976,0.01513487614825694,0.0006173896682928198
