sensitivity,period_type,period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,symbol_n,trade_date_n
BASE,research_period,DISCOVERY,CONSENSUS_ALIGNED,1949,1906,961,945,2,41,50.419727177334735,44.07388404309903,1.3002503655133122,1.2068653444010564,112,146
BASE,research_period,DISCOVERY,CONSENSUS_OPPOSING,1947,1899,969,930,12,36,51.026856240126385,47.303543913713405,1.2660069355609462,1.276534884296169,112,146
BASE,research_period,DISCOVERY,MIXED,134,132,59,73,0,2,44.696969696969695,47.76119402985075,1.5362675356407478,1.4984504562288192,89,6
BASE,research_period,VALIDATION,CONSENSUS_ALIGNED,1981,1933,888,1045,36,12,45.93895499224004,44.82584553255931,1.5716510683893663,1.5782877787218503,112,146
BASE,research_period,VALIDATION,CONSENSUS_OPPOSING,1826,1783,947,836,28,15,53.11273135165452,49.34282584884995,1.8106974754564242,1.5161405530026488,112,146
BASE,research_period,VALIDATION,MIXED,327,324,163,161,3,0,50.30864197530864,51.98776758409786,1.4794554868625223,1.5839654311975786,104,13
BASE,validation_subperiod,VALIDATION_OLDER,CONSENSUS_ALIGNED,929,913,427,486,15,1,46.768893756845564,42.41119483315393,1.440153200879737,1.5145506420404746,112,72
BASE,validation_subperiod,VALIDATION_OLDER,CONSENSUS_OPPOSING,936,914,474,440,15,7,51.85995623632385,48.29059829059829,1.7413901591475145,1.402748963896727,112,72
BASE,validation_subperiod,VALIDATION_OLDER,MIXED,176,173,90,83,3,0,52.02312138728324,51.13636363636363,1.4072014596500508,1.5201829257324333,90,7
BASE,validation_subperiod,VALIDATION_NEWER,CONSENSUS_ALIGNED,1052,1020,461,559,21,11,45.19607843137255,46.958174904942965,1.6877741852300938,1.634572759688579,112,74
BASE,validation_subperiod,VALIDATION_NEWER,CONSENSUS_OPPOSING,890,869,473,396,13,8,54.43037974683544,50.449438202247194,1.8835869676644463,1.635392830983708,112,74
BASE,validation_subperiod,VALIDATION_NEWER,MIXED,151,151,73,78,0,0,48.34437086092715,52.980132450331126,1.5636721013618262,1.6583079541238406,86,6
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,CONSENSUS_ALIGNED,1889,1857,935,922,2,30,50.350026925148086,43.99152991000529,1.312042396581983,1.2099946009934759,109,146
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,CONSENSUS_OPPOSING,1882,1848,935,913,12,22,50.595238095238095,46.971307120085015,1.2767204268620234,1.3020228300570704,109,146
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,MIXED,130,129,58,71,0,1,44.96124031007752,46.15384615384615,1.5717141122528302,1.4534686141612898,86,6
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,CONSENSUS_ALIGNED,1896,1854,853,1001,36,6,46.008629989212515,44.462025316455694,1.592517105385921,1.6024465144562567,109,146
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,CONSENSUS_OPPOSING,1737,1704,905,799,28,5,53.110328638497656,49.45308002302821,1.8423671610440882,1.5344935497603265,109,146
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,MIXED,312,309,157,152,3,0,50.80906148867314,50.96153846153846,1.4989021279712404,1.5909505788523823,101,13
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,CONSENSUS_ALIGNED,896,881,411,470,15,0,46.651532349602725,42.410714285714285,1.4438896430466208,1.5417967364276628,109,72
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,CONSENSUS_OPPOSING,890,873,455,418,15,2,52.11912943871707,48.651685393258425,1.7705743394765914,1.4191988563374722,109,72
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,MIXED,171,168,88,80,3,0,52.38095238095238,51.461988304093566,1.4055907503912806,1.5434781795773693,87,7
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,CONSENSUS_ALIGNED,1000,973,442,531,21,6,45.426515930113055,46.3,1.7256873116419342,1.656788715569877,109,74
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,CONSENSUS_OPPOSING,847,831,450,381,13,3,54.151624548736464,50.29515938606848,1.917804718535319,1.6556414566627347,109,74
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,MIXED,141,141,69,72,0,0,48.93617021276596,50.354609929078016,1.6120669901426816,1.6485234886114402,83,6
