research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,CONSENSUS_ALIGNED,1949,1906,961,945,2,41,50.419727177334735,44.07388404309903,1.3002503655133122,1.2068653444010564,112,146,market_5d_primary_state
DISCOVERY,CONSENSUS_OPPOSING,1947,1899,969,930,12,36,51.026856240126385,47.303543913713405,1.2660069355609462,1.276534884296169,112,146,market_5d_primary_state
DISCOVERY,MIXED,134,132,59,73,0,2,44.696969696969695,47.76119402985075,1.5362675356407478,1.4984504562288192,89,6,market_5d_primary_state
DISCOVERY,UNKNOWN,143,141,91,50,0,2,64.53900709219859,60.83916083916084,1.230568193605538,1.0378230612189279,83,6,market_5d_primary_state
VALIDATION,CONSENSUS_ALIGNED,1981,1933,888,1045,36,12,45.93895499224004,44.82584553255931,1.5716510683893663,1.5782877787218503,112,146,market_5d_primary_state
VALIDATION,CONSENSUS_OPPOSING,1826,1783,947,836,28,15,53.11273135165452,49.34282584884995,1.8106974754564242,1.5161405530026488,112,146,market_5d_primary_state
VALIDATION,MIXED,327,324,163,161,3,0,50.30864197530864,51.98776758409786,1.4794554868625223,1.5839654311975786,104,13,market_5d_primary_state
DISCOVERY,BOTH_ALIGNED,1020,994,494,500,0,26,49.69818913480885,42.64705882352941,1.3443087947737409,1.2319906620181706,112,121,market_stock_5d_state
DISCOVERY,BOTH_OPPOSING,1038,1005,519,486,8,25,51.64179104477612,47.88053949903661,1.3251141467600147,1.2766366378125698,112,121,market_stock_5d_state
DISCOVERY,MARKET_ALIGNED_STOCK_OPPOSING,567,555,285,270,0,12,51.351351351351354,47.08994708994709,1.173866056376003,1.1731872390882174,107,117,market_stock_5d_state
DISCOVERY,MARKET_OPPOSING_STOCK_ALIGNED,581,572,283,289,2,7,49.47552447552447,45.438898450946645,1.195850169415706,1.2196399292035416,108,117,market_stock_5d_state
DISCOVERY,OTHER,967,952,499,453,4,11,52.41596638655462,48.3971044467425,1.3173734332804858,1.2732241635088006,112,38,market_stock_5d_state
VALIDATION,BOTH_ALIGNED,1146,1119,524,595,20,7,46.82752457551385,45.20069808027923,1.6344430293627072,1.6223939144870312,112,141,market_stock_5d_state
VALIDATION,BOTH_OPPOSING,1089,1059,573,486,19,11,54.107648725212464,51.882460973370065,1.8231600705697204,1.5590995400048762,112,141,market_stock_5d_state
VALIDATION,MARKET_ALIGNED_STOCK_OPPOSING,744,733,346,387,11,0,47.203274215552526,45.43010752688172,1.4921837580091357,1.4885520749706502,111,140,market_stock_5d_state
VALIDATION,MARKET_OPPOSING_STOCK_ALIGNED,690,680,346,334,7,3,50.88235294117647,46.666666666666664,1.70990647682144,1.4612238473527213,109,140,market_stock_5d_state
VALIDATION,OTHER,465,449,209,240,10,6,46.5478841870824,46.45161290322581,1.6237485750561964,1.5917578750826709,110,17,market_stock_5d_state
DISCOVERY,MARKET_NOT_OPPOSING,2554,2501,1278,1223,4,49,51.099560175929625,45.810493343774475,1.2962713917841189,1.2345479271474407,112,158,market_exhaustion_state
DISCOVERY,OPPOSING_MARKET_MULTIPLE_EXHAUSTION,228,223,108,115,1,4,48.4304932735426,45.6140350877193,1.3449865631036635,1.3417461112188465,90,100,market_exhaustion_state
DISCOVERY,OPPOSING_MARKET_NOT_MULTIPLE_EXHAUSTION,1391,1354,694,660,9,28,51.25553914327917,47.232207045291155,1.2678652022859707,1.2421578113291216,112,121,market_exhaustion_state
VALIDATION,MARKET_NOT_OPPOSING,2355,2301,1079,1222,41,13,46.89265536723164,45.52016985138004,1.5873883290911215,1.574060968872078,112,159,market_exhaustion_state
VALIDATION,OPPOSING_MARKET_MULTIPLE_EXHAUSTION,380,374,167,207,6,0,44.6524064171123,41.31578947368421,2.0008521510929076,1.6845464260331462,99,122,market_exhaustion_state
VALIDATION,OPPOSING_MARKET_NOT_MULTIPLE_EXHAUSTION,1399,1365,752,613,20,14,55.091575091575095,52.18012866333095,1.7190371468491168,1.4767521171165776,112,142,market_exhaustion_state
