research_period,quintile,n,ff_pct,baseline_ff_pct,lift_pp
DISCOVERY,Q1,73,57.534246575342465,56.043956043956044,1.490290531386421
DISCOVERY,Q2,73,49.31506849315068,56.043956043956044,-6.728887550805361
DISCOVERY,Q3,72,63.888888888888886,56.043956043956044,7.844932844932842
DISCOVERY,Q4,73,56.16438356164384,56.043956043956044,0.12042751768779425
DISCOVERY,Q5,73,53.42465753424658,56.043956043956044,-2.6192985097094663
VALIDATION,Q1,86,51.16279069767442,57.840616966580974,-6.677826268906557
VALIDATION,Q2,62,62.903225806451616,57.840616966580974,5.0626088398706415
VALIDATION,Q3,84,60.714285714285715,57.840616966580974,2.873668747704741
VALIDATION,Q4,102,62.745098039215684,57.840616966580974,4.9044810726347094
VALIDATION,Q5,55,49.09090909090909,57.840616966580974,-8.74970787567188
