feature,research_period,n,winner_mean,loser_mean,outcome_difference,confirmed_mean,not_confirmed_mean,confirmation_difference
c2_vs_c1_volume_ratio,DISCOVERY,4173,2.8024829056889056,1.90158162847819,0.9009012772107157,2.468549505837927,2.2968524268524946,0.1716970789854324
c2_vs_c1_volume_ratio,VALIDATION,4134,4.719969676705902,3.740246426880181,0.9797232498257209,3.8762266893845276,4.4675889782765585,-0.5913622888920309
c1_rvol_20d,DISCOVERY,4173,1.5753125601515579,1.6298422925048541,-0.05452973235329628,1.6269118600715782,1.5642256458283497,0.06268621424322851
c1_rvol_20d,VALIDATION,4134,1.7689645405753835,1.9152746740278506,-0.14631013345246702,1.9065324848034502,1.7756675475711834,0.13086493723226678
c2_rvol_20d,DISCOVERY,4173,1.9784662949714698,2.196482683923296,-0.21801638895182607,1.9609550839203782,2.182785375599936,-0.2218302916795578
c2_rvol_20d,VALIDATION,4134,2.3375475413172966,2.1495193212677295,0.1880282200495671,2.3286607872335376,2.2711937048611714,0.057467082372366196
opening_2m_rvol_20d,DISCOVERY,4173,1.415494442895241,1.52071264012611,-0.105218197230869,1.44454497186975,1.4795921113666093,-0.035047139496859225
opening_2m_rvol_20d,VALIDATION,4134,1.4860097450601464,1.4150021880237436,0.07100755703640282,1.500870059711703,1.430251623338768,0.07061843637293497
c1_rvol_60d,DISCOVERY,4173,1.7694395494618054,1.6135598116035608,0.1558797378582446,1.7543880483333902,1.6206231327285598,0.1337649156048304
c1_rvol_60d,VALIDATION,4134,1.8500699853170104,1.7801091150703334,0.06996087024667696,1.966470897944158,1.6756868095882638,0.2907840883558943
c2_rvol_60d,DISCOVERY,4173,1.9254625811861592,2.0957161210011854,-0.17025353981502622,1.9347184822882169,2.0911134598266083,-0.1563949775383915
c2_rvol_60d,VALIDATION,4134,2.2844380190597193,2.0887523509549637,0.19568566810475563,2.309350328008,2.196600840703764,0.11274948730423606
opening_2m_rvol_60d,DISCOVERY,4173,1.4295237974620363,1.4682134699141265,-0.03868967245209021,1.4463613966755324,1.4524952903403496,-0.006133893664817203
opening_2m_rvol_60d,VALIDATION,4134,1.4703863400944595,1.3873985196888323,0.08298782040562713,1.4923014458253292,1.4028044172106846,0.08949702861464459
