quarter,early_path_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
2025Q2,CONTINUATION_THEN_REVERSAL,52,52,20,32,0,0,38.46153846153846,100.0,1.094441976288655,1.4328696804508045,0.6357722716129515,1.079105958614078,40,21
2025Q2,FAILURE_THEN_RECOVERY,72,68,40,28,0,4,58.8235294117647,0.0,1.2356292980485664,1.0957685228998162,0.7880195238116375,0.9229697728303002,52,24
2025Q2,IMMEDIATE_CONTINUATION,295,288,241,47,0,7,83.68055555555556,100.0,1.5283133341553683,0.8125540749930154,1.22255817010649,0.4627334324905087,100,25
2025Q2,IMMEDIATE_FAILURE,253,253,51,202,0,0,20.158102766798418,0.0,0.7874308535090071,1.5502688047977928,0.5140586562991923,1.2121898719836948,99,25
2025Q2,INCOMPLETE,9,9,3,6,0,0,33.333333333333336,33.333333333333336,1.015490551747006,1.4404827568813767,0.5219465004836988,1.5360240077124547,6,8
2025Q2,STALLED_MIXED,8,8,3,5,0,0,37.5,0.0,1.2187951810448443,0.8772536395352521,0.7012138810699748,0.6406628358810297,7,6
2025Q3,CONTINUATION_THEN_REVERSAL,153,150,70,80,0,3,46.666666666666664,100.0,1.0589314369738299,1.2791605068379892,0.7746352008647085,0.9284508505388769,80,58
2025Q3,FAILURE_THEN_RECOVERY,158,156,90,66,0,2,57.69230769230769,0.0,1.2521019680935341,1.062766836139011,1.0458921502451686,0.8105912022514283,82,59
2025Q3,IMMEDIATE_CONTINUATION,527,508,412,96,7,12,81.10236220472441,100.0,1.6100621377736426,0.9062010975930568,1.1887934471385497,0.5887939221272598,108,64
2025Q3,IMMEDIATE_FAILURE,757,746,160,586,2,9,21.447721179624665,0.0,0.8426513455475678,1.5149732996721164,0.5459481616576802,1.113585746102444,109,64
2025Q3,INCOMPLETE,20,20,6,14,0,0,30.0,25.0,0.8447208062182631,1.2325570506318395,0.6360244309375975,1.1323474813240535,14,18
2025Q3,STALLED_MIXED,10,10,5,5,0,0,50.0,0.0,1.0687406339582224,0.9928496220199776,0.7431948442625466,0.986343309812182,10,10
