research_period,early_path_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
DISCOVERY,CONTINUATION_THEN_REVERSAL,380,372,158,214,0,8,42.473118279569896,100.0,1.1390384075795166,1.4414754037457174,0.7131957823362917,1.0485427172306436,106,140
DISCOVERY,FAILURE_THEN_RECOVERY,476,463,274,189,1,12,59.1792656587473,0.0,1.3911910514893977,1.0380225673439334,1.0584543162222273,0.7418602999116551,108,149
DISCOVERY,IMMEDIATE_CONTINUATION,1542,1501,1244,257,7,34,82.87808127914724,100.0,1.662525260606991,0.9140244153302274,1.271016337298128,0.547424976045763,112,158
DISCOVERY,IMMEDIATE_FAILURE,1694,1663,367,1296,6,25,22.06855081178593,0.0,0.9579554375874372,1.5579810088530923,0.5873834049198754,1.1703305423785397,112,158
DISCOVERY,INCOMPLETE,44,43,17,26,0,1,39.53488372093023,20.454545454545453,0.9811439912301896,1.2500207966311394,0.7725353924332585,1.1323474813240535,18,40
DISCOVERY,STALLED_MIXED,37,36,20,16,0,1,55.55555555555556,0.0,1.5224927905854968,1.1159255914612107,0.7887679444707366,0.6207508128879718,29,31
VALIDATION,CONTINUATION_THEN_REVERSAL,432,421,192,229,7,4,45.605700712589076,100.0,1.388173280831439,1.6486503391086922,1.0498329467884266,1.2393541811691424,107,143
VALIDATION,FAILURE_THEN_RECOVERY,516,504,283,221,11,1,56.15079365079365,0.0,1.8706772409834742,1.429988078755457,1.351323973991173,0.9051587175568736,110,152
VALIDATION,IMMEDIATE_CONTINUATION,1526,1485,1256,229,29,12,84.57912457912458,100.0,2.1255124101489713,1.2038093809513206,1.5904078768572683,0.7522361106566441,112,159
VALIDATION,IMMEDIATE_FAILURE,1623,1593,248,1345,20,10,15.568110483364721,0.0,1.2563769742197417,1.8981753586063612,0.7387862796833803,1.4418169672678693,112,159
VALIDATION,INCOMPLETE,13,13,6,7,0,0,46.15384615384615,7.6923076923076925,1.4492530471123124,0.9742502103883438,1.3064673383165364,0.8226565922032558,9,13
VALIDATION,STALLED_MIXED,24,24,13,11,0,0,54.166666666666664,0.0,1.5468304392385592,1.3545693839488464,1.2719009352651196,0.9764936986850432,19,24
