research_period,direction,c1_levels_cleared_n,binary_n,favorable_n,adverse_n,ff_pct
DISCOVERY,BEAR,0,9,3,6,33.333333333333336
DISCOVERY,BEAR,1,26,13,13,50.0
DISCOVERY,BEAR,2,81,44,37,54.32098765432099
DISCOVERY,BEAR,3,105,58,47,55.23809523809524
DISCOVERY,BULL,0,5,3,2,60.0
DISCOVERY,BULL,1,15,8,7,53.333333333333336
DISCOVERY,BULL,2,43,23,20,53.48837209302326
DISCOVERY,BULL,3,80,52,28,65.0
VALIDATION,BEAR,0,11,5,6,45.45454545454545
VALIDATION,BEAR,1,16,9,7,56.25
VALIDATION,BEAR,2,67,40,27,59.701492537313435
VALIDATION,BEAR,3,126,68,58,53.96825396825397
VALIDATION,BULL,0,4,2,2,50.0
VALIDATION,BULL,1,13,7,6,53.84615384615385
VALIDATION,BULL,2,46,27,19,58.69565217391305
VALIDATION,BULL,3,106,67,39,63.20754716981132
