quarter,c1_levels_cleared_n,binary_n,favorable_n,adverse_n,ff_pct
2025Q2,0,2,1,1,50.0
2025Q2,1,6,3,3,50.0
2025Q2,2,18,13,5,72.22222222222223
2025Q2,3,14,10,4,71.42857142857143
2025Q3,0,8,3,5,37.5
2025Q3,1,13,3,10,23.076923076923077
2025Q3,2,55,22,33,40.0
2025Q3,3,76,39,37,51.31578947368421
2025Q4,0,4,2,2,50.0
2025Q4,1,18,12,6,66.66666666666667
2025Q4,2,40,23,17,57.5
2025Q4,3,75,48,27,64.0
2026Q1,0,3,2,1,66.66666666666667
2026Q1,1,16,14,2,87.5
2026Q1,2,52,32,20,61.53846153846154
2026Q1,3,104,59,45,56.73076923076923
2026Q2,0,7,2,5,28.571428571428573
2026Q2,1,10,3,7,30.0
2026Q2,2,51,33,18,64.70588235294117
2026Q2,3,92,52,40,56.52173913043478
2026Q3,0,5,3,2,60.0
2026Q3,1,7,2,5,28.571428571428573
2026Q3,2,21,11,10,52.38095238095238
2026Q3,3,56,37,19,66.07142857142857
