research_period,direction,c1_cleared_pattern,binary_n,favorable_n,adverse_n,ff_pct
DISCOVERY,BEAR,AH,17,8,9,47.05882352941177
DISCOVERY,BEAR,AH+PD,37,22,15,59.45945945945946
DISCOVERY,BEAR,NONE,9,3,6,33.333333333333336
DISCOVERY,BEAR,PD,2,0,2,0.0
DISCOVERY,BEAR,PM,7,5,2,71.42857142857143
DISCOVERY,BEAR,PM+AH,42,21,21,50.0
DISCOVERY,BEAR,PM+AH+PD,105,58,47,55.23809523809524
DISCOVERY,BEAR,PM+PD,2,1,1,50.0
DISCOVERY,BULL,AH,13,7,6,53.84615384615385
DISCOVERY,BULL,AH+PD,24,15,9,62.5
DISCOVERY,BULL,NONE,5,3,2,60.0
DISCOVERY,BULL,PD,1,1,0,100.0
DISCOVERY,BULL,PM,1,0,1,0.0
DISCOVERY,BULL,PM+AH,17,8,9,47.05882352941177
DISCOVERY,BULL,PM+AH+PD,80,52,28,65.0
DISCOVERY,BULL,PM+PD,2,0,2,0.0
VALIDATION,BEAR,AH,13,7,6,53.84615384615385
VALIDATION,BEAR,AH+PD,47,30,17,63.829787234042556
VALIDATION,BEAR,NONE,11,5,6,45.45454545454545
VALIDATION,BEAR,PD,1,0,1,0.0
VALIDATION,BEAR,PM,2,2,0,100.0
VALIDATION,BEAR,PM+AH,18,8,10,44.44444444444444
VALIDATION,BEAR,PM+AH+PD,126,68,58,53.96825396825397
VALIDATION,BEAR,PM+PD,2,2,0,100.0
VALIDATION,BULL,AH,10,5,5,50.0
VALIDATION,BULL,AH+PD,21,13,8,61.904761904761905
VALIDATION,BULL,NONE,4,2,2,50.0
VALIDATION,BULL,PM,3,2,1,66.66666666666667
VALIDATION,BULL,PM+AH,25,14,11,56.0
VALIDATION,BULL,PM+AH+PD,106,67,39,63.20754716981132
