research_period,family,state,binary_n,ff_pct,baseline_ff_pct,lift_pp
DISCOVERY,POSITIVE,EXACT_0,213,52.582159624413144,56.043956043956044,-3.4617964195428996
DISCOVERY,POSITIVE,EXACT_1,122,60.65573770491803,56.043956043956044,4.611781660961988
DISCOVERY,POSITIVE,EXACT_2,28,60.714285714285715,56.043956043956044,4.6703296703296715
DISCOVERY,POSITIVE,EXACT_3,1,100.0,56.043956043956044,43.956043956043956
DISCOVERY,POSITIVE,ANY,151,60.9271523178808,56.043956043956044,4.883196273924753
DISCOVERY,POSITIVE,TWO_PLUS,29,62.06896551724138,56.043956043956044,6.025009473285337
DISCOVERY,NEGATIVE,EXACT_0,201,59.20398009950249,56.043956043956044,3.160024055546444
DISCOVERY,NEGATIVE,EXACT_1,123,55.28455284552845,56.043956043956044,-0.7594031984275915
DISCOVERY,NEGATIVE,EXACT_2,38,44.73684210526316,56.043956043956044,-11.307113938692886
DISCOVERY,NEGATIVE,EXACT_3,2,0.0,56.043956043956044,-56.043956043956044
DISCOVERY,NEGATIVE,ANY,163,52.147239263803684,56.043956043956044,-3.89671678015236
DISCOVERY,NEGATIVE,TWO_PLUS,40,42.5,56.043956043956044,-13.543956043956044
VALIDATION,POSITIVE,EXACT_0,219,53.42465753424658,57.840616966580974,-4.415959432334397
VALIDATION,POSITIVE,EXACT_1,144,61.80555555555556,57.840616966580974,3.964938588974583
VALIDATION,POSITIVE,EXACT_2,24,70.83333333333333,57.840616966580974,12.992716366752354
VALIDATION,POSITIVE,EXACT_3,2,100.0,57.840616966580974,42.159383033419026
VALIDATION,POSITIVE,ANY,170,63.529411764705884,57.840616966580974,5.68879479812491
VALIDATION,POSITIVE,TWO_PLUS,26,73.07692307692308,57.840616966580974,15.236306110342106
VALIDATION,NEGATIVE,EXACT_0,219,63.470319634703195,57.840616966580974,5.629702668122221
VALIDATION,NEGATIVE,EXACT_1,136,50.73529411764706,57.840616966580974,-7.105322848933916
VALIDATION,NEGATIVE,EXACT_2,33,48.484848484848484,57.840616966580974,-9.35576848173249
VALIDATION,NEGATIVE,EXACT_3,1,100.0,57.840616966580974,42.159383033419026
VALIDATION,NEGATIVE,ANY,170,50.588235294117645,57.840616966580974,-7.252381672463329
VALIDATION,NEGATIVE,TWO_PLUS,34,50.0,57.840616966580974,-7.840616966580974
