research_period,a38_target,a37_condition,condition_state,a38_n,a37_n,intersection_n,jaccard,conditional_baseline_n,conditional_baseline_ff_pct,target_n,target_ff_pct,incremental_lift_pp
DISCOVERY,A38_P_PM_REMAINS,A37_P_COMPACT_Q2,A37_ABSENT,61,73,11,0.08943089430894309,291,54.982817869415804,50,60.0,5.017182130584196
DISCOVERY,A38_P_PM_REMAINS,A37_P_COMPACT_Q2,A37_PRESENT,61,73,11,0.08943089430894309,73,60.273972602739725,11,63.63636363636363,3.362391033623908
DISCOVERY,A38_P_PM_REMAINS,A37_P_ORDER,A37_ABSENT,61,47,14,0.14893617021276595,317,54.889589905362776,47,61.702127659574465,6.812537754211689
DISCOVERY,A38_P_PM_REMAINS,A37_P_ORDER,A37_PRESENT,61,47,14,0.14893617021276595,47,63.829787234042556,14,57.142857142857146,-6.68693009118541
DISCOVERY,A38_P_PM_REMAINS,A37_N_PM_PD_Q4,A37_ABSENT,61,73,16,0.13559322033898305,291,57.7319587628866,45,62.22222222222222,4.4902634593356225
DISCOVERY,A38_P_PM_REMAINS,A37_N_PM_PD_Q4,A37_PRESENT,61,73,16,0.13559322033898305,73,49.31506849315068,16,56.25,6.934931506849317
DISCOVERY,A38_P_PM_REMAINS,A37_N_OUTER_Q4,A37_ABSENT,61,73,9,0.072,291,57.38831615120275,52,63.46153846153846,6.073222310335709
DISCOVERY,A38_P_PM_REMAINS,A37_N_OUTER_Q4,A37_PRESENT,61,73,9,0.072,73,50.68493150684932,9,44.44444444444444,-6.240487062404874
DISCOVERY,A38_N_PD_REMAINS,A37_P_COMPACT_Q2,A37_ABSENT,59,73,14,0.11864406779661017,291,54.982817869415804,45,48.888888888888886,-6.093928980526918
DISCOVERY,A38_N_PD_REMAINS,A37_P_COMPACT_Q2,A37_PRESENT,59,73,14,0.11864406779661017,73,60.273972602739725,14,50.0,-10.273972602739725
DISCOVERY,A38_N_PD_REMAINS,A37_P_ORDER,A37_ABSENT,59,47,0,0.0,317,54.889589905362776,59,49.152542372881356,-5.737047532481419
DISCOVERY,A38_N_PD_REMAINS,A37_P_ORDER,A37_PRESENT,59,47,0,0.0,47,63.829787234042556,0,,
DISCOVERY,A38_N_PD_REMAINS,A37_N_PM_PD_Q4,A37_ABSENT,59,73,17,0.14782608695652175,291,57.7319587628866,42,52.38095238095238,-5.351006381934219
DISCOVERY,A38_N_PD_REMAINS,A37_N_PM_PD_Q4,A37_PRESENT,59,73,17,0.14782608695652175,73,49.31506849315068,17,41.1764705882353,-8.138597904915386
DISCOVERY,A38_N_PD_REMAINS,A37_N_OUTER_Q4,A37_ABSENT,59,73,11,0.09090909090909091,291,57.38831615120275,48,50.0,-7.388316151202751
DISCOVERY,A38_N_PD_REMAINS,A37_N_OUTER_Q4,A37_PRESENT,59,73,11,0.09090909090909091,73,50.68493150684932,11,45.45454545454545,-5.230386052303864
VALIDATION,A38_P_PM_REMAINS,A37_P_COMPACT_Q2,A37_ABSENT,68,68,10,0.07936507936507936,321,55.76323987538941,58,60.3448275862069,4.581587710817487
VALIDATION,A38_P_PM_REMAINS,A37_P_COMPACT_Q2,A37_PRESENT,68,68,10,0.07936507936507936,68,67.6470588235294,10,80.0,12.352941176470594
VALIDATION,A38_P_PM_REMAINS,A37_P_ORDER,A37_ABSENT,68,62,13,0.1111111111111111,327,56.57492354740061,55,60.0,3.4250764525993915
VALIDATION,A38_P_PM_REMAINS,A37_P_ORDER,A37_PRESENT,68,62,13,0.1111111111111111,62,64.51612903225806,13,76.92307692307692,12.406947890818856
VALIDATION,A38_P_PM_REMAINS,A37_N_PM_PD_Q4,A37_ABSENT,68,85,18,0.13333333333333333,304,59.86842105263158,50,66.0,6.131578947368418
VALIDATION,A38_P_PM_REMAINS,A37_N_PM_PD_Q4,A37_PRESENT,68,85,18,0.13333333333333333,85,50.588235294117645,18,55.55555555555556,4.967320261437912
VALIDATION,A38_P_PM_REMAINS,A37_N_OUTER_Q4,A37_ABSENT,68,77,9,0.0661764705882353,312,59.61538461538461,59,67.79661016949153,8.181225554106916
VALIDATION,A38_P_PM_REMAINS,A37_N_OUTER_Q4,A37_PRESENT,68,77,9,0.0661764705882353,77,50.64935064935065,9,33.333333333333336,-17.316017316017316
VALIDATION,A38_N_PD_REMAINS,A37_P_COMPACT_Q2,A37_ABSENT,43,68,9,0.08823529411764706,321,55.76323987538941,34,47.05882352941177,-8.704416345977641
VALIDATION,A38_N_PD_REMAINS,A37_P_COMPACT_Q2,A37_PRESENT,43,68,9,0.08823529411764706,68,67.6470588235294,9,66.66666666666667,-0.9803921568627345
VALIDATION,A38_N_PD_REMAINS,A37_P_ORDER,A37_ABSENT,43,62,0,0.0,327,56.57492354740061,43,51.16279069767442,-5.412132849726191
VALIDATION,A38_N_PD_REMAINS,A37_P_ORDER,A37_PRESENT,43,62,0,0.0,62,64.51612903225806,0,,
VALIDATION,A38_N_PD_REMAINS,A37_N_PM_PD_Q4,A37_ABSENT,43,85,15,0.13274336283185842,304,59.86842105263158,28,57.142857142857146,-2.7255639097744364
VALIDATION,A38_N_PD_REMAINS,A37_N_PM_PD_Q4,A37_PRESENT,43,85,15,0.13274336283185842,85,50.588235294117645,15,40.0,-10.588235294117645
VALIDATION,A38_N_PD_REMAINS,A37_N_OUTER_Q4,A37_ABSENT,43,77,2,0.01694915254237288,312,59.61538461538461,41,48.78048780487805,-10.834896810506564
VALIDATION,A38_N_PD_REMAINS,A37_N_OUTER_Q4,A37_PRESENT,43,77,2,0.01694915254237288,77,50.64935064935065,2,100.0,49.35064935064935
