research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,LOW_PREMARKET_RVOL,769,747,367,380,0,22,49.129852744310575,43.5630689206762,1.0908036508057304,1.0513797756041605,0.7759248938997737,0.7417967966853135,111,139,low_premarket_rvol_candidate
DISCOVERY,OTHER,3404,3331,1713,1618,14,59,51.425998198739116,46.88601645123384,1.334343877765703,1.2862173876062482,0.9484688290115812,0.9171551725335263,112,158,low_premarket_rvol_candidate
VALIDATION,LOW_PREMARKET_RVOL,635,630,294,336,0,5,46.666666666666664,45.669291338582674,1.4391081480507644,1.4484070098451993,1.033980245657058,1.0522390047683712,109,141,low_premarket_rvol_candidate
VALIDATION,OTHER,3499,3410,1704,1706,67,22,49.97067448680352,47.699342669334094,1.7118384186494926,1.5699568402917201,1.2029240307208267,1.1330886096299766,112,159,low_premarket_rvol_candidate
DISCOVERY,LOW_PREMARKET_RVOL_MARKET_ALIGNED,407,395,189,206,0,12,47.848101265822784,39.55773955773956,1.1517837716741912,1.010891156185238,0.8281155322157214,0.7335002740550371,107,119,low_premarket_rvol_market_aligned_candidate
DISCOVERY,OTHER,3766,3683,1891,1792,14,69,51.34401303285365,46.999468932554436,1.3043437526055932,1.268019738259128,0.9242760805918516,0.90425046058353,112,158,low_premarket_rvol_market_aligned_candidate
VALIDATION,LOW_PREMARKET_RVOL_MARKET_ALIGNED,346,343,147,196,0,3,42.857142857142854,39.30635838150289,1.3140321042945955,1.4204362640339345,0.9807693941169977,1.0975188682238528,106,113,low_premarket_rvol_market_aligned_candidate
VALIDATION,OTHER,3788,3697,1851,1846,67,24,50.067622396537736,48.12565997888068,1.7024554363201903,1.563238249228271,1.1994521318892555,1.1246129929816813,112,159,low_premarket_rvol_market_aligned_candidate
DISCOVERY,HIGH_PREMARKET_RVOL,769,755,376,379,9,5,49.80132450331126,42.52275682704811,1.462753613536879,1.5113329927749448,0.9941129160572838,1.1416434355502336,110,145,high_premarket_rvol_candidate
DISCOVERY,OTHER,3404,3323,1704,1619,5,76,51.27896479085164,47.12103407755582,1.2503164038114571,1.1823090374287122,0.892442216433625,0.8394111581416592,112,158,high_premarket_rvol_candidate
VALIDATION,HIGH_PREMARKET_RVOL,782,747,384,363,32,3,51.40562248995984,49.36061381074169,1.8631424035135398,1.6795893312548495,1.4204281336901783,1.1993710815626286,109,152,high_premarket_rvol_candidate
VALIDATION,OTHER,3352,3293,1614,1679,35,24,49.013058001822046,46.927207637231504,1.62487438583509,1.5213539911668075,1.1442542935594562,1.1088096046100042,112,159,high_premarket_rvol_candidate
