research_period,relative_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,relative_feature,context_feature
DISCOVERY,BOTH_RELATIVE_ALIGNED,CONSENSUS_ALIGNED,906,896,430,466,1,9,47.99107142857143,42.05298013245033,1.411572004594953,1.3145441631221109,0.9318469940231269,0.9333042905784799,110,144,relative_consensus_5d,market_prior_5d_consensus
DISCOVERY,BOTH_RELATIVE_ALIGNED,CONSENSUS_OPPOSING,917,900,456,444,4,13,50.666666666666664,46.0196292257361,1.2118861045934988,1.2475485988884634,0.8850660683121516,0.9107129581443928,109,146,relative_consensus_5d,market_prior_5d_consensus
DISCOVERY,BOTH_RELATIVE_ALIGNED,MIXED,60,60,26,34,0,0,43.333333333333336,50.0,1.4561117932981127,1.639246785555829,0.977895899918851,1.2356922922768603,49,6,relative_consensus_5d,market_prior_5d_consensus
DISCOVERY,BOTH_RELATIVE_OPPOSING,CONSENSUS_ALIGNED,900,880,464,416,1,19,52.72727272727273,46.22222222222222,1.2337891946385826,1.150567397122487,0.927510425550899,0.8287874446898638,109,145,relative_consensus_5d,market_prior_5d_consensus
DISCOVERY,BOTH_RELATIVE_OPPOSING,CONSENSUS_OPPOSING,845,829,422,407,8,8,50.90470446320869,48.16568047337278,1.3775728339916486,1.3714925973680252,0.9631240589823935,0.9194302721088381,108,145,relative_consensus_5d,market_prior_5d_consensus
DISCOVERY,BOTH_RELATIVE_OPPOSING,MIXED,64,63,31,32,0,1,49.20634920634921,45.3125,1.73175952697587,1.330300576727472,1.3965650788604234,1.0292291003431222,57,6,relative_consensus_5d,market_prior_5d_consensus
DISCOVERY,MIXED,CONSENSUS_ALIGNED,143,130,67,63,0,13,51.53846153846154,43.35664335664335,1.0132409164174416,0.8789712380334839,0.6752789195537195,0.5944984089767142,61,81,relative_consensus_5d,market_prior_5d_consensus
DISCOVERY,MIXED,CONSENSUS_OPPOSING,185,170,91,79,0,15,53.529411764705884,49.729729729729726,1.0246859508215147,0.9864870798266987,0.7151409196863846,0.6691318894171554,73,86,relative_consensus_5d,market_prior_5d_consensus
DISCOVERY,MIXED,MIXED,10,9,2,7,0,1,22.22222222222222,50.0,0.7660532451517721,1.729831709075381,0.30435570263429546,1.5512435402346223,9,5,relative_consensus_5d,market_prior_5d_consensus
DISCOVERY,UNKNOWN,UNKNOWN,143,141,91,50,0,2,64.53900709219859,60.83916083916084,1.230568193605538,1.0378230612189279,0.9549312853678329,0.7626422621142857,83,6,relative_consensus_5d,market_prior_5d_consensus
VALIDATION,BOTH_RELATIVE_ALIGNED,CONSENSUS_ALIGNED,761,736,344,392,23,2,46.73913043478261,46.517739816031536,1.9026361000646768,1.7972701328109506,1.2633884452042037,1.3220907862960949,110,143,relative_consensus_5d,market_prior_5d_consensus
VALIDATION,BOTH_RELATIVE_ALIGNED,CONSENSUS_OPPOSING,933,921,476,445,9,3,51.68295331161781,47.37406216505895,1.6892147627904979,1.418634110389165,1.2454152742684863,0.9950898453823659,109,144,relative_consensus_5d,market_prior_5d_consensus
VALIDATION,BOTH_RELATIVE_ALIGNED,MIXED,135,133,71,62,2,0,53.38345864661654,54.074074074074076,1.604826545401571,1.5663812122902894,1.1575595208006977,1.1491875923190507,78,13,relative_consensus_5d,market_prior_5d_consensus
VALIDATION,BOTH_RELATIVE_OPPOSING,CONSENSUS_ALIGNED,1020,1006,453,553,12,2,45.02982107355865,43.529411764705884,1.4204028664706139,1.479549566286905,1.021854845537164,1.0975471763466969,109,145,relative_consensus_5d,market_prior_5d_consensus
VALIDATION,BOTH_RELATIVE_OPPOSING,CONSENSUS_OPPOSING,717,697,387,310,18,2,55.52367288378766,51.04602510460251,2.069407279785624,1.668026660960909,1.5724843029393805,1.2179585180655284,107,143,relative_consensus_5d,market_prior_5d_consensus
VALIDATION,BOTH_RELATIVE_OPPOSING,MIXED,160,159,78,81,1,0,49.056603773584904,49.375,1.4488491188457757,1.6840422966041289,1.0050330821115963,1.1647498890772754,84,13,relative_consensus_5d,market_prior_5d_consensus
VALIDATION,MIXED,CONSENSUS_ALIGNED,200,191,91,100,1,8,47.64397905759162,45.0,1.0836188526504484,1.2486248048310475,0.7528878573182514,0.8288435865209237,77,99,relative_consensus_5d,market_prior_5d_consensus
VALIDATION,MIXED,CONSENSUS_OPPOSING,176,165,84,81,1,10,50.90909090909091,52.84090909090909,1.400745436895476,1.4142722095498528,0.838811686897678,0.9036193420712593,73,84,relative_consensus_5d,market_prior_5d_consensus
VALIDATION,MIXED,MIXED,32,32,14,18,0,0,43.75,56.25,1.1035781737346408,1.157764527679952,0.8755092875622941,0.958057527380917,22,13,relative_consensus_5d,market_prior_5d_consensus
DISCOVERY,BOTH_RELATIVE_ALIGNED,MULTIPLE,800,790,377,413,1,9,47.721518987341774,43.25,1.5531848187314987,1.4548808365164891,1.0898913905698207,1.072784991039104,107,150,relative_consensus_5d,aligned_exhaustion_state
DISCOVERY,BOTH_RELATIVE_ALIGNED,NONE,674,660,345,315,3,11,52.27272727272727,45.99406528189911,1.0825610114156363,1.0645263803570244,0.8056008315182641,0.7858523547686873,107,148,relative_consensus_5d,aligned_exhaustion_state
DISCOVERY,BOTH_RELATIVE_ALIGNED,ONE,409,406,190,216,1,2,46.79802955665025,43.27628361858191,1.2355905256572481,1.349482725009479,0.8336398185607539,0.969940580216707,105,146,relative_consensus_5d,aligned_exhaustion_state
DISCOVERY,BOTH_RELATIVE_OPPOSING,MULTIPLE,75,73,31,42,0,2,42.465753424657535,52.0,1.4653359860770032,1.5895165877122872,1.0647565579324445,1.150283168507268,46,52,relative_consensus_5d,aligned_exhaustion_state
DISCOVERY,BOTH_RELATIVE_OPPOSING,NONE,1519,1487,782,705,7,25,52.58910558170814,47.07044107965767,1.3002839392595722,1.1998489328749828,0.9333160296757723,0.8382579079136353,110,152,relative_consensus_5d,aligned_exhaustion_state
DISCOVERY,BOTH_RELATIVE_OPPOSING,ONE,215,212,104,108,2,1,49.056603773584904,45.58139534883721,1.396560125270037,1.5710551906104986,1.1471808640468608,1.1750613199475228,86,110,relative_consensus_5d,aligned_exhaustion_state
DISCOVERY,MIXED,MULTIPLE,26,26,13,13,0,0,50.0,34.61538461538461,1.487865874840295,1.2025139897609178,1.2849878863295965,0.7305335435506941,21,21,relative_consensus_5d,aligned_exhaustion_state
DISCOVERY,MIXED,NONE,263,235,122,113,0,28,51.91489361702128,49.80988593155894,0.894073794716883,0.895778532511638,0.6457837324743597,0.598383378040144,80,111,relative_consensus_5d,aligned_exhaustion_state
DISCOVERY,MIXED,ONE,49,48,25,23,0,1,52.083333333333336,38.775510204081634,1.39377476826131,1.1966570635333997,0.8017507679932877,0.9633911368015551,39,41,relative_consensus_5d,aligned_exhaustion_state
DISCOVERY,UNKNOWN,NONE,138,136,87,49,0,2,63.970588235294116,60.869565217391305,1.2330124772687223,1.017575977000335,0.936214120953454,0.7304159559801338,82,6,relative_consensus_5d,aligned_exhaustion_state
DISCOVERY,UNKNOWN,ONE,5,5,4,1,0,0,80.0,60.0,1.1631059645016446,1.5966425856520925,1.2897420515897025,0.9210390147987173,5,2,relative_consensus_5d,aligned_exhaustion_state
VALIDATION,BOTH_RELATIVE_ALIGNED,MULTIPLE,999,976,463,513,23,0,47.43852459016394,45.44544544544544,2.018779046704862,1.7743582492289334,1.4039310068191087,1.2608875985068404,109,157,relative_consensus_5d,aligned_exhaustion_state
VALIDATION,BOTH_RELATIVE_ALIGNED,NONE,453,444,230,214,4,5,51.8018018018018,50.77262693156733,1.312329482480244,1.2653204640940108,1.01393431279,0.9723842862699339,104,146,relative_consensus_5d,aligned_exhaustion_state
VALIDATION,BOTH_RELATIVE_ALIGNED,ONE,377,370,198,172,7,0,53.513513513513516,49.07161803713528,1.6693620855179252,1.4774419058544355,1.2758648891796767,1.170505421004378,108,137,relative_consensus_5d,aligned_exhaustion_state
VALIDATION,BOTH_RELATIVE_OPPOSING,MULTIPLE,130,126,60,66,4,0,47.61904761904762,50.76923076923077,1.918300419310691,1.8661069633188756,1.3751913478830609,1.3327540937184459,77,69,relative_consensus_5d,aligned_exhaustion_state
VALIDATION,BOTH_RELATIVE_OPPOSING,NONE,1464,1437,719,718,23,4,50.034794711203894,46.994535519125684,1.5909819090195612,1.5169927880488712,1.1553936615144378,1.1042153359715279,110,159,relative_consensus_5d,aligned_exhaustion_state
VALIDATION,BOTH_RELATIVE_OPPOSING,ONE,303,299,139,160,4,0,46.48829431438127,44.554455445544555,1.933383607612591,1.6867692872715325,1.3595603124096003,1.2679310159565815,100,128,relative_consensus_5d,aligned_exhaustion_state
VALIDATION,MIXED,MULTIPLE,65,64,30,34,0,1,46.875,40.0,1.5240485524676053,1.5196645681258585,0.9855734895014875,1.143024373928663,47,48,relative_consensus_5d,aligned_exhaustion_state
VALIDATION,MIXED,NONE,262,245,120,125,2,15,48.97959183673469,52.29007633587786,1.0736470081371208,1.1849253512712465,0.733728094209448,0.7372163219595113,81,120,relative_consensus_5d,aligned_exhaustion_state
VALIDATION,MIXED,ONE,81,79,39,40,0,2,49.36708860759494,46.91358024691358,1.459392554825704,1.5611937749567233,1.0321734327533862,1.0373815059917695,53,53,relative_consensus_5d,aligned_exhaustion_state
DISCOVERY,BOTH_RELATIVE_ALIGNED,ALIGNED,1652,1632,792,840,4,16,48.529411764705884,43.46246973365617,1.345429754067611,1.2974786013801047,0.926069687393278,0.9346898479747348,110,152,relative_consensus_5d,trend_5d_binary_state
DISCOVERY,BOTH_RELATIVE_ALIGNED,OPPOSING,231,224,120,104,1,6,53.57142857142857,49.78354978354978,1.103465575556099,1.2549750416570131,0.763131813676918,0.9094277480444535,95,97,relative_consensus_5d,trend_5d_binary_state
DISCOVERY,BOTH_RELATIVE_OPPOSING,ALIGNED,229,222,123,99,0,7,55.4054054054054,44.10480349344978,1.2549186666634582,1.0843862768368164,0.947700947700928,0.7253232418795309,92,98,relative_consensus_5d,trend_5d_binary_state
DISCOVERY,BOTH_RELATIVE_OPPOSING,FLAT,2,2,1,1,0,0,50.0,0.0,0.6877377816798345,2.0576438269592314,0.6877377816798345,2.0576438269592314,2,2,relative_consensus_5d,trend_5d_binary_state
DISCOVERY,BOTH_RELATIVE_OPPOSING,OPPOSING,1578,1548,793,755,9,21,51.22739018087855,47.59188846641318,1.328605880478347,1.2846143181541372,0.9520817338506489,0.8897808873518727,110,152,relative_consensus_5d,trend_5d_binary_state
DISCOVERY,MIXED,ALIGNED,148,135,69,66,0,13,51.111111111111114,43.91891891891892,1.0239895490035142,0.9264543057281392,0.6777313624742354,0.6659951074775796,62,84,relative_consensus_5d,trend_5d_binary_state
DISCOVERY,MIXED,OPPOSING,190,174,91,83,0,16,52.298850574712645,49.473684210526315,1.0030022692035365,0.9914530349985086,0.6965563699856121,0.7257027937517624,74,91,relative_consensus_5d,trend_5d_binary_state
DISCOVERY,UNKNOWN,UNKNOWN,143,141,91,50,0,2,64.53900709219859,60.83916083916084,1.230568193605538,1.0378230612189279,0.9549312853678329,0.7626422621142857,83,6,relative_consensus_5d,trend_5d_binary_state
VALIDATION,BOTH_RELATIVE_ALIGNED,ALIGNED,1618,1580,780,800,33,5,49.36708860759494,46.78615574783684,1.809012237660661,1.6251389484749243,1.2552283899540249,1.1736034845124945,110,159,relative_consensus_5d,trend_5d_binary_state
VALIDATION,BOTH_RELATIVE_ALIGNED,OPPOSING,211,210,111,99,1,0,52.857142857142854,53.08056872037915,1.4863186205071872,1.2952362136918754,1.1536890824938697,0.9166945466711306,92,91,relative_consensus_5d,trend_5d_binary_state
VALIDATION,BOTH_RELATIVE_OPPOSING,ALIGNED,227,224,85,139,1,2,37.94642857142857,36.563876651982376,1.146739209943934,1.4413455951868563,0.8288488897136164,1.1372053505293946,87,83,relative_consensus_5d,trend_5d_binary_state
VALIDATION,BOTH_RELATIVE_OPPOSING,OPPOSING,1670,1638,833,805,30,2,50.85470085470085,48.26347305389221,1.7389712585415387,1.585255683156203,1.240141240428672,1.144117009530878,110,159,relative_consensus_5d,trend_5d_binary_state
VALIDATION,MIXED,ALIGNED,220,211,101,110,1,8,47.867298578199055,45.45454545454545,1.101532332875781,1.2495165281322698,0.7875572446090229,0.8431631342699024,79,109,relative_consensus_5d,trend_5d_binary_state
VALIDATION,MIXED,OPPOSING,188,177,88,89,1,10,49.717514124293785,53.723404255319146,1.3629380625028202,1.3871898858704397,0.8307791929664848,0.9036193420712593,73,93,relative_consensus_5d,trend_5d_binary_state
DISCOVERY,MIXED,ALIGNED,515,500,233,267,0,15,46.6,41.74757281553398,1.2818762128785604,1.2783064685754355,0.8718297101449393,0.9161562612589433,110,116,relative_multi_horizon_state,market_daily_regime_state
