research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,FLAT,45,26,16,10,0,19,61.53846153846154,53.333333333333336,0.39610488236086433,0.4427270023475154,0.33399808680708515,0.26677128285602913,1,45,ALL,directional_stock_vs_spy_1d_pct
DISCOVERY,RELATIVE_ALIGNED,2114,2074,1042,1032,9,31,50.241080038572804,45.931882686849576,1.2798809442648302,1.291329272630544,0.9046685329864772,0.9430048314711508,111,156,ALL,directional_stock_vs_spy_1d_pct
DISCOVERY,RELATIVE_OPPOSING,1961,1926,998,928,5,30,51.81723779854621,46.557878633350334,1.3324525342036575,1.2094988826134705,0.9531866892272897,0.8509108341323032,111,156,ALL,directional_stock_vs_spy_1d_pct
DISCOVERY,UNKNOWN,53,52,24,28,0,1,46.15384615384615,43.39622641509434,0.8396624892188257,1.2297156339555573,0.4607396211696415,0.9909591942008618,47,2,ALL,directional_stock_vs_spy_1d_pct
VALIDATION,FLAT,65,52,22,30,0,13,42.30769230769231,52.30769230769231,0.5110524778931913,0.5259956156439557,0.43177200299431934,0.46506851324784476,1,65,ALL,directional_stock_vs_spy_1d_pct
VALIDATION,RELATIVE_ALIGNED,2157,2118,1054,1064,29,10,49.76392823418319,48.44691701437181,1.6794255575665744,1.5552224860772097,1.2026840363190894,1.1462616973739665,111,159,ALL,directional_stock_vs_spy_1d_pct
VALIDATION,RELATIVE_OPPOSING,1912,1870,922,948,38,4,49.3048128342246,46.02510460251046,1.6986490387723072,1.581701264616649,1.1802892338770685,1.1319578063608682,111,159,ALL,directional_stock_vs_spy_1d_pct
DISCOVERY,FLAT,24,11,8,3,0,13,72.72727272727273,62.5,0.39440132178089665,0.37230205954123763,0.3448188487435645,0.26255846844537367,1,24,BEAR,directional_stock_vs_spy_1d_pct
DISCOVERY,RELATIVE_ALIGNED,1080,1060,526,534,7,13,49.62264150943396,44.53703703703704,1.306469992000682,1.297802976850914,0.9329998224360563,0.9541903593701693,111,156,BEAR,directional_stock_vs_spy_1d_pct
DISCOVERY,RELATIVE_OPPOSING,987,971,486,485,4,12,50.05149330587024,46.605876393110435,1.3542280141379524,1.2433657048382671,0.9669473419630392,0.8895038545166943,111,156,BEAR,directional_stock_vs_spy_1d_pct
DISCOVERY,UNKNOWN,30,30,7,23,0,0,23.333333333333332,30.0,0.44763788839659735,1.7854040854650173,0.2624971837340436,1.5405404630292483,28,2,BEAR,directional_stock_vs_spy_1d_pct
DISCOVERY,FLAT,21,15,8,7,0,6,53.333333333333336,42.857142857142854,0.3980518087379703,0.5232126512689754,0.33399808680708515,0.3164127830764397,1,21,BULL,directional_stock_vs_spy_1d_pct
DISCOVERY,RELATIVE_ALIGNED,1034,1014,516,498,2,18,50.887573964497044,47.38878143133462,1.2521090181964352,1.2845675699632337,0.8885107499485994,0.9253065448684663,111,155,BULL,directional_stock_vs_spy_1d_pct
DISCOVERY,RELATIVE_OPPOSING,974,955,512,443,1,18,53.61256544502618,46.50924024640657,1.3103864164468313,1.17518003914748,0.9414485581700217,0.8174741066710384,111,155,BULL,directional_stock_vs_spy_1d_pct
DISCOVERY,UNKNOWN,23,22,17,5,0,1,77.27272727272727,60.869565217391305,1.3509989250739065,0.5049046102475664,1.1950294790640286,0.2676087242726147,23,2,BULL,directional_stock_vs_spy_1d_pct
VALIDATION,FLAT,31,25,13,12,0,6,52.0,51.61290322580645,0.571173786127834,0.4916066178296732,0.49518550569360564,0.33483631706731287,1,31,BEAR,directional_stock_vs_spy_1d_pct
VALIDATION,RELATIVE_ALIGNED,1079,1065,546,519,9,5,51.267605633802816,48.56348470806302,1.6578711916643571,1.5800377365172684,1.202140798682584,1.1631825021078874,111,158,BEAR,directional_stock_vs_spy_1d_pct
VALIDATION,RELATIVE_OPPOSING,906,887,435,452,15,4,49.041713641488165,47.019867549668874,1.6442660611574398,1.5587394767438636,1.1577679865615602,1.0981073291005896,111,157,BEAR,directional_stock_vs_spy_1d_pct
VALIDATION,FLAT,34,27,9,18,0,7,33.333333333333336,52.94117647058823,0.4562359909733701,0.5573502901216839,0.39659723778488426,0.5400766164783086,1,34,BULL,directional_stock_vs_spy_1d_pct
VALIDATION,RELATIVE_ALIGNED,1078,1053,508,545,20,5,48.243114909781575,48.33024118738405,1.7009999182423565,1.530384215924312,1.2038285762417984,1.109907984527257,111,157,BULL,directional_stock_vs_spy_1d_pct
VALIDATION,RELATIVE_OPPOSING,1006,983,487,496,23,0,49.542217700915565,45.12922465208747,1.7476261538012037,1.6023805686054597,1.1898300225746077,1.1445779928962063,111,157,BULL,directional_stock_vs_spy_1d_pct
DISCOVERY,FLAT,45,38,20,18,0,7,52.63157894736842,53.333333333333336,0.6291372038565709,0.5762038828904076,0.4962788164821298,0.37824207492795797,1,45,ALL,directional_stock_vs_qqq_1d_pct
DISCOVERY,RELATIVE_ALIGNED,2100,2057,1034,1023,9,34,50.26737967914438,45.76190476190476,1.279308724681284,1.2915812015235413,0.9055580096067606,0.9554200330776503,111,156,ALL,directional_stock_vs_qqq_1d_pct
DISCOVERY,RELATIVE_OPPOSING,1975,1931,1002,929,5,39,51.89021232522009,46.734177215189874,1.327378713646187,1.2067698269985414,0.9442060085836861,0.8408986319708786,111,156,ALL,directional_stock_vs_qqq_1d_pct
DISCOVERY,UNKNOWN,53,52,24,28,0,1,46.15384615384615,43.39622641509434,0.8396624892188257,1.2297156339555573,0.4607396211696415,0.9909591942008618,47,2,ALL,directional_stock_vs_qqq_1d_pct
VALIDATION,FLAT,62,59,28,31,0,3,47.45762711864407,54.83870967741935,0.7305980939424479,0.6813325838680352,0.5702405015991334,0.6514337376045447,1,62,ALL,directional_stock_vs_qqq_1d_pct
