research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature,feature_label
DISCOVERY,EXTREME,835,822,402,420,12,1,48.90510948905109,376,45.02994011976048,1.7326435288135253,1.7377670956215974,1.2431322909581228,1.3008130081300824,106,156,ALL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
DISCOVERY,LOW,835,782,392,390,1,52,50.12787723785166,396,47.4251497005988,0.9375984749736148,0.9924029952471245,0.6813958290315885,0.7060108437024621,111,157,ALL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
DISCOVERY,MODERATE,2503,2474,1286,1188,1,28,51.98059822150364,1159,46.30443467838594,1.2590021950546535,1.161447466630398,0.9326836151963401,0.8287495416208255,112,158,ALL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
VALIDATION,EXTREME,1419,1367,660,707,52,0,48.28090709583029,661,46.582100070472165,2.161087289877679,2.0099248226181317,1.6189393729382016,1.447963800904968,109,159,ALL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
VALIDATION,LOW,550,527,255,272,4,19,48.38709677419355,269,48.90909090909091,1.1075873659240787,1.2012129567857717,0.7592602463900242,0.8806183890755805,103,149,ALL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
VALIDATION,MODERATE,2165,2146,1083,1063,11,8,50.46598322460392,1029,47.52886836027714,1.4909008707954459,1.3396152359838926,1.0890927846245695,1.0068230986853146,112,159,ALL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
DISCOVERY,EXTREME,427,418,205,213,9,0,49.04306220095694,195,45.667447306791566,1.7539889125353643,1.8185909500241142,1.2472017908538553,1.3895443343296132,93,127,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
DISCOVERY,LOW,421,391,189,202,1,29,48.33759590792839,193,45.843230403800476,0.9420553120736297,0.9602124219335756,0.6697433588473647,0.6984738674432348,104,147,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
DISCOVERY,MODERATE,1273,1263,633,630,1,9,50.1187648456057,577,45.32600157109191,1.276470430207334,1.186597621659831,0.9360915289494999,0.8656124570820739,112,158,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
DISCOVERY,EXTREME,408,404,197,207,3,1,48.76237623762376,181,44.36274509803921,1.7103041198693458,1.6531793852542565,1.2153134986591785,1.2067876534892652,100,139,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
DISCOVERY,LOW,414,391,203,188,0,23,51.91815856777494,203,49.033816425120776,0.9330662807245659,1.0251378536167,0.6991464576257187,0.7169878898040651,102,141,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
DISCOVERY,MODERATE,1230,1211,653,558,0,19,53.922378199834846,582,47.31707317073171,1.240923281762489,1.1354180785389603,0.9219109698278493,0.7758511437305483,112,156,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
VALIDATION,EXTREME,677,659,325,334,18,0,49.317147192716234,314,46.38109305760709,2.0863905264451144,2.0293114365101372,1.5960905999739927,1.4587061439184414,107,154,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
VALIDATION,LOW,272,261,131,130,1,10,50.191570881226056,137,50.36764705882353,1.073795015084453,1.1890275015673781,0.7463265425594271,0.932343696470616,87,126,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
VALIDATION,MODERATE,1067,1057,538,519,5,5,50.89877010406812,515,48.26616682286785,1.491748663615868,1.344947671828588,1.0983032861162654,1.0270679198348474,112,158,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
VALIDATION,EXTREME,742,708,335,373,34,0,47.31638418079096,347,46.76549865229111,2.2292405362979575,1.992236497005076,1.6360580218324126,1.4419611546366393,106,157,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
VALIDATION,LOW,278,266,124,142,3,9,46.61654135338346,132,47.48201438848921,1.1406503854506187,1.2131354165677972,0.7721192752436529,0.7940803482265263,87,122,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
VALIDATION,MODERATE,1098,1089,545,544,6,3,50.045913682277316,514,46.81238615664845,1.4900770138378956,1.3344333516065792,1.070369802996364,0.9867821910855143,112,159,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
DISCOVERY,EXTREME,835,823,395,428,12,0,47.995139732685296,371,44.4311377245509,1.694631864711645,1.6799372637216177,1.1900717618206402,1.2582591209422564,108,156,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
DISCOVERY,LOW,835,792,401,391,0,43,50.63131313131313,380,45.50898203592814,1.019562422263988,1.037845619811152,0.7216959855660648,0.7335002740550371,112,156,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
DISCOVERY,MODERATE,2503,2463,1284,1179,2,38,52.13154689403167,1180,47.14342788653616,1.2443397274308454,1.1655798350385163,0.9083402146986063,0.8305358154945954,112,158,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
VALIDATION,EXTREME,1294,1248,601,647,46,0,48.157051282051285,603,46.59969088098918,2.069460381864175,1.9790988608159261,1.5235646985325046,1.4428870639287787,109,159,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
VALIDATION,LOW,627,608,293,315,2,17,48.19078947368421,315,50.239234449760765,1.2439236161667098,1.233281874426078,0.8375988832015019,0.8839087806138407,110,156,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
VALIDATION,MODERATE,2213,2184,1104,1080,19,10,50.54945054945055,1041,47.04021690013556,1.5570422319918849,1.39123171001874,1.1318879855465176,1.025298554368327,112,159,ALL,c2_favorable_body_return_pct,C2_BODY_RETURN
DISCOVERY,EXTREME,433,424,208,216,9,0,49.056603773584904,197,45.49653579676674,1.7256756591592592,1.7374696275318278,1.2244098344597905,1.3594819271574923,100,129,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
DISCOVERY,LOW,432,408,205,203,0,24,50.245098039215684,192,44.44444444444444,1.0254604455248897,1.0224446518559671,0.7168316174707292,0.7379548795575177,107,147,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
DISCOVERY,MODERATE,1256,1240,614,626,2,14,49.516129032258064,576,45.859872611464965,1.258191828667853,1.1921226905606988,0.9078210080412747,0.8768506444951177,112,158,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
DISCOVERY,EXTREME,402,399,187,212,3,0,46.8671679197995,174,43.28358208955224,1.661194145816578,1.6179683245927095,1.1700357934113539,1.1505233338063183,98,138,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
DISCOVERY,LOW,403,384,196,188,0,19,51.041666666666664,188,46.650124069478906,1.0132399754929968,1.0543548460062881,0.7253544345532587,0.7218654248965602,104,131,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
DISCOVERY,MODERATE,1247,1223,670,553,0,24,54.783319705641865,604,48.43624699278268,1.2303876511247656,1.138845411192597,0.9083402146986063,0.7791629563668618,112,158,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
VALIDATION,EXTREME,609,594,293,301,15,0,49.32659932659933,289,47.454844006568145,2.0310621748890796,2.0202407596377308,1.494827207876111,1.4937235409676382,107,150,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
VALIDATION,LOW,300,291,143,148,1,8,49.14089347079038,155,51.666666666666664,1.1708991435662237,1.198514520884612,0.7868170911468213,0.9270754667957669,98,134,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
VALIDATION,MODERATE,1107,1092,558,534,8,7,51.0989010989011,522,47.15447154471545,1.542970051496954,1.3933491507678695,1.1404231931849451,1.025251566356558,112,159,BEAR,c2_favorable_body_return_pct,C2_BODY_RETURN
VALIDATION,EXTREME,685,654,308,346,31,0,47.09480122324159,314,45.839416058394164,2.1035983498172155,1.9425216106225265,1.54392021480629,1.4187253848907928,108,159,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
VALIDATION,LOW,327,317,150,167,1,9,47.3186119873817,160,48.92966360856269,1.3109185451579815,1.2651785290512765,0.8643357020536359,0.8325848501708971,102,139,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
VALIDATION,MODERATE,1106,1092,546,546,11,3,50.0,519,46.92585895117541,1.5711271359773171,1.3891123547662205,1.1249821534751647,1.026344815526259,112,159,BULL,c2_favorable_body_return_pct,C2_BODY_RETURN
DISCOVERY,EXTREME,835,821,401,420,12,2,48.84287454323995,379,45.38922155688623,1.6817344078756533,1.678121557181665,1.1904761904761836,1.251642646330167,105,156,ALL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
DISCOVERY,LOW,835,797,387,410,0,38,48.55708908406525,388,46.467065868263475,1.0638752834802914,1.1071028974643888,0.7317160748045864,0.7839428000302853,112,156,ALL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
DISCOVERY,MODERATE,2503,2460,1292,1168,2,41,52.520325203252035,1164,46.50419496604075,1.2338595585704537,1.1430813484705606,0.9033423667570065,0.8180781868168705,112,158,ALL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
VALIDATION,EXTREME,1277,1234,602,632,43,0,48.78444084278768,602,47.141738449490994,2.084136202893582,1.9387428636914974,1.5343203230148057,1.402945894706146,109,159,ALL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
VALIDATION,LOW,667,647,313,334,9,11,48.37712519319938,321,48.125937031484256,1.3633669441067122,1.3590477065870972,0.9639330813629897,0.9608007890987452,111,154,ALL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
VALIDATION,MODERATE,2190,2159,1083,1076,15,16,50.16211208893006,1036,47.305936073059364,1.5218030219417942,1.383907752604929,1.0928142272110934,1.0308943161037705,112,159,ALL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
DISCOVERY,EXTREME,429,420,205,215,9,0,48.80952380952381,195,45.45454545454545,1.7044527341474762,1.7348733851830234,1.2244098344597905,1.3284523809523765,97,128,BEAR,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
DISCOVERY,LOW,446,424,204,220,0,22,48.113207547169814,197,44.17040358744394,1.1184981073137492,1.0962862854386954,0.7755043843040552,0.7551214498436283,109,148,BEAR,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
DISCOVERY,MODERATE,1246,1228,618,610,2,16,50.3257328990228,573,45.987158908507226,1.2363122238188888,1.1702425137384607,0.8849869831475198,0.8817615841008095,112,158,BEAR,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
DISCOVERY,EXTREME,406,401,196,205,3,2,48.87780548628429,184,45.320197044334975,1.6577290828248847,1.6181547241457468,1.1774871025780251,1.1600385856560447,99,137,BULL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
DISCOVERY,LOW,389,373,183,190,0,16,49.061662198391424,191,49.10025706940874,1.001248601141674,1.1195044629231534,0.7066403408500539,0.7998814990371762,107,135,BULL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
DISCOVERY,MODERATE,1257,1232,674,558,0,25,54.70779220779221,591,47.01670644391408,1.2314283565819495,1.1161578704086648,0.9187082405345177,0.7533341023434111,112,158,BULL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
VALIDATION,EXTREME,600,585,288,297,15,0,49.23076923076923,281,46.833333333333336,2.0167851246901773,1.9801393223922397,1.463577548403303,1.4421770661023745,106,152,BEAR,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
VALIDATION,LOW,331,321,160,161,4,6,49.84423676012461,167,50.453172205438065,1.334444284991149,1.350253293823283,0.9166347384116202,0.9723842862699339,99,137,BEAR,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
VALIDATION,MODERATE,1085,1071,546,525,5,9,50.98039215686274,518,47.74193548387097,1.515651909159694,1.3800009724368136,1.0987222267437127,1.0318468760116575,112,159,BEAR,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
VALIDATION,EXTREME,677,649,314,335,28,0,48.38212634822804,321,47.41506646971935,2.1438269664416505,1.9020547171324944,1.575132221757874,1.3769867428403981,106,156,BULL,c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS
