polarity,feature,state,research_period,candidate_n,candidate_ff_pct,baseline_n,baseline_ff_pct,lift_pp
POS,c2_beyond_pm_pct,Q2,DISCOVERY,73,61.64383561643836,364,56.043956043956044,5.599879572482315
POS,c2_beyond_pm_pct,Q2,VALIDATION,50,68.0,389,57.84061696658098,10.159383033419019
POS,c2_beyond_pm_pct,Q2,VALIDATION_DIRECTION:BEAR,33,72.72727272727273,220,55.45454545454545,17.27272727272728
POS,c2_beyond_pm_pct,Q2,VALIDATION_DIRECTION:BULL,17,58.82352941176471,169,60.946745562130175,-2.123216150365465
POS,mean_pairwise_spacing_pct,Q2,DISCOVERY,73,60.273972602739725,364,56.043956043956044,4.2300165587836815
POS,mean_pairwise_spacing_pct,Q2,VALIDATION,68,67.64705882352942,389,57.84061696658098,9.806441856948439
POS,mean_pairwise_spacing_pct,Q2,VALIDATION_DIRECTION:BEAR,39,69.23076923076923,220,55.45454545454545,13.776223776223773
POS,mean_pairwise_spacing_pct,Q2,VALIDATION_DIRECTION:BULL,29,65.51724137931035,169,60.946745562130175,4.5704958171801735
POS,level_cluster_span_pct_calc,Q2,DISCOVERY,73,61.64383561643836,364,56.043956043956044,5.599879572482315
POS,level_cluster_span_pct_calc,Q2,VALIDATION,68,66.17647058823529,389,57.84061696658098,8.335853621654309
POS,level_cluster_span_pct_calc,Q2,VALIDATION_DIRECTION:BEAR,38,68.42105263157895,220,55.45454545454545,12.966507177033492
POS,level_cluster_span_pct_calc,Q2,VALIDATION_DIRECTION:BULL,30,63.33333333333333,169,60.946745562130175,2.3865877712031534
POS,directional_level_order_inner_to_outer,PD>AH>PM,DISCOVERY,47,63.829787234042556,364,56.043956043956044,7.785831190086512
POS,directional_level_order_inner_to_outer,PD>AH>PM,VALIDATION,62,64.51612903225806,389,57.84061696658098,6.675512065677083
POS,directional_level_order_inner_to_outer,PD>AH>PM,VALIDATION_DIRECTION:BEAR,43,65.11627906976744,220,55.45454545454545,9.66173361522199
POS,directional_level_order_inner_to_outer,PD>AH>PM,VALIDATION_DIRECTION:BULL,19,63.1578947368421,169,60.946745562130175,2.2111491747119274
POS,c2_beyond_ah_pct,Q2,DISCOVERY,73,60.273972602739725,364,56.043956043956044,4.2300165587836815
POS,c2_beyond_ah_pct,Q2,VALIDATION,47,61.702127659574465,389,57.84061696658098,3.861510692993484
POS,c2_beyond_ah_pct,Q2,VALIDATION_DIRECTION:BEAR,26,57.692307692307686,220,55.45454545454545,2.237762237762233
POS,c2_beyond_ah_pct,Q2,VALIDATION_DIRECTION:BULL,21,66.66666666666666,169,60.946745562130175,5.719921104536482
POS,c2_beyond_outermost_pct,Q3,DISCOVERY,72,62.5,364,56.043956043956044,6.456043956043956
POS,c2_beyond_outermost_pct,Q3,VALIDATION,60,61.66666666666667,389,57.84061696658098,3.82604970008569
POS,c2_beyond_outermost_pct,Q3,VALIDATION_DIRECTION:BEAR,35,65.71428571428571,220,55.45454545454545,10.259740259740255
POS,c2_beyond_outermost_pct,Q3,VALIDATION_DIRECTION:BULL,25,56.00000000000001,169,60.946745562130175,-4.946745562130168
NEG,c2_beyond_outermost_pct,Q4,DISCOVERY,73,50.68493150684932,364,56.043956043956044,-5.359024537106727
NEG,c2_beyond_outermost_pct,Q4,VALIDATION,77,50.649350649350644,389,57.84061696658098,-7.191266317230337
NEG,c2_beyond_outermost_pct,Q4,VALIDATION_DIRECTION:BEAR,47,46.808510638297875,220,55.45454545454545,-8.646034816247578
NEG,c2_beyond_outermost_pct,Q4,VALIDATION_DIRECTION:BULL,30,56.666666666666664,169,60.946745562130175,-4.280078895463511
NEG,pm_pd_spacing_pct,Q4,DISCOVERY,73,49.31506849315068,364,56.043956043956044,-6.728887550805361
NEG,pm_pd_spacing_pct,Q4,VALIDATION,85,50.588235294117645,389,57.84061696658098,-7.252381672463336
NEG,pm_pd_spacing_pct,Q4,VALIDATION_DIRECTION:BEAR,48,47.91666666666667,220,55.45454545454545,-7.537878787878782
NEG,pm_pd_spacing_pct,Q4,VALIDATION_DIRECTION:BULL,37,54.054054054054056,169,60.946745562130175,-6.892691508076119
