metric,cutpoint,value,derived_from
level_cluster_span_pct_calc,q20,0.285837505371709,DISCOVERY_PREFERRED_BINARY_ONLY
level_cluster_span_pct_calc,q40,0.5625131531625012,DISCOVERY_PREFERRED_BINARY_ONLY
level_cluster_span_pct_calc,q60,0.9720723036222197,DISCOVERY_PREFERRED_BINARY_ONLY
level_cluster_span_pct_calc,q80,1.6188815179041383,DISCOVERY_PREFERRED_BINARY_ONLY
pm_ah_spacing_pct,q20,0.15829494060970462,DISCOVERY_PREFERRED_BINARY_ONLY
pm_ah_spacing_pct,q40,0.3749284386481955,DISCOVERY_PREFERRED_BINARY_ONLY
pm_ah_spacing_pct,q60,0.7175282866197179,DISCOVERY_PREFERRED_BINARY_ONLY
pm_ah_spacing_pct,q80,1.40299957573152,DISCOVERY_PREFERRED_BINARY_ONLY
pm_pd_spacing_pct,q20,0.10206286966152832,DISCOVERY_PREFERRED_BINARY_ONLY
pm_pd_spacing_pct,q40,0.25186767436964175,DISCOVERY_PREFERRED_BINARY_ONLY
pm_pd_spacing_pct,q60,0.4945934680138955,DISCOVERY_PREFERRED_BINARY_ONLY
pm_pd_spacing_pct,q80,1.0113381556269037,DISCOVERY_PREFERRED_BINARY_ONLY
ah_pd_spacing_pct,q20,0.10802782212977603,DISCOVERY_PREFERRED_BINARY_ONLY
ah_pd_spacing_pct,q40,0.28478834555855775,DISCOVERY_PREFERRED_BINARY_ONLY
ah_pd_spacing_pct,q60,0.47427927249987406,DISCOVERY_PREFERRED_BINARY_ONLY
ah_pd_spacing_pct,q80,0.9525920337246694,DISCOVERY_PREFERRED_BINARY_ONLY
mean_pairwise_spacing_pct,q20,0.18958095146184156,DISCOVERY_PREFERRED_BINARY_ONLY
mean_pairwise_spacing_pct,q40,0.3744081008713174,DISCOVERY_PREFERRED_BINARY_ONLY
mean_pairwise_spacing_pct,q60,0.6415290163857039,DISCOVERY_PREFERRED_BINARY_ONLY
mean_pairwise_spacing_pct,q80,1.0775601744792098,DISCOVERY_PREFERRED_BINARY_ONLY
closest_pair_spacing_pct,q20,0.03732146209345755,DISCOVERY_PREFERRED_BINARY_ONLY
closest_pair_spacing_pct,q40,0.10071436469586685,DISCOVERY_PREFERRED_BINARY_ONLY
closest_pair_spacing_pct,q60,0.19955805119345643,DISCOVERY_PREFERRED_BINARY_ONLY
closest_pair_spacing_pct,q80,0.3816195098109868,DISCOVERY_PREFERRED_BINARY_ONLY
c2_beyond_pm_pct,q20,0.22504123772877807,DISCOVERY_PREFERRED_BINARY_ONLY
c2_beyond_pm_pct,q40,0.3772212685051747,DISCOVERY_PREFERRED_BINARY_ONLY
c2_beyond_pm_pct,q60,0.6364136994331138,DISCOVERY_PREFERRED_BINARY_ONLY
c2_beyond_pm_pct,q80,0.9957426189694687,DISCOVERY_PREFERRED_BINARY_ONLY
c2_beyond_ah_pct,q20,0.5230162436283781,DISCOVERY_PREFERRED_BINARY_ONLY
c2_beyond_ah_pct,q40,0.8256958535068516,DISCOVERY_PREFERRED_BINARY_ONLY
c2_beyond_ah_pct,q60,1.3943091026785703,DISCOVERY_PREFERRED_BINARY_ONLY
c2_beyond_ah_pct,q80,2.1804000589382553,DISCOVERY_PREFERRED_BINARY_ONLY
c2_beyond_pd_pct,q20,0.2337868812484878,DISCOVERY_PREFERRED_BINARY_ONLY
c2_beyond_pd_pct,q40,0.44996308524166917,DISCOVERY_PREFERRED_BINARY_ONLY
c2_beyond_pd_pct,q60,0.7368538218816845,DISCOVERY_PREFERRED_BINARY_ONLY
c2_beyond_pd_pct,q80,1.4907294984400359,DISCOVERY_PREFERRED_BINARY_ONLY
c2_beyond_outermost_pct,q20,0.11001852366397283,DISCOVERY_PREFERRED_BINARY_ONLY
c2_beyond_outermost_pct,q40,0.25251020009753766,DISCOVERY_PREFERRED_BINARY_ONLY
c2_beyond_outermost_pct,q60,0.4255629298074104,DISCOVERY_PREFERRED_BINARY_ONLY
c2_beyond_outermost_pct,q80,0.7247933677659508,DISCOVERY_PREFERRED_BINARY_ONLY
