research_period,direction,closest_pair,binary_n,favorable_n,adverse_n,favorable_first_pct
DISCOVERY,BEAR,AH_PD,85,48,37,56.470588235294116
DISCOVERY,BEAR,PM_AH,63,34,29,53.96825396825397
DISCOVERY,BEAR,PM_PD,73,36,37,49.31506849315068
DISCOVERY,BULL,AH_PD,55,35,20,63.63636363636363
DISCOVERY,BULL,PM_AH,20,8,12,40.0
DISCOVERY,BULL,PM_PD,68,43,25,63.23529411764706
VALIDATION,BEAR,AH_PD,108,59,49,54.629629629629626
VALIDATION,BEAR,PM_AH,33,21,12,63.63636363636363
VALIDATION,BEAR,PM_PD,79,42,37,53.164556962025316
VALIDATION,BULL,AH_PD,62,39,23,62.903225806451616
VALIDATION,BULL,PM_AH,38,26,12,68.42105263157895
VALIDATION,BULL,PM_PD,69,38,31,55.072463768115945
