research_period,candidate_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,candidate_feature,context_feature
DISCOVERY,OTHER,CONSENSUS_ALIGNED,1887,1845,934,911,2,40,50.62330623306233,43.98516163222045,1.3059686497185248,1.2098799816551138,0.9211187405794746,0.857537004585942,112,146,pd_failed_break_candidate,market_prior_5d_consensus
DISCOVERY,OTHER,CONSENSUS_OPPOSING,1889,1841,938,903,12,36,50.950570342205324,47.06193753308629,1.2714560236316328,1.278690070367086,0.9048723897911846,0.8937380894865488,112,146,pd_failed_break_candidate,market_prior_5d_consensus
DISCOVERY,OTHER,MIXED,133,131,59,72,0,2,45.038167938931295,48.1203007518797,1.5478184193673699,1.4845746582572399,1.1271870794077972,1.1461318051575906,88,6,pd_failed_break_candidate,market_prior_5d_consensus
DISCOVERY,OTHER,UNKNOWN,142,140,90,50,0,2,64.28571428571429,61.267605633802816,1.2353982381625366,1.0378860313443354,0.9553825840154906,0.7304159559801338,82,6,pd_failed_break_candidate,market_prior_5d_consensus
DISCOVERY,PD_FAILED_BREAK,CONSENSUS_ALIGNED,62,61,27,34,0,1,44.26229508196721,46.774193548387096,1.126211618815959,1.1151134008783734,0.6546296144698223,0.782016948882885,44,48,pd_failed_break_candidate,market_prior_5d_consensus
DISCOVERY,PD_FAILED_BREAK,CONSENSUS_OPPOSING,58,58,31,27,0,0,53.44827586206897,55.172413793103445,1.0885357740863393,1.2063427034692402,0.731937693173561,0.9388579793104124,48,47,pd_failed_break_candidate,market_prior_5d_consensus
DISCOVERY,PD_FAILED_BREAK,MIXED,1,1,0,1,0,0,0.0,0.0,0.0,3.3439315864488672,0.0,3.3439315864488672,1,1,pd_failed_break_candidate,market_prior_5d_consensus
DISCOVERY,PD_FAILED_BREAK,UNKNOWN,1,1,1,0,0,0,100.0,0.0,0.5447018665117292,1.028881303411044,0.5447018665117292,1.028881303411044,1,1,pd_failed_break_candidate,market_prior_5d_consensus
VALIDATION,OTHER,CONSENSUS_ALIGNED,1918,1871,862,1009,35,12,46.071619454836984,44.94264859228363,1.5711642071263159,1.5838073813143765,1.0876961304099182,1.1414833083581595,112,146,pd_failed_break_candidate,market_prior_5d_consensus
VALIDATION,OTHER,CONSENSUS_OPPOSING,1777,1735,929,806,27,15,53.544668587896254,49.8030388294879,1.8180188960121133,1.5214592928980317,1.32090004752619,1.083932853717022,112,146,pd_failed_break_candidate,market_prior_5d_consensus
VALIDATION,OTHER,MIXED,321,318,162,156,3,0,50.943396226415096,52.02492211838006,1.4853818695328969,1.5899716491262976,1.0780885780885776,1.1290438275589993,103,13,pd_failed_break_candidate,market_prior_5d_consensus
VALIDATION,PD_FAILED_BREAK,CONSENSUS_ALIGNED,63,62,26,36,1,0,41.935483870967744,41.26984126984127,1.586473289064454,1.4102465442382897,0.8882334785143439,1.1634426689094453,41,52,pd_failed_break_candidate,market_prior_5d_consensus
VALIDATION,PD_FAILED_BREAK,CONSENSUS_OPPOSING,49,48,18,30,1,0,37.5,32.6530612244898,1.5451839177531712,1.3232548225108978,1.060587589906126,0.9086879432624196,36,41,pd_failed_break_candidate,market_prior_5d_consensus
VALIDATION,PD_FAILED_BREAK,MIXED,6,6,1,5,0,0,16.666666666666668,50.0,1.1623940139974787,1.2626327720111081,0.6411779139354201,1.3730475367786206,6,4,pd_failed_break_candidate,market_prior_5d_consensus
DISCOVERY,OTHER,OTHER,3222,3144,1604,1540,6,72,51.01781170483461,45.68590937306021,1.2717177264322062,1.2129068792539763,0.8955396329274063,0.8759659602583527,112,158,pd_failed_break_candidate,positive_candidate_state
DISCOVERY,OTHER,POSITIVE_CANDIDATE,829,813,417,396,8,8,51.291512915129154,48.009650180940895,1.3871594157893643,1.3695191186362143,0.9690816797415821,0.9057005860415579,108,145,pd_failed_break_candidate,positive_candidate_state
DISCOVERY,PD_FAILED_BREAK,OTHER,106,105,54,51,0,1,51.42857142857143,49.056603773584904,1.1265189443070636,1.1311115577261828,0.6832085419802296,0.782016948882885,69,78,pd_failed_break_candidate,positive_candidate_state
DISCOVERY,PD_FAILED_BREAK,POSITIVE_CANDIDATE,16,16,5,11,0,0,31.25,56.25,0.8808680645975075,1.4737434641599765,0.5563500075102269,1.5926601000479366,15,14,pd_failed_break_candidate,positive_candidate_state
VALIDATION,OTHER,OTHER,3318,3245,1572,1673,48,25,48.44375963020031,46.895720313441835,1.5879886192453159,1.5318300929090027,1.1184447454883109,1.1029954116024665,112,159,pd_failed_break_candidate,positive_candidate_state
VALIDATION,OTHER,POSITIVE_CANDIDATE,698,679,381,298,17,2,56.111929307805596,51.289398280802295,2.0801917893207764,1.6749919368742792,1.58053995121591,1.2268846539941596,107,141,pd_failed_break_candidate,positive_candidate_state
VALIDATION,PD_FAILED_BREAK,OTHER,99,98,39,59,1,0,39.795918367346935,37.37373737373738,1.5236872990359618,1.3578795075897787,0.9325959244936746,0.9894753951806258,55,75,pd_failed_break_candidate,positive_candidate_state
VALIDATION,PD_FAILED_BREAK,POSITIVE_CANDIDATE,19,18,6,12,1,0,33.333333333333336,42.10526315789474,1.6732184558100354,1.4121444195118311,1.2785309764887547,1.015194298776401,17,17,pd_failed_break_candidate,positive_candidate_state
DISCOVERY,MULTIPLE_C2_BREAKS,CONSENSUS_ALIGNED,144,142,69,73,0,2,48.59154929577465,40.97222222222222,1.1602172966148894,1.2626624313791786,0.9087660781917657,0.9365659602917245,70,87,multiple_c2_break_candidate,market_prior_5d_consensus
DISCOVERY,MULTIPLE_C2_BREAKS,CONSENSUS_OPPOSING,130,126,59,67,1,3,46.82539682539682,40.0,1.106771330777055,1.2910426400920088,0.8678358931642736,0.9374182428094116,68,74,multiple_c2_break_candidate,market_prior_5d_consensus
DISCOVERY,MULTIPLE_C2_BREAKS,MIXED,7,7,4,3,0,0,57.142857142857146,14.285714285714286,1.1147987478593024,1.0473305251170275,0.7999999999999965,1.161028749283319,7,4,multiple_c2_break_candidate,market_prior_5d_consensus
DISCOVERY,MULTIPLE_C2_BREAKS,UNKNOWN,5,5,3,2,0,0,60.0,60.0,0.9362343354471317,1.4233316521840051,0.843756792538578,0.9195634599838285,5,4,multiple_c2_break_candidate,market_prior_5d_consensus
DISCOVERY,OTHER,CONSENSUS_ALIGNED,1805,1764,892,872,2,39,50.56689342403628,44.3213296398892,1.3114219787661505,1.2024139424482312,0.9117307271989309,0.847127555988306,112,146,multiple_c2_break_candidate,market_prior_5d_consensus
DISCOVERY,OTHER,CONSENSUS_OPPOSING,1817,1773,910,863,11,33,51.32543711223914,47.82608695652174,1.2773996865911639,1.2754969050702698,0.9041161075422377,0.890057920187051,112,146,multiple_c2_break_candidate,market_prior_5d_consensus
DISCOVERY,OTHER,MIXED,127,125,55,70,0,2,44.0,49.60629921259842,1.5594980987468117,1.5233153343215955,1.1519848823236154,1.1461318051575906,85,6,multiple_c2_break_candidate,market_prior_5d_consensus
DISCOVERY,OTHER,UNKNOWN,138,136,88,48,0,2,64.70588235294117,60.869565217391305,1.2412324638286685,1.0238553586477295,0.9574519376987307,0.7304159559801338,82,6,multiple_c2_break_candidate,market_prior_5d_consensus
VALIDATION,MULTIPLE_C2_BREAKS,CONSENSUS_ALIGNED,159,152,65,87,7,0,42.76315789473684,42.76729559748428,1.37857705102672,1.7397342575097245,0.9508673367755108,1.3376402865780386,82,98,multiple_c2_break_candidate,market_prior_5d_consensus
VALIDATION,MULTIPLE_C2_BREAKS,CONSENSUS_OPPOSING,117,113,54,59,4,0,47.78761061946903,43.58974358974359,1.5792453492889684,1.7219107308663748,1.0633687789592914,1.1984483020176473,66,74,multiple_c2_break_candidate,market_prior_5d_consensus
VALIDATION,MULTIPLE_C2_BREAKS,MIXED,28,27,13,14,1,0,48.148148148148145,32.142857142857146,1.4635381974167871,1.7265886777196269,0.9886340622309446,1.4154551229773888,25,12,multiple_c2_break_candidate,market_prior_5d_consensus
VALIDATION,OTHER,CONSENSUS_ALIGNED,1822,1781,823,958,29,12,46.20999438517687,45.00548847420417,1.588500008433637,1.5641988708583643,1.0916034879471388,1.126690237925506,112,146,multiple_c2_break_candidate,market_prior_5d_consensus
VALIDATION,OTHER,CONSENSUS_OPPOSING,1709,1670,893,777,24,15,53.47305389221557,49.7366881217086,1.8265429399161037,1.5020533026749392,1.3327098433481386,1.068396451397505,112,146,multiple_c2_break_candidate,market_prior_5d_consensus
VALIDATION,OTHER,MIXED,299,297,150,147,2,0,50.505050505050505,53.84615384615385,1.4809460691517549,1.5706094081119018,1.0724548440065729,1.119642725482141,104,13,multiple_c2_break_candidate,market_prior_5d_consensus
DISCOVERY,MULTIPLE_C2_BREAKS,OTHER,227,224,107,117,0,3,47.767857142857146,40.969162995594715,1.111089248520089,1.2851244486976723,0.8684707363121432,0.9282764004902324,88,119,multiple_c2_break_candidate,positive_candidate_state
DISCOVERY,MULTIPLE_C2_BREAKS,POSITIVE_CANDIDATE,59,56,28,28,1,2,50.0,37.28813559322034,1.2071028340974885,1.2268416171683132,0.9029834071637429,0.9543969102792819,47,45,multiple_c2_break_candidate,positive_candidate_state
DISCOVERY,OTHER,OTHER,3101,3025,1551,1474,6,70,51.27272727272727,46.14640438568204,1.2785128227175286,1.2048244244504727,0.8918243218030472,0.8723747980613918,112,158,multiple_c2_break_candidate,positive_candidate_state
DISCOVERY,OTHER,POSITIVE_CANDIDATE,786,773,394,379,7,6,50.97024579560155,48.98218829516539,1.3903689281312868,1.3823506225993014,0.9694299794968981,0.9081948944663465,108,145,multiple_c2_break_candidate,positive_candidate_state
VALIDATION,MULTIPLE_C2_BREAKS,OTHER,267,257,116,141,10,0,45.13618677042802,41.19850187265918,1.4291121816678265,1.6607377046053302,1.0191996530384182,1.3154893164017867,96,130,multiple_c2_break_candidate,positive_candidate_state
