sensitivity,period_type,period,feature,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
BASE,research_period,DISCOVERY,pd_failed_break_candidate,PD_FAILED_BREAK,122,121,59,62,0,1,48.760330578512395,50.0,1.0943024354926956,1.1760468897175,0.6707502449874279,0.8778680149341378,75,85
BASE,research_period,DISCOVERY,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS,286,280,135,145,1,5,48.214285714285715,40.20979020979021,1.1308962469433985,1.2731010673681893,0.8810965455508544,0.9365659602917245,95,125
BASE,research_period,DISCOVERY,all3_market_opposing_candidate,ALL3_CLEARED_MARKET_OPPOSING,376,364,204,160,8,4,56.043956043956044,44.9468085106383,1.4138778325867125,1.4348176072728294,1.0585624590950897,0.9889100053457252,107,117
BASE,research_period,DISCOVERY,all3_positive_reversal_candidate,ALL3_CLEARED_POSITIVE_REVERSAL,135,129,75,54,6,0,58.13953488372093,48.148148148148145,1.4560869904154174,1.6038484473702053,1.1779617539659466,0.9955041746949183,71,76
BASE,research_period,VALIDATION,pd_failed_break_candidate,PD_FAILED_BREAK,118,116,45,71,2,0,38.793103448275865,38.13559322033898,1.5477643497029732,1.366617078153499,0.9562372154434756,1.0023348469785134,62,84
BASE,research_period,VALIDATION,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS,304,292,132,160,12,0,45.205479452054796,42.10526315789474,1.4636333108806836,1.7316637678669786,1.0154109551965274,1.3247730157629436,99,134
BASE,research_period,VALIDATION,all3_market_opposing_candidate,ALL3_CLEARED_MARKET_OPPOSING,396,389,225,164,5,2,57.840616966580974,51.515151515151516,1.9212325834659734,1.4780611304531448,1.4895075291353246,0.9667865674333105,110,117
BASE,research_period,VALIDATION,all3_positive_reversal_candidate,ALL3_CLEARED_POSITIVE_REVERSAL,112,109,70,39,3,0,64.22018348623853,56.25,2.225944765202115,1.6158013523410628,1.7638843651391107,0.9918104379544697,66,61
BASE,validation_subperiod,VALIDATION_OLDER,pd_failed_break_candidate,PD_FAILED_BREAK,56,55,15,40,1,0,27.272727272727273,26.785714285714285,1.515019397406242,1.3507351420513647,0.8594464933422643,0.9352935083144194,42,40
BASE,validation_subperiod,VALIDATION_OLDER,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS,142,138,67,71,4,0,48.55072463768116,37.32394366197183,1.4630633666948274,1.5246454481775578,1.0175351024530968,1.2087066175124748,81,63
BASE,validation_subperiod,VALIDATION_OLDER,all3_market_opposing_candidate,ALL3_CLEARED_MARKET_OPPOSING,209,204,121,83,3,2,59.31372549019608,53.588516746411486,1.9522219586403744,1.272643077047683,1.4812202433433193,0.9289714641301464,89,56
BASE,validation_subperiod,VALIDATION_OLDER,all3_positive_reversal_candidate,ALL3_CLEARED_POSITIVE_REVERSAL,55,53,35,18,2,0,66.0377358490566,54.54545454545455,2.3154687359644623,1.242057275081389,2.1754945119401348,0.9400393010781145,43,30
BASE,validation_subperiod,VALIDATION_NEWER,pd_failed_break_candidate,PD_FAILED_BREAK,62,61,30,31,1,0,49.18032786885246,48.38709677419355,1.5773404356484084,1.3809620526973627,1.1760323724548138,1.018035965120412,44,44
BASE,validation_subperiod,VALIDATION_NEWER,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS,162,154,65,89,8,0,42.20779220779221,46.2962962962963,1.4641328915868044,1.9131242703107925,1.0053600688290087,1.511473679645739,78,71
BASE,validation_subperiod,VALIDATION_NEWER,all3_market_opposing_candidate,ALL3_CLEARED_MARKET_OPPOSING,187,185,104,81,2,0,56.21621621621622,49.19786096256684,1.8865973994475245,1.7076460136710134,1.511764705882349,1.1786600496277773,93,61
BASE,validation_subperiod,VALIDATION_NEWER,all3_positive_reversal_candidate,ALL3_CLEARED_POSITIVE_REVERSAL,57,56,35,21,1,0,62.5,57.89473684210526,2.1395619863963407,1.9764316023284676,1.511764705882349,1.198594750981601,42,31
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,pd_failed_break_candidate,PD_FAILED_BREAK,120,119,57,62,0,1,47.89915966386555,50.0,1.1000274652493203,1.1925751252474006,0.6707502449874279,0.8813181703207302,73,84
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS,281,275,132,143,1,5,48.0,39.8576512455516,1.1363130278860347,1.240772318405197,0.8912655971479418,0.9366201229673019,92,123
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,all3_market_opposing_candidate,ALL3_CLEARED_MARKET_OPPOSING,371,360,201,159,8,3,55.833333333333336,44.74393530997305,1.421145105868522,1.45041004077214,1.0651629072681632,0.9992208804051452,104,117
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,all3_positive_reversal_candidate,ALL3_CLEARED_POSITIVE_REVERSAL,134,128,74,54,6,0,57.8125,47.76119402985075,1.45183773363528,1.6144690011094247,1.1740393828335576,0.999101452158657,70,76
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,pd_failed_break_candidate,PD_FAILED_BREAK,115,113,44,69,2,0,38.93805309734513,37.391304347826086,1.5534280844425792,1.3842018119216444,0.9325959244936746,1.020877631464423,60,83
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS,304,292,132,160,12,0,45.205479452054796,42.10526315789474,1.4636333108806836,1.7316637678669786,1.0154109551965274,1.3247730157629436,99,134
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,all3_market_opposing_candidate,ALL3_CLEARED_MARKET_OPPOSING,393,387,224,163,5,1,57.88113695090439,51.14503816793893,1.9329613692414356,1.4747792078025141,1.494827207876111,0.9611493322541367,107,117
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,all3_positive_reversal_candidate,ALL3_CLEARED_POSITIVE_REVERSAL,111,108,69,39,3,0,63.888888888888886,55.85585585585586,2.2398158884477923,1.5946484483440315,1.7664322147650962,0.9611493322541367,65,61
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,pd_failed_break_candidate,PD_FAILED_BREAK,56,55,15,40,1,0,27.272727272727273,26.785714285714285,1.515019397406242,1.3507351420513647,0.8594464933422643,0.9352935083144194,42,40
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS,142,138,67,71,4,0,48.55072463768116,37.32394366197183,1.4630633666948274,1.5246454481775578,1.0175351024530968,1.2087066175124748,81,63
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,all3_market_opposing_candidate,ALL3_CLEARED_MARKET_OPPOSING,208,204,121,83,3,1,59.31372549019608,53.36538461538461,1.9604407446035608,1.2765413773113206,1.4838677135170575,0.9345053826041305,88,56
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,all3_positive_reversal_candidate,ALL3_CLEARED_POSITIVE_REVERSAL,55,53,35,18,2,0,66.0377358490566,54.54545454545455,2.3154687359644623,1.242057275081389,2.1754945119401348,0.9400393010781145,43,30
