research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,OTHER,4051,3957,2021,1936,14,80,51.07404599444023,46.16144161935325,1.2953418094924587,1.2449561378192382,0.9188823484410438,0.8844339622641556,112,158,pd_failed_break_candidate
DISCOVERY,PD_FAILED_BREAK,122,121,59,62,0,1,48.760330578512395,50.0,1.0943024354926956,1.1760468897175,0.6707502449874279,0.8778680149341378,75,85,pd_failed_break_candidate
VALIDATION,OTHER,4016,3924,1953,1971,65,27,49.77064220183486,47.6593625498008,1.6735358833669967,1.5567123058292625,1.1733539067925185,1.1253788773574218,112,159,pd_failed_break_candidate
VALIDATION,PD_FAILED_BREAK,118,116,45,71,2,0,38.793103448275865,38.13559322033898,1.5477643497029732,1.366617078153499,0.9562372154434756,1.0023348469785134,62,84,pd_failed_break_candidate
DISCOVERY,MULTIPLE_C2_BREAKS,286,280,135,145,1,5,48.214285714285715,40.20979020979021,1.1308962469433985,1.2731010673681893,0.8810965455508544,0.9365659602917245,95,125,multiple_c2_break_candidate
DISCOVERY,OTHER,3887,3798,1945,1853,13,76,51.21116377040548,46.71983534859789,1.3011315257932206,1.24072244136454,0.9152275645007695,0.8791208791208778,112,158,multiple_c2_break_candidate
VALIDATION,MULTIPLE_C2_BREAKS,304,292,132,160,12,0,45.205479452054796,42.10526315789474,1.4636333108806836,1.7316637678669786,1.0154109551965274,1.3247730157629436,99,134,multiple_c2_break_candidate
VALIDATION,OTHER,3830,3748,1866,1882,55,27,49.786552828175026,47.806788511749346,1.686321612104199,1.5369690992169374,1.1863306810414738,1.1023107375523282,112,159,multiple_c2_break_candidate
DISCOVERY,ALL3_CLEARED_MARKET_OPPOSING,376,364,204,160,8,4,56.043956043956044,44.9468085106383,1.4138778325867125,1.4348176072728294,1.0585624590950897,0.9889100053457252,107,117,all3_market_opposing_candidate
DISCOVERY,OTHER,3797,3714,1876,1838,6,77,50.511577813677974,46.40505662365025,1.2771441933978025,1.2239409045342864,0.8970485707645861,0.8728706637248507,112,158,all3_market_opposing_candidate
VALIDATION,ALL3_CLEARED_MARKET_OPPOSING,396,389,225,164,5,2,57.840616966580974,51.515151515151516,1.9212325834659734,1.4780611304531448,1.4895075291353246,0.9667865674333105,110,117,all3_market_opposing_candidate
VALIDATION,OTHER,3738,3651,1773,1878,62,25,48.562037797863596,46.95024077046549,1.6433248255254906,1.5590436671409806,1.1482071138581575,1.1300982937123552,112,159,all3_market_opposing_candidate
DISCOVERY,ALL3_CLEARED_POSITIVE_REVERSAL,135,129,75,54,6,0,58.13953488372093,48.148148148148145,1.4560869904154174,1.6038484473702053,1.1779617539659466,0.9955041746949183,71,76,all3_positive_reversal_candidate
DISCOVERY,OTHER,4038,3949,2005,1944,8,81,50.772347429729045,46.210995542347696,1.2838937156210943,1.230875555833653,0.9031628869603747,0.8793375774094468,112,158,all3_positive_reversal_candidate
VALIDATION,ALL3_CLEARED_POSITIVE_REVERSAL,112,109,70,39,3,0,64.22018348623853,56.25,2.225944765202115,1.6158013523410628,1.7638843651391107,0.9918104379544697,66,61,all3_positive_reversal_candidate
VALIDATION,OTHER,4022,3931,1928,2003,64,27,49.04604426354617,47.140726006961714,1.6544630748792077,1.5494897274913557,1.1634437821620658,1.1246129929816813,112,159,all3_positive_reversal_candidate
