research_period,level_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,level_feature,context_feature
DISCOVERY,ALL_3_CLEARED,CONSENSUS_ALIGNED,481,475,255,220,1,5,53.68421052631579,45.11434511434511,1.4197998806211507,1.246795023875885,1.0767736012194065,0.9268015888027408,105,126,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,ALL_3_CLEARED,CONSENSUS_OPPOSING,376,364,204,160,8,4,56.043956043956044,44.9468085106383,1.4138778325867125,1.4348176072728294,1.0585624590950897,0.9889100053457252,107,117,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,ALL_3_CLEARED,MIXED,33,32,16,16,0,1,50.0,36.36363636363637,1.1261279816889667,1.5663001956441607,0.8758402530644537,1.251642646330167,28,6,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,ALL_3_CLEARED,UNKNOWN,16,15,11,4,0,1,73.33333333333333,68.75,1.6766231731951904,0.9749232724951618,1.1291214009917945,0.7004595484271795,15,4,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,INCOMPLETE,CONSENSUS_ALIGNED,47,46,22,24,0,1,47.82608695652174,29.78723404255319,0.9592705506297563,1.111723232408016,0.665637661585952,0.8760498117578905,22,37,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,INCOMPLETE,CONSENSUS_OPPOSING,38,36,12,24,0,2,33.333333333333336,42.10526315789474,0.8238149648274118,1.266765920183922,0.48565369187046675,0.9208271931861944,19,35,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,INCOMPLETE,MIXED,2,2,1,1,0,0,50.0,50.0,1.1150720806550811,0.7366558860200574,1.1150720806550811,0.7366558860200574,2,2,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,INCOMPLETE,UNKNOWN,36,36,15,21,0,0,41.666666666666664,36.111111111111114,0.7395901441480803,1.2788676032980482,0.3574736029350609,1.151482117663515,35,5,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,NONE_CLEARED,CONSENSUS_ALIGNED,496,480,223,257,0,16,46.458333333333336,45.96774193548387,1.2650499171583263,1.215174592681881,0.8679430662258476,0.8276477330678318,108,130,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,NONE_CLEARED,CONSENSUS_OPPOSING,581,565,286,279,1,15,50.61946902654867,48.88123924268503,1.2120264965313332,1.2141351399078493,0.8668908157848056,0.8365997776867763,110,134,session_level_clear_state,market_prior_5d_consensus
