research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,level_family
DISCOVERY,ALREADY_BEYOND_AT_C1_OPEN,344,337,181,156,1,6,53.70919881305638,45.63953488372093,1.2057926153499448,1.0756634930854856,0.882065894316571,0.8765648634487594,90,132,ALL,PM
DISCOVERY,C1_BREAK_HELD_THROUGH_C2,1033,1012,530,482,8,13,52.37154150197628,45.49854791868345,1.4039623283308043,1.3213571245701925,0.9912650898027335,0.9278545729975421,112,157,ALL,PM
DISCOVERY,C2_BREAK,752,738,371,367,1,13,50.2710027100271,45.47872340425532,1.2434076074385723,1.25403747404258,0.914068619229054,0.9221587547195537,107,156,ALL,PM
DISCOVERY,C2_CLOSED_BEYOND,8,8,6,2,0,0,75.0,87.5,1.27217104183489,1.0234434308194602,1.2570087860469015,0.8284358843467963,7,8,ALL,PM
DISCOVERY,FAILED_BREAK,340,332,172,160,0,8,51.80722891566265,50.0,1.188932302882541,1.183677609370364,0.8312560499557682,0.8270264222459973,107,141,ALL,PM
DISCOVERY,NOT_CLEARED,1618,1574,787,787,4,40,50.0,46.72435105067985,1.2953005725578848,1.2404149462577576,0.9083446994264257,0.8424891753054888,111,158,ALL,PM
DISCOVERY,UNKNOWN,78,77,33,44,0,1,42.857142857142854,37.17948717948718,0.905072102958348,1.1684536588628365,0.6243656332940486,0.9304641647573231,24,65,ALL,PM
VALIDATION,ALREADY_BEYOND_AT_C1_OPEN,322,315,164,151,6,1,52.06349206349206,45.3416149068323,1.4955510861205212,1.3974076327994183,1.1467226678155522,1.0225789746418696,90,129,ALL,PM
VALIDATION,C1_BREAK_HELD_THROUGH_C2,961,945,498,447,13,3,52.698412698412696,48.38709677419355,1.8806935866060215,1.5720391265977922,1.33611214206184,1.0905780257244684,111,156,ALL,PM
VALIDATION,C2_BREAK,711,697,312,385,13,1,44.76327116212339,43.459915611814345,1.5090186731719386,1.620547092104588,1.0941475826972005,1.291290845059966,111,156,ALL,PM
VALIDATION,C2_CLOSED_BEYOND,10,10,8,2,0,0,80.0,70.0,1.9351186695812044,2.6857792315105664,1.4000543219097963,2.0255826535009085,10,10,ALL,PM
VALIDATION,FAILED_BREAK,279,275,137,138,3,1,49.81818181818182,51.61290322580645,1.7543194027534401,1.404347991230436,1.205913934087723,1.023778904102681,103,127,ALL,PM
VALIDATION,NOT_CLEARED,1830,1777,870,907,32,21,48.95891952729319,48.08743169398907,1.6432060624353881,1.5588322259315435,1.15342155130323,1.1085987656546594,112,159,ALL,PM
VALIDATION,UNKNOWN,21,21,9,12,0,0,42.857142857142854,38.095238095238095,1.2312687362659556,1.3704637714788614,1.093249617441522,1.4666746404329674,8,20,ALL,PM
DISCOVERY,ALREADY_BEYOND_AT_C1_OPEN,166,162,81,81,1,3,50.0,45.78313253012048,1.0821306118035237,1.115076367863701,0.8345669544070434,0.9973625275500317,67,89,BEAR,PM
DISCOVERY,C1_BREAK_HELD_THROUGH_C2,528,516,269,247,6,6,52.13178294573643,43.56060606060606,1.4489375879017552,1.3041995765350056,1.0499301643461838,0.9248625545261183,109,140,BEAR,PM
DISCOVERY,C2_BREAK,381,373,172,201,1,7,46.11260053619303,43.044619422572175,1.2183844006114402,1.376708651280601,0.8853288364249572,0.9977470228516212,101,137,BEAR,PM
DISCOVERY,C2_CLOSED_BEYOND,3,3,3,0,0,0,100.0,100.0,1.230636406428119,0.8558769311755584,1.390422066475828,0.3297742401726198,3,3,BEAR,PM
DISCOVERY,FAILED_BREAK,156,156,73,83,0,0,46.794871794871796,46.794871794871796,1.0403557549349576,1.2175717470811964,0.7963920886445577,0.898269251023879,83,104,BEAR,PM
DISCOVERY,NOT_CLEARED,840,816,409,407,3,21,50.122549019607845,47.5,1.3691779222701321,1.2473395818368935,0.934703779312636,0.8762080215719933,110,157,BEAR,PM
DISCOVERY,UNKNOWN,47,46,20,26,0,1,43.47826086956522,42.5531914893617,0.9687524125322556,1.1235407653690896,0.6626678091973864,0.878421908394608,21,44,BEAR,PM
DISCOVERY,ALREADY_BEYOND_AT_C1_OPEN,178,175,100,75,0,3,57.142857142857146,45.50561797752809,1.3211178546123377,1.0389076660451273,0.9665752050559091,0.7509928293725107,75,91,BULL,PM
DISCOVERY,C1_BREAK_HELD_THROUGH_C2,505,496,261,235,2,7,52.62096774193548,47.524752475247524,1.3569386906011764,1.33929610548619,0.9181799632728073,0.9278545729975421,110,142,BULL,PM
DISCOVERY,C2_BREAK,371,365,199,166,0,6,54.52054794520548,47.97843665768194,1.2691052942340906,1.1280597960703804,0.9344583076061804,0.8475612240739921,100,134,BULL,PM
DISCOVERY,C2_CLOSED_BEYOND,5,5,3,2,0,0,60.0,80.0,1.297091823078952,1.1239833306058014,1.123595505617975,0.8440579986720858,4,5,BULL,PM
DISCOVERY,FAILED_BREAK,184,176,99,77,0,8,56.25,52.71739130434783,1.3148993761424486,1.1549412752242236,0.8734666752504108,0.7384246419570974,94,108,BULL,PM
DISCOVERY,NOT_CLEARED,778,758,378,380,1,19,49.86807387862797,45.886889460154244,1.2155358247965895,1.2329384759666602,0.8848711068258974,0.80442506000967,111,155,BULL,PM
DISCOVERY,UNKNOWN,31,31,13,18,0,0,41.935483870967744,29.032258064516128,0.808524536830165,1.2365474006114203,0.5316578057032196,0.9388455437210584,14,28,BULL,PM
VALIDATION,ALREADY_BEYOND_AT_C1_OPEN,142,139,73,66,3,0,52.51798561151079,45.774647887323944,1.5372074360453476,1.4682600282414018,1.1212399220711189,1.0357305980385236,69,88,BEAR,PM
