candidate,period,n,fires,prevalence_pct
A37_G_N1_PM_PD_SPACING_Q4,ALL,753,158,20.98273572377158
A37_G_N1_PM_PD_SPACING_Q4,DISCOVERY,364,73,20.054945054945055
A37_G_N1_PM_PD_SPACING_Q4,VALIDATION,389,85,21.85089974293059
A37_G_P2_PD_AH_PM_ORDERING,ALL,753,109,14.475431606905712
A37_G_P2_PD_AH_PM_ORDERING,DISCOVERY,364,47,12.912087912087914
A37_G_P2_PD_AH_PM_ORDERING,VALIDATION,389,62,15.938303341902312
A38_T_P1_PM_REMAINS_FOR_C2,ALL,753,129,17.131474103585656
A38_T_P1_PM_REMAINS_FOR_C2,DISCOVERY,364,61,16.758241758241756
A38_T_P1_PM_REMAINS_FOR_C2,VALIDATION,389,68,17.480719794344473
A38_T_N1_PD_REMAINS_FOR_C2,ALL,753,102,13.545816733067728
A38_T_N1_PD_REMAINS_FOR_C2,DISCOVERY,364,59,16.208791208791208
A38_T_N1_PD_REMAINS_FOR_C2,VALIDATION,389,43,11.053984575835475
A42_N2_OPEN_CONSUMED_RATIO_Q2,ALL,753,128,16.99867197875166
A42_N2_OPEN_CONSUMED_RATIO_Q2,DISCOVERY,364,73,20.054945054945055
A42_N2_OPEN_CONSUMED_RATIO_Q2,VALIDATION,389,55,14.138817480719796
