symbol,trade_date,direction,research_period,quarter,c1_cleared_pattern,pm_pd_spacing_pct,directional_level_order_inner_to_outer,A37_G_N1_PM_PD_SPACING_Q4,A37_G_P2_PD_AH_PM_ORDERING,A38_T_P1_PM_REMAINS_FOR_C2,A38_T_N1_PD_REMAINS_FOR_C2,a42_priorclose_to_outer_consumed_ratio,A42_N2_OPEN_CONSUMED_RATIO_Q2
AAPL,2025-08-06,BULL,DISCOVERY,2025Q3,AH+PD,0.7616737416616097,AH>PD>PM,True,False,True,False,0.6783919597989939,False
AAPL,2025-09-10,BEAR,DISCOVERY,2025Q3,PM+AH+PD,0.7916021338840146,PD>AH>PM,True,True,False,False,0.7650176678445244,False
AAPL,2025-12-17,BULL,DISCOVERY,2025Q4,PM+AH+PD,0.03630422944273833,AH>PM>PD,False,False,False,False,0.5288461538461544,True
AAPL,2026-04-24,BEAR,VALIDATION,2026Q2,NONE,0.05523336095000544,AH>PD>PM,False,False,False,False,0.3530927835051562,True
ABBV,2025-10-31,BEAR,DISCOVERY,2025Q4,AH+PD,2.6901815089187755,PD>AH>PM,False,True,True,False,0.6614583333333344,False
ABBV,2025-12-15,BULL,DISCOVERY,2025Q4,AH+PD,0.459134776116077,AH>PD>PM,False,False,True,False,0.5953947368421131,False
ABBV,2026-01-13,BEAR,VALIDATION,2026Q1,AH,0.32457884751651833,AH>PM>PD,False,False,False,False,0.32544378698225024,True
ABBV,2026-03-02,BULL,VALIDATION,2026Q1,PM+AH+PD,0.3481250671537562,AH>PD>PM,False,False,False,False,1.5523809523809313,False
ABBV,2026-04-01,BULL,VALIDATION,2026Q2,PM+AH+PD,0.30616674663558735,AH>PM>PD,False,False,False,False,0.5375722543352672,False
ABBV,2026-05-26,BEAR,VALIDATION,2026Q2,NONE,0.37157454714351273,AH>PD>PM,False,False,False,False,-0.1860465116279062,False
ABBV,2026-06-15,BEAR,VALIDATION,2026Q2,NONE,0.3026796047360486,PM>AH>PD,False,False,False,False,0.49244712990936385,True
ABBV,2026-07-28,BULL,VALIDATION,2026Q3,PM+AH+PD,0.21723802808849332,AH>PD>PM,False,False,False,False,1.0278260869565161,False
ABNB,2025-09-10,BEAR,DISCOVERY,2025Q3,PM+AH+PD,0.09713453132587853,PD>AH>PM,False,True,False,False,-0.13793103448278396,False
ABNB,2025-12-17,BULL,DISCOVERY,2025Q4,AH+PD,1.2261964566171901,AH>PD>PM,False,False,True,False,0.727611940298512,False
ABNB,2026-01-22,BULL,VALIDATION,2026Q1,PM+AH+PD,0.7212700301148818,AH>PM>PD,True,False,False,False,0.5255474452554719,True
ABNB,2026-08-26,BULL,VALIDATION,2026Q3,PM+AH,0.15140045420136464,AH>PM>PD,False,False,False,True,-0.2185163887291551,False
ADBE,2025-07-01,BEAR,DISCOVERY,2025Q3,PM+AH+PD,0.04420809008048887,AH>PD>PM,False,False,False,False,0.7155555555555364,False
ADBE,2025-07-30,BEAR,DISCOVERY,2025Q3,PM+AH,0.21882384950300468,AH>PM>PD,False,False,False,True,0.01020512297172267,False
ADBE,2025-07-31,BEAR,DISCOVERY,2025Q3,PM+AH+PD,0.3168873396619044,PD>PM>AH,False,False,False,False,0.8693467336683469,False
ADBE,2025-10-29,BEAR,DISCOVERY,2025Q4,PM+AH+PD,1.0677156504636167,PD>AH>PM,False,True,False,False,0.7401372212692984,False
ADBE,2026-01-09,BEAR,VALIDATION,2026Q1,PM+AH+PD,0.1656951358774772,AH>PM>PD,False,False,False,False,0.7250859106529242,False
ADBE,2026-02-03,BEAR,VALIDATION,2026Q1,AH+PD,3.0818630787218764,PD>AH>PM,False,True,True,False,0.9433628318584081,False
ADBE,2026-02-23,BEAR,VALIDATION,2026Q1,PM+AH+PD,0.14163191439138156,AH>PD>PM,False,False,False,False,0.9696312364425194,False
ADBE,2026-03-05,BULL,VALIDATION,2026Q1,PM+AH+PD,0.3149492280123824,AH>PM>PD,False,False,False,False,0.6491712707182218,False
ADBE,2026-04-23,BEAR,VALIDATION,2026Q2,AH+PD,2.9651115945532247,PD>AH>PM,False,True,True,False,0.970149253731343,False
ADBE,2026-06-17,BEAR,VALIDATION,2026Q2,PM+AH+PD,0.1423697194334628,AH>PD>PM,False,False,False,False,0.876640419947507,False
AMAT,2025-07-16,BEAR,DISCOVERY,2025Q3,AH+PD,3.0405707782991693,PD>AH>PM,False,True,True,False,0.784866468842731,False
AMAT,2025-08-07,BULL,DISCOVERY,2025Q3,PM+AH+PD,3.057398327083933,PD>AH>PM,False,True,False,False,0.9317841079460253,False
AMAT,2026-03-20,BULL,VALIDATION,2026Q1,PM+AH+PD,0.28368005339859326,PD>AH>PM,False,True,False,False,0.8943661971830936,False
AMAT,2026-05-22,BULL,VALIDATION,2026Q2,AH+PD,0.9996652391231536,AH>PD>PM,True,False,True,False,0.8766773162939328,False
AMAT,2026-08-06,BEAR,VALIDATION,2026Q3,PM+AH+PD,1.2326481074110596,PD>AH>PM,False,True,False,False,0.8757338551859107,False
AMD,2025-08-07,BULL,DISCOVERY,2025Q3,PM+AH+PD,0.7135362014690437,AH>PD>PM,True,False,False,False,0.8747072599531627,False
AMD,2025-08-15,BEAR,DISCOVERY,2025Q3,PM+AH+PD,0.1001948232674683,AH>PM>PD,False,False,False,False,0.6350364963503662,False
AMD,2025-09-05,BEAR,DISCOVERY,2025Q3,PM+AH+PD,0.5019219161980953,AH>PD>PM,True,False,False,False,0.9748953974895388,False
AMD,2026-01-02,BULL,DISCOVERY,2026Q1,PM+AH+PD,0.5772666880469233,AH>PD>PM,True,False,False,False,1.0,False
AMD,2026-01-07,BEAR,DISCOVERY,2026Q1,PM+AH+PD,0.34968339476420424,AH>PM>PD,False,False,False,False,0.7063758389261735,False
AMD,2026-03-25,BULL,VALIDATION,2026Q1,PM+AH+PD,2.4876811940869676,PD>AH>PM,False,True,False,False,0.9799839871897518,False
AMD,2026-03-30,BULL,VALIDATION,2026Q1,AH+PD,1.334131828409562,AH>PD>PM,False,False,True,False,0.7394540942928012,False
AMD,2026-05-22,BULL,VALIDATION,2026Q2,PM+AH+PD,4.187913637843118,PD>AH>PM,False,True,False,False,0.968481375358165,False
AMD,2026-07-09,BULL,VALIDATION,2026Q3,AH+PD,3.294843344491665,AH>PD>PM,False,False,True,False,0.8608003442340787,False
AMD,2026-07-21,BULL,VALIDATION,2026Q3,PM+AH+PD,0.8139922794643248,AH>PD>PM,True,False,False,False,0.9695148132245583,False
AMD,2026-07-30,BULL,VALIDATION,2026Q3,PM+AH+PD,0.9750576764027251,AH>PD>PM,True,False,False,False,0.9470899470899474,False
AMGN,2026-04-21,BEAR,VALIDATION,2026Q2,AH+PD,0.6075194864740957,PD>AH>PM,True,True,True,False,-0.06651376146790743,False
AMGN,2026-04-24,BEAR,VALIDATION,2026Q2,PM+AH+PD,0.14085316817530222,AH>PD>PM,False,False,False,False,0.7257617728531841,False
AMGN,2026-07-24,BULL,VALIDATION,2026Q3,AH+PD,0.5203723076097738,AH>PD>PM,True,False,True,False,0.5413043478260996,False
