research_period,volume_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,volume_feature,context_feature
DISCOVERY,C2_VOLUME_ACCELERATING,CONSENSUS_ALIGNED,121,117,56,61,2,2,47.863247863247864,42.14876033057851,1.2654924116696449,1.423894113569701,0.8918243218030472,1.0143119747899079,45,73,c2_vs_c1_volume_state,market_prior_5d_consensus
DISCOVERY,C2_VOLUME_ACCELERATING,CONSENSUS_OPPOSING,130,129,65,64,0,1,50.3875968992248,46.92307692307692,1.4035785442330637,1.267224316348329,0.9445162663201716,0.9673184977941088,41,90,c2_vs_c1_volume_state,market_prior_5d_consensus
DISCOVERY,C2_VOLUME_ACCELERATING,MIXED,9,8,5,3,0,1,62.5,66.66666666666667,1.3274179454901218,0.868034484620222,0.8713720758764069,0.847322142286173,8,4,c2_vs_c1_volume_state,market_prior_5d_consensus
DISCOVERY,C2_VOLUME_ACCELERATING,UNKNOWN,13,13,11,2,0,0,84.61538461538461,92.3076923076923,1.3633986616617615,0.8250539922475528,0.8872282783149041,0.3154988826081174,11,6,c2_vs_c1_volume_state,market_prior_5d_consensus
DISCOVERY,C2_VOLUME_DECELERATING,CONSENSUS_ALIGNED,1828,1789,905,884,0,39,50.586920067076576,44.201312910284464,1.302551083464671,1.1924996545381426,0.9138017826700977,0.8436266324721325,112,146,c2_vs_c1_volume_state,market_prior_5d_consensus
DISCOVERY,C2_VOLUME_DECELERATING,CONSENSUS_OPPOSING,1817,1770,904,866,12,35,51.07344632768361,47.33076499724821,1.2561641677418074,1.2772010228945285,0.8998581136584154,0.8858006683286413,112,146,c2_vs_c1_volume_state,market_prior_5d_consensus
DISCOVERY,C2_VOLUME_DECELERATING,MIXED,125,124,54,70,0,1,43.54838709677419,46.4,1.5513047061315928,1.5438404061846385,1.1271870794077972,1.1601140017538771,85,6,c2_vs_c1_volume_state,market_prior_5d_consensus
DISCOVERY,C2_VOLUME_DECELERATING,UNKNOWN,130,128,80,48,0,2,62.5,57.69230769230769,1.2172851467999155,1.0590999681160655,0.9553825840154906,0.8495969914549593,78,6,c2_vs_c1_volume_state,market_prior_5d_consensus
VALIDATION,C2_VOLUME_ACCELERATING,CONSENSUS_ALIGNED,179,169,85,84,9,1,50.29585798816568,44.134078212290504,1.6290991767913676,1.5453352369564841,1.0409766253430437,1.1801260991567486,46,104,c2_vs_c1_volume_state,market_prior_5d_consensus
VALIDATION,C2_VOLUME_ACCELERATING,CONSENSUS_OPPOSING,141,137,82,55,4,0,59.85401459854015,48.93617021276596,1.9506329182118376,1.4931705750983146,1.46725750861644,1.162290360833476,43,87,c2_vs_c1_volume_state,market_prior_5d_consensus
