warning_feature,warning_state,context_feature,context_state,effect_type,total_n,symbol_n,top1_n,top1_share_pct,top5_n,top5_share_pct,top10_n,top10_share_pct
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,517,109,13,2.514506769825919,55,10.638297872340425,96,18.568665377176014
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,549,112,11,2.0036429872495445,49,8.925318761384336,91,16.57559198542805
warning_c3_state,C3_ADVERSE_WARNING,pd_level_structure_state,ALREADY_BEYOND_AT_C1_OPEN,RESCUE_CONTEXT,407,107,10,2.457002457002457,43,10.565110565110565,78,19.164619164619165
warning_c3_state,C3_ADVERSE_WARNING,pd_level_structure_state,C1_BREAK_HELD_THROUGH_C2,RESCUE_CONTEXT,144,77,6,4.166666666666667,22,15.277777777777779,38,26.38888888888889
warning_c3_state,C3_ADVERSE_WARNING,pd_level_structure_state,C2_BREAK,ESCALATION_CONTEXT,150,82,5,3.3333333333333335,22,14.666666666666666,37,24.666666666666668
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,MULTIPLE_C2_LEVEL_BREAKS,ESCALATION_CONTEXT,175,87,5,2.857142857142857,22,12.571428571428571,41,23.428571428571427
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,NO_C2_LEVEL_BREAK,RESCUE_CONTEXT,1538,112,30,1.9505851755526658,131,8.517555266579974,242,15.734720416124837
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,ONE_C2_LEVEL_BREAK,ESCALATION_CONTEXT,429,108,10,2.331002331002331,42,9.79020979020979,76,17.715617715617714
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,MODERATE_CLUSTER,RESCUE_CONTEXT,1186,112,23,1.93929173693086,107,9.021922428330523,196,16.526138279932546
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,TIGHT_CLUSTER,RESCUE_CONTEXT,297,95,17,5.723905723905724,49,16.4983164983165,81,27.272727272727273
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,WIDE_CLUSTER,ESCALATION_CONTEXT,659,106,21,3.1866464339908953,94,14.264036418816389,176,26.707132018209407
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,NONE_AHEAD,RESCUE_CONTEXT,519,110,13,2.504816955684008,55,10.597302504816955,96,18.497109826589597
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,PD,ESCALATION_CONTEXT,469,110,14,2.985074626865672,48,10.23454157782516,84,17.91044776119403
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,PM,RESCUE_CONTEXT,759,112,19,2.503293807641634,84,11.067193675889328,148,19.499341238471672
warning_c3_state,C3_ADVERSE_WARNING,premarket_rvol_20d_discovery_state,HIGH,ESCALATION_CONTEXT,391,107,8,2.0460358056265986,40,10.230179028132993,76,19.437340153452684
warning_c3_state,C3_ADVERSE_WARNING,weekday,FRIDAY,ESCALATION_CONTEXT,387,104,10,2.5839793281653747,43,11.11111111111111,78,20.155038759689923
warning_c3_state,C3_ADVERSE_WARNING,weekday,TUESDAY,ESCALATION_CONTEXT,431,110,11,2.5522041763341066,44,10.208816705336426,79,18.329466357308586
warning_c3_state,C3_ADVERSE_WARNING,weekday,WEDNESDAY,RESCUE_CONTEXT,446,111,10,2.242152466367713,43,9.641255605381167,79,17.713004484304932
warning_c3_state,C3_ADVERSE_WARNING,rth_short_ma_state,BOTH_FAVORABLE,RESCUE_CONTEXT,1539,112,24,1.5594541910331383,111,7.212475633528265,210,13.645224171539962
warning_c3_state,C3_ADVERSE_WARNING,rth_short_ma_state,BOTH_OPPOSING,ESCALATION_CONTEXT,551,109,16,2.9038112522686026,71,12.885662431941924,122,22.141560798548095
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,NONE_CLEARED,ESCALATION_CONTEXT,521,109,16,3.071017274472169,65,12.476007677543187,110,21.113243761996163
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,ONE_OF_3_CLEARED,RESCUE_CONTEXT,303,105,7,2.31023102310231,34,11.221122112211221,61,20.13201320132013
warning_c3_c4_state,C3_C4_ADVERSE,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,408,111,10,2.450980392156863,42,10.294117647058824,76,18.627450980392158
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,C1_BREAK_HELD_THROUGH_C2,RESCUE_CONTEXT,107,66,6,5.607476635514018,20,18.69158878504673,33,30.8411214953271
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,C2_BREAK,ESCALATION_CONTEXT,114,74,5,4.385964912280702,19,16.666666666666668,31,27.19298245614035
warning_c3_c4_state,C3_C4_ADVERSE,pd_level_structure_state,NOT_CLEARED,RESCUE_CONTEXT,1042,112,20,1.9193857965451055,92,8.829174664107486,168,16.122840690978887
warning_c3_c4_state,C3_C4_ADVERSE,c2_break_count_state,MULTIPLE_C2_LEVEL_BREAKS,ESCALATION_CONTEXT,131,82,4,3.053435114503817,18,13.740458015267176,33,25.19083969465649
warning_c3_c4_state,C3_C4_ADVERSE,c2_break_count_state,NO_C2_LEVEL_BREAK,RESCUE_CONTEXT,1156,112,23,1.9896193771626298,103,8.910034602076125,189,16.34948096885813
warning_c3_c4_state,C3_C4_ADVERSE,c2_break_count_state,ONE_C2_LEVEL_BREAK,ESCALATION_CONTEXT,336,104,9,2.6785714285714284,36,10.714285714285714,66,19.642857142857142
warning_c3_c4_state,C3_C4_ADVERSE,relevant_level_cluster_state,MODERATE_CLUSTER,RESCUE_CONTEXT,910,112,20,2.197802197802198,85,9.340659340659341,155,17.032967032967033
warning_c3_c4_state,C3_C4_ADVERSE,relevant_level_cluster_state,TIGHT_CLUSTER,RESCUE_CONTEXT,228,88,15,6.578947368421052,43,18.859649122807017,68,29.82456140350877
warning_c3_c4_state,C3_C4_ADVERSE,relevant_level_cluster_state,WIDE_CLUSTER,ESCALATION_CONTEXT,485,104,17,3.5051546391752577,72,14.845360824742269,133,27.422680412371133
warning_c3_c4_state,C3_C4_ADVERSE,nearest_ahead_level,AH,ESCALATION_CONTEXT,316,103,7,2.2151898734177213,34,10.759493670886076,64,20.253164556962027
