warning_feature,warning_state,context_feature,context_state,effect_type,research_period,direction,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,DISCOVERY,BEAR,227,220,59,161,3,4,26.818181818181817,1.0702622140143425,1.6192023736303083,0.7529852076278728,1.2769201448446765,97,97
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,DISCOVERY,BULL,257,253,89,164,1,3,35.17786561264822,1.1744327663021075,1.4148612756774568,0.8658008658008627,1.1530299457675177,96,112
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,VALIDATION,BEAR,247,241,66,175,6,0,27.38589211618257,1.556367706835453,1.7621592192599878,1.1903637222484564,1.399988333430558,97,106
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,VALIDATION,BULL,270,266,68,198,3,1,25.56390977443609,1.3806116074568564,1.771422695732541,0.8679926391282389,1.2520831735327755,100,114
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,DISCOVERY,BEAR,299,293,81,212,1,5,27.64505119453925,1.1303837357897242,1.4517114245273528,0.6568144499179036,1.1498298721107472,101,128
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,DISCOVERY,BULL,309,306,94,212,0,3,30.718954248366014,0.9464746065452363,1.4000432165644447,0.6337036457518403,1.0385294423096894,103,118
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,VALIDATION,BEAR,255,252,67,185,3,0,26.58730158730159,1.3147894743576105,1.703923940823346,0.7623162495033894,1.2909090909090881,95,119
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,VALIDATION,BULL,294,285,66,219,8,1,23.157894736842106,1.3201112202509757,1.7994470729505982,0.8284857025991343,1.36191355014488,106,117
warning_c3_state,C3_ADVERSE_WARNING,pd_level_structure_state,ALREADY_BEYOND_AT_C1_OPEN,RESCUE_CONTEXT,DISCOVERY,BEAR,144,138,38,100,3,3,27.536231884057973,1.2044564219073668,1.7251979049860928,0.8842882224856522,1.3960422265312444,87,67
warning_c3_state,C3_ADVERSE_WARNING,pd_level_structure_state,ALREADY_BEYOND_AT_C1_OPEN,RESCUE_CONTEXT,DISCOVERY,BULL,188,186,65,121,1,1,34.946236559139784,1.1492925363343884,1.4902118883850763,0.7674778244040894,1.1798880397275646,85,86
