warning_feature,warning_state,context_feature,context_state,effect_type,validation_subperiod,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,VALIDATION_OLDER,265,260,78,182,4,1,30.0,1.425783146123933,1.6380168048835626,0.9816612729234052,1.2485811577752597,98,73
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,VALIDATION_NEWER,252,247,56,191,5,0,22.672064777327936,1.505378666185976,1.9026309591700756,1.126078694081116,1.4969625006753833,96,78
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,VALIDATION_OLDER,307,300,73,227,6,1,24.333333333333332,1.3243710698699076,1.6577181477376481,0.7868576809254669,1.2799674928890747,104,77
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,VALIDATION_NEWER,242,237,60,177,5,0,25.31645569620253,1.3090995713426277,1.8785891446362442,0.7667465040564145,1.4422107501442842,103,77
warning_c3_state,C3_ADVERSE_WARNING,pd_level_structure_state,ALREADY_BEYOND_AT_C1_OPEN,RESCUE_CONTEXT,VALIDATION_OLDER,222,214,52,162,6,2,24.299065420560748,1.4354217867201555,1.6774920494528183,0.9723642045600742,1.2976472810146698,93,67
warning_c3_state,C3_ADVERSE_WARNING,pd_level_structure_state,ALREADY_BEYOND_AT_C1_OPEN,RESCUE_CONTEXT,VALIDATION_NEWER,185,177,48,129,8,0,27.11864406779661,1.6111255175502124,1.9750272849503985,1.205913934087723,1.586206896551727,91,65
warning_c3_state,C3_ADVERSE_WARNING,pd_level_structure_state,C1_BREAK_HELD_THROUGH_C2,RESCUE_CONTEXT,VALIDATION_OLDER,75,73,16,57,2,0,21.91780821917808,1.3065401860311419,1.8549891548700714,0.7188800605372596,1.4009369903246833,54,48
warning_c3_state,C3_ADVERSE_WARNING,pd_level_structure_state,C1_BREAK_HELD_THROUGH_C2,RESCUE_CONTEXT,VALIDATION_NEWER,69,69,20,49,0,0,28.985507246376812,1.770072844509134,1.6036882572200342,1.1962315920561775,1.113818996179677,46,44
warning_c3_state,C3_ADVERSE_WARNING,pd_level_structure_state,C2_BREAK,ESCALATION_CONTEXT,VALIDATION_OLDER,71,71,27,44,0,0,38.028169014084504,1.0830641975771405,1.5414229152652674,0.6949025487256422,1.1603878556668321,53,44
warning_c3_state,C3_ADVERSE_WARNING,pd_level_structure_state,C2_BREAK,ESCALATION_CONTEXT,VALIDATION_NEWER,79,78,10,68,1,0,12.820512820512821,1.3139948576988518,1.870090716216815,0.7050680811151742,1.6538517336428062,57,49
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,MULTIPLE_C2_LEVEL_BREAKS,ESCALATION_CONTEXT,VALIDATION_OLDER,88,87,23,64,1,0,26.436781609195403,1.0438344698192639,1.6634084983445308,0.6358117878037215,1.2760892217834032,61,51
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,MULTIPLE_C2_LEVEL_BREAKS,ESCALATION_CONTEXT,VALIDATION_NEWER,87,85,16,69,2,0,18.823529411764707,1.1180579819210361,2.1452366419981512,0.6367978166932026,1.7508293402137907,59,53
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,NO_C2_LEVEL_BREAK,RESCUE_CONTEXT,VALIDATION_OLDER,763,746,206,540,13,4,27.613941018766756,1.3473415218062748,1.6641505078558578,0.8704373679120205,1.2539012444675084,112,79
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,NO_C2_LEVEL_BREAK,RESCUE_CONTEXT,VALIDATION_NEWER,775,756,194,562,13,6,25.66137566137566,1.5647543426698165,1.8763420485183744,1.0117833201482314,1.2903046010645698,111,80
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,ONE_C2_LEVEL_BREAK,ESCALATION_CONTEXT,VALIDATION_OLDER,236,236,56,180,0,0,23.728813559322035,1.3717128894748725,1.6693719027361005,0.9384854039692725,1.3394742107634694,99,73
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,ONE_C2_LEVEL_BREAK,ESCALATION_CONTEXT,VALIDATION_NEWER,193,190,37,153,2,1,19.473684210526315,1.319549666909803,1.929194878433629,0.8106236506578716,1.553497388401266,88,72
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,MODERATE_CLUSTER,RESCUE_CONTEXT,VALIDATION_OLDER,617,611,161,450,4,2,26.350245499181668,1.151733170993946,1.5252187120682357,0.7642857142857095,1.1735887686458164,111,79
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,MODERATE_CLUSTER,RESCUE_CONTEXT,VALIDATION_NEWER,569,562,150,412,5,2,26.690391459074732,1.244457301784815,1.6745446123995766,0.7456670697299426,1.2003926518019994,112,80
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,TIGHT_CLUSTER,RESCUE_CONTEXT,VALIDATION_OLDER,153,151,49,102,0,2,32.450331125827816,1.043974011139924,1.245901407195395,0.698113207547165,1.0509639301913696,74,65
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,TIGHT_CLUSTER,RESCUE_CONTEXT,VALIDATION_NEWER,144,139,34,105,0,5,24.46043165467626,0.9941775933809911,1.3797090832080892,0.5813369502464304,1.0872554397207452,74,64
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,WIDE_CLUSTER,ESCALATION_CONTEXT,VALIDATION_OLDER,317,307,75,232,10,0,24.429967426710096,1.808378126784479,2.14011259857117,1.3486257824661458,1.8040458937198178,91,76
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,WIDE_CLUSTER,ESCALATION_CONTEXT,VALIDATION_NEWER,342,330,63,267,12,0,19.09090909090909,2.0858800220684435,2.5194189899296666,1.478348166196676,1.900555508901765,93,77
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,NONE_AHEAD,RESCUE_CONTEXT,VALIDATION_OLDER,266,261,78,183,4,1,29.885057471264368,1.4226028262688928,1.643706569951028,0.9792770012935674,1.2509815401818658,98,73
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,NONE_AHEAD,RESCUE_CONTEXT,VALIDATION_NEWER,253,248,56,192,5,0,22.580645161290324,1.5042522376930871,1.8978362824694068,1.1425873465533463,1.4820065610524074,97,78
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,PD,ESCALATION_CONTEXT,VALIDATION_OLDER,255,251,66,185,4,0,26.294820717131476,1.407371481900856,1.5723559544877541,0.8876036373361771,1.2797685288226193,99,73
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,PD,ESCALATION_CONTEXT,VALIDATION_NEWER,214,210,48,162,2,2,22.857142857142858,1.204284380548812,1.9641420095670903,0.6722848321141703,1.4157467109547919,92,76
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,PM,RESCUE_CONTEXT,VALIDATION_OLDER,368,361,98,263,5,2,27.14681440443213,1.3042387806171238,1.7285131998057877,0.8626875573490781,1.2934460028250578,106,77
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,PM,RESCUE_CONTEXT,VALIDATION_NEWER,391,378,105,273,9,4,27.77777777777778,1.668221415943003,1.8984771287731959,1.1146496815286528,1.3746536725243694,105,79
warning_c3_state,C3_ADVERSE_WARNING,premarket_rvol_20d_discovery_state,HIGH,ESCALATION_CONTEXT,VALIDATION_OLDER,229,224,58,166,5,0,25.892857142857142,1.512208482858096,1.8877389085123464,0.9439265868990444,1.426361615413119,92,69
warning_c3_state,C3_ADVERSE_WARNING,premarket_rvol_20d_discovery_state,HIGH,ESCALATION_CONTEXT,VALIDATION_NEWER,162,154,34,120,7,1,22.07792207792208,1.5820632458483865,2.095484567740046,0.8952849722713863,1.5414605781609787,89,61
warning_c3_state,C3_ADVERSE_WARNING,weekday,FRIDAY,ESCALATION_CONTEXT,VALIDATION_OLDER,223,217,51,166,5,1,23.502304147465438,1.2224721698577041,1.6599636248952443,0.8514005971710394,1.2909090909090881,96,16
warning_c3_state,C3_ADVERSE_WARNING,weekday,FRIDAY,ESCALATION_CONTEXT,VALIDATION_NEWER,164,162,35,127,2,0,21.604938271604937,1.7095492854647862,1.9222935902354383,1.126078694081116,1.234417006211964,86,14
warning_c3_state,C3_ADVERSE_WARNING,weekday,TUESDAY,ESCALATION_CONTEXT,VALIDATION_OLDER,207,206,57,149,1,0,27.66990291262136,1.2943375327345448,1.8257479243350847,0.8790343741800075,1.256983240223457,94,16
warning_c3_state,C3_ADVERSE_WARNING,weekday,TUESDAY,ESCALATION_CONTEXT,VALIDATION_NEWER,224,220,48,172,2,2,21.818181818181817,1.3808397643414991,1.716737069402029,0.7625354198031646,1.3776605347162851,98,17
