warning_feature,warning_state,context_feature,context_state,research_period_discovery,parent_favorable_first_pct_discovery,context_effect_pp_discovery,total_n_discovery,binary_n_discovery,favorable_n_discovery,adverse_n_discovery,both_n_discovery,unresolved_n_discovery,favorable_first_pct_discovery,avg_mfe_pct_discovery,avg_mae_pct_discovery,median_mfe_pct_discovery,median_mae_pct_discovery,symbol_n_discovery,trade_date_n_discovery,research_period_validation,parent_favorable_first_pct_validation,context_effect_pp_validation,total_n_validation,binary_n_validation,favorable_n_validation,adverse_n_validation,both_n_validation,unresolved_n_validation,favorable_first_pct_validation,avg_mfe_pct_validation,avg_mae_pct_validation,median_mfe_pct_validation,median_mae_pct_validation,symbol_n_validation,trade_date_n_validation,passes_sample_gate,same_effect_direction,effect_difference_pp,effect_type
warning_c3_state,C3_ADVERSE_WARNING,market_prior_5d_consensus,CONSENSUS_ALIGNED,DISCOVERY,30.07483629560337,1.235375650446727,1060,1038,325,713,0,22,31.310211946050096,1.0619367865404286,1.390393809955117,0.6845759813205512,1.0243389522890594,112,145,VALIDATION,25.333333333333332,-2.1105845181674567,1076,1055,245,810,16,5,23.222748815165875,1.32705153751963,1.776898502137307,0.7903281537315502,1.2918592451495838,112,145,True,False,-3.3459601686141838,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,market_prior_5d_consensus,CONSENSUS_OPPOSING,DISCOVERY,30.07483629560337,-1.035981489877397,1000,978,284,694,7,15,29.038854805725972,1.0149203384085035,1.4919864764524604,0.6889485970813298,1.1275697537640348,112,145,VALIDATION,25.333333333333332,2.837261503928172,910,891,251,640,13,6,28.170594837261504,1.5453069874883227,1.7657639120251636,1.0303747052501258,1.338348747842467,112,142,True,False,3.873242993805569,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,market_prior_5d_consensus,MIXED,DISCOVERY,30.07483629560337,-5.832412053179127,66,66,16,50,0,0,24.242424242424242,1.617890689084499,1.5446457720893383,1.077057422505292,1.2440747099742664,53,6,VALIDATION,25.333333333333332,-1.956709956709954,156,154,36,118,2,0,23.376623376623378,1.1159948020685095,1.951576238106966,0.6725398327785501,1.5299723891394592,86,13,False,True,3.8757020964691726,ESCALATION_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,positive_candidate_state,OTHER,DISCOVERY,30.07483629560337,0.6764741295567944,1752,1717,528,1189,3,32,30.751310425160163,1.0282700931114657,1.4148195673147084,0.6756262342074314,1.0618974275557558,112,158,VALIDATION,25.333333333333332,-0.4184638668180085,1794,1762,439,1323,22,10,24.914869466515324,1.3247174600106901,1.763601225427005,0.8109913385135173,1.2954083405325596,112,159,True,False,-1.094937996374803,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,positive_candidate_state,POSITIVE_CANDIDATE,DISCOVERY,30.07483629560337,-2.7589218062922036,430,421,115,306,4,5,27.315914489311165,1.1388813392443489,1.567532613450608,0.7357602090032977,1.1420436989754004,103,137,VALIDATION,25.333333333333332,2.1814595660749525,348,338,93,245,9,1,27.514792899408285,1.815197927727025,1.8946357556645996,1.3421420039717193,1.484900288668705,99,126,True,False,4.940381372367156,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,negative_candidate_state,NEGATIVE_CANDIDATE,DISCOVERY,30.07483629560337,6.899953620363014,122,119,44,75,0,3,36.97478991596638,1.096089657216005,1.27967328181653,0.7147584128340962,0.9946046905002852,67,73,VALIDATION,25.333333333333332,-7.4761904761904745,141,140,25,115,1,0,17.857142857142858,0.9145543955643454,1.6966276856546054,0.5811247657262179,1.3292489469941506,70,69,True,False,-14.376144096553489,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,negative_candidate_state,OTHER,DISCOVERY,30.07483629560337,-0.40668374483566083,2060,2019,599,1420,7,34,29.668152550767708,1.0473423499155365,1.454700371523065,0.6860871865351443,1.0856948036113967,112,158,VALIDATION,25.333333333333332,0.5340136054421798,2001,1960,507,1453,30,11,25.867346938775512,1.4389204559388356,1.7911091142978652,0.9288824383164014,1.3176256298015523,112,159,True,False,0.9406973502778406,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,DISCOVERY,30.07483629560337,1.2148042963628036,484,473,148,325,4,7,31.289640591966172,1.1255759163654904,1.510698939386749,0.7912718351691514,1.222232735168319,109,144,VALIDATION,25.333333333333332,1.096646942800792,517,507,134,373,9,1,26.429980276134124,1.4645801887847354,1.7669970116150928,1.0179372197309462,1.3273287508888305,109,151,True,True,-0.11815735356201174,RESCUE_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,INCOMPLETE,DISCOVERY,30.07483629560337,-0.6630715897210173,68,68,20,48,0,0,29.41176470588235,0.699657934715093,1.4067705267086184,0.42313760980855347,1.033417843559329,43,37,VALIDATION,25.333333333333332,-8.666666666666664,12,12,2,10,0,0,16.666666666666668,1.0467949072114753,1.7596393330679627,0.5098701211598466,1.582940126908031,5,12,False,True,-8.003595076945647,ESCALATION_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,NONE_CLEARED,DISCOVERY,30.07483629560337,0.08114290716959616,590,577,174,403,1,12,30.155979202772965,1.0537341862926979,1.3854760217979667,0.6949844247162789,0.9975648169089729,108,152,VALIDATION,25.333333333333332,-0.40796019900497527,681,670,167,503,4,7,24.925373134328357,1.4208803727127706,1.7842133310771644,0.9094306714837392,1.2899725396403554,111,155,True,False,-0.4891031061745714,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ONE_OF_3_CLEARED,DISCOVERY,30.07483629560337,-0.1460952029667908,432,421,126,295,1,10,29.928741092636578,1.0341299434919835,1.4857831030714495,0.6960101446830025,1.0833318137598438,110,145,VALIDATION,25.333333333333332,0.33511586452763,383,374,96,278,7,2,25.668449197860962,1.4294489741189627,1.8537686463825875,0.9241181830014236,1.336869713151562,106,142,True,False,0.4812110674944208,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,TWO_OF_3_CLEARED,DISCOVERY,30.07483629560337,-0.8594773640507825,608,599,175,424,1,8,29.215358931552586,1.0369167605651406,1.4254524175198882,0.6468648507266372,1.0804920417536272,112,152,VALIDATION,25.333333333333332,-0.5661080074487899,549,537,133,404,11,1,24.767225325884542,1.317639371065533,1.7550784050226396,0.7815782838893963,1.3220907862960949,112,154,True,True,0.2933693566019926,ESCALATION_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,pd_level_structure_state,ALREADY_BEYOND_AT_C1_OPEN,DISCOVERY,30.07483629560337,1.7152871611867546,332,324,103,221,4,4,31.790123456790123,1.1732190409202585,1.5921335341397342,0.7961412075189489,1.2868565048320826,103,120,VALIDATION,25.333333333333332,0.24211423699915002,407,391,100,291,14,2,25.575447570332482,1.5152871189156356,1.8127353383153546,1.1095700416088858,1.3769867428403981,107,132,True,True,-1.4731729241876046,RESCUE_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,pd_level_structure_state,C1_BREAK_HELD_THROUGH_C2,DISCOVERY,30.07483629560337,7.011256419628417,155,151,56,95,2,2,37.086092715231786,1.1233165882237521,1.412116251086602,0.8350730688935316,1.045342214116741,76,91,VALIDATION,25.333333333333332,0.01877934272300763,144,142,36,106,2,0,25.35211267605634,1.5286495848851798,1.7345741414127618,0.9488219254828545,1.35599783425423,77,92,True,True,-6.992477076905409,RESCUE_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,pd_level_structure_state,C2_BREAK,DISCOVERY,30.07483629560337,-2.074836295603369,179,175,49,126,0,4,28.0,1.0638871334861162,1.5213359771014896,0.7208062183658708,1.117167335080343,88,97,VALIDATION,25.333333333333332,-0.5011185682326627,150,149,37,112,1,0,24.83221476510067,1.204687678574575,1.7145212904330827,0.6950779824488393,1.3285423439999167,82,93,True,True,1.5737177273707061,ESCALATION_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,pd_level_structure_state,FAILED_BREAK,DISCOVERY,30.07483629560337,-2.2059838365869737,61,61,17,44,0,0,27.868852459016395,0.7959643264583015,1.348252872661448,0.4999365901521175,1.0095777210583519,49,54,VALIDATION,25.333333333333332,-1.389671361502348,71,71,17,54,0,0,23.943661971830984,1.5112312192460131,1.3641881696454692,0.8831424052149743,1.0509639301913696,47,59,False,True,0.8163124750846258,ESCALATION_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,pd_level_structure_state,NOT_CLEARED,DISCOVERY,30.07483629560337,-0.4662953703364643,1433,1405,416,989,1,27,29.608540925266905,1.034348790466984,1.4026730125452838,0.6781727435516335,1.041083622523236,112,157,VALIDATION,25.333333333333332,0.056421677802525494,1370,1347,342,1005,14,9,25.389755011135858,1.374732873090073,1.8114133786275548,0.871314578020529,1.3245976690090955,112,159,True,False,0.5227170481389898,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,MULTIPLE_C2_LEVEL_BREAKS,DISCOVERY,30.07483629560337,-1.6797745672083053,165,162,46,116,0,3,28.395061728395063,0.8835782814550532,1.496310749982898,0.6568144499179036,1.1318553092182018,78,94,VALIDATION,25.333333333333332,-2.65891472868217,175,172,39,133,3,0,22.674418604651162,1.0807341586927164,1.9029459183323303,0.6367978166932026,1.4991023339317788,87,104,True,True,-0.9791401614738646,ESCALATION_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,NO_C2_LEVEL_BREAK,DISCOVERY,30.07483629560337,0.46251626009781077,1557,1526,466,1060,7,24,30.53735255570118,1.075744375694885,1.4224868350853124,0.6938209125785719,1.058795219379163,112,158,VALIDATION,25.333333333333332,1.2978251220594785,1538,1502,400,1102,26,10,26.63115845539281,1.456896096688749,1.771074073534304,0.9296605368365398,1.266780968379964,112,159,True,True,0.8353088619616678,RESCUE_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,ONE_C2_LEVEL_BREAK,DISCOVERY,30.07483629560337,-0.9637251844922581,460,450,131,319,0,10,29.11111111111111,1.0228777600203,1.5023904994437423,0.6774679762645537,1.0987786864976985,108,147,VALIDATION,25.333333333333332,-3.502347417840376,429,426,93,333,2,1,21.830985915492956,1.3482455189502605,1.7862619594018887,0.8680912746656787,1.3746536725243694,108,145,True,True,-2.538622233348118,ESCALATION_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,MODERATE_CLUSTER,DISCOVERY,30.07483629560337,1.6964107258422239,1281,1259,400,859,2,20,31.771247021445593,1.020711146781951,1.341975085317258,0.7033366424929667,1.0212765957446823,112,157,VALIDATION,25.333333333333332,1.1798806479113395,1186,1173,311,862,9,4,26.51321398124467,1.196218862747744,1.5968598902204556,0.7542368344014934,1.1917659804983773,112,159,True,True,-0.5165300779308843,RESCUE_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,TIGHT_CLUSTER,DISCOVERY,30.07483629560337,6.855619339888236,435,417,154,263,1,17,36.930455635491604,0.7698354812468509,1.1586405453696145,0.584385226741468,0.8552245963659713,103,136,VALIDATION,25.333333333333332,3.2873563218390807,297,290,83,207,0,7,28.620689655172413,1.0198302934386232,1.3107778561712466,0.6653123412899961,1.070882202957683,95,129,True,True,-3.568263018049155,RESCUE_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,WIDE_CLUSTER,DISCOVERY,30.07483629560337,-10.346945139140782,445,441,87,354,4,0,19.727891156462587,1.4416060578073076,2.004452622923458,0.8858665686454718,1.5621542682656995,93,139,VALIDATION,25.333333333333332,-3.6692830978545246,659,637,138,499,22,0,21.664050235478808,1.9523927674326063,2.336960528532636,1.4143879305563165,1.8513476722025586,106,153,True,True,6.677662041286258,ESCALATION_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,AH,DISCOVERY,30.07483629560337,0.9792947585276863,361,351,109,242,2,8,31.054131054131055,0.9751646851452376,1.4060490656594673,0.6882381327305589,1.024751694781658,103,137,VALIDATION,25.333333333333332,-4.617220801364024,395,391,81,310,2,2,20.71611253196931,1.2668678581299406,1.7877993442911655,0.7489597780860019,1.2924276452392018,107,141,True,False,-5.59651555989171,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,NONE_AHEAD,DISCOVERY,30.07483629560337,1.2259767125267125,503,492,154,338,4,7,31.30081300813008,1.1074357843603868,1.5055585873461361,0.7724337698388701,1.2138807162480794,109,146,VALIDATION,25.333333333333332,0.9927963326784557,519,509,134,375,9,1,26.326129666011788,1.4624049478302052,1.7675886841459216,1.0179372197309462,1.3273287508888305,110,151,True,True,-0.2331803798482568,RESCUE_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,PD,DISCOVERY,30.07483629560337,-1.8605505813176535,569,560,158,402,0,9,28.214285714285715,1.0357412107861443,1.389527009539216,0.6449485140532782,1.0517660342161366,111,152,VALIDATION,25.333333333333332,-0.6044830079537213,469,461,114,347,6,2,24.72885032537961,1.3147048727551474,1.751124005206257,0.7919019418812875,1.3106740908025412,110,149,True,True,1.2560675733639322,ESCALATION_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,PM,DISCOVERY,30.07483629560337,0.1292453370496922,749,735,222,513,1,13,30.20408163265306,1.0585270750311568,1.4649964688292962,0.6854022022730323,1.0528015501372672,111,156,VALIDATION,25.333333333333332,2.136220117275599,759,739,203,536,14,6,27.46955345060893,1.491744986694092,1.8160703753344523,0.9504394060442561,1.3255459624174777,112,156,True,True,2.0069747802259066,RESCUE_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,premarket_rvol_20d_discovery_state,HIGH,DISCOVERY,30.07483629560337,-2.1678595514173225,439,430,120,310,6,3,27.906976744186046,1.177865546727005,1.7302136884522252,0.7303293371916741,1.4111400894187784,108,134,VALIDATION,25.333333333333332,-0.9947089947089935,391,378,92,286,12,1,24.33862433862434,1.5411508654781139,1.9738125576041299,0.9360028390607502,1.5326395458845834,107,130,True,True,1.173150556708329,ESCALATION_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,premarket_rvol_20d_discovery_state,LOW,DISCOVERY,30.07483629560337,1.7770155562484824,416,405,129,276,0,11,31.85185185185185,0.9093008341833463,1.2157467704076157,0.6504586197966806,0.9184662370650839,105,120,VALIDATION,25.333333333333332,-3.345381526104415,334,332,73,259,0,2,21.987951807228917,1.2590334418212652,1.6164063390076995,0.8737274678233647,1.1883579474932564,109,124,True,False,-5.122397082352897,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,premarket_rvol_20d_discovery_state,MODERATE,DISCOVERY,30.07483629560337,-0.27857143991576194,1199,1178,351,827,1,20,29.796264855687607,1.0791420630849633,1.4140554712525626,0.6999121265377778,1.049644283918476,112,147,VALIDATION,25.333333333333332,1.1543299467827772,1405,1378,365,1013,19,8,26.48766328011611,1.4039596478657652,1.772582022874538,0.8882334785143439,1.3273287508888305,112,159,True,False,1.4329013866985392,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,premarket_rvol_20d_discovery_state,UNKNOWN,DISCOVERY,30.07483629560337,4.32516370439663,128,125,43,82,0,3,34.4,0.796911901047339,1.5002807028688534,0.5437523883910897,1.0339335503805784,82,41,VALIDATION,25.333333333333332,-8.666666666666664,12,12,2,10,0,0,16.666666666666668,1.0467949072114753,1.7596393330679627,0.5098701211598466,1.582940126908031,5,12,False,False,-12.991830371063294,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,low_premarket_rvol_candidate,LOW_PREMARKET_RVOL,DISCOVERY,30.07483629560337,1.7770155562484824,416,405,129,276,0,11,31.85185185185185,0.9093008341833463,1.2157467704076157,0.6504586197966806,0.9184662370650839,105,120,VALIDATION,25.333333333333332,-3.345381526104415,334,332,73,259,0,2,21.987951807228917,1.2590334418212652,1.6164063390076995,0.8737274678233647,1.1883579474932564,109,124,True,False,-5.122397082352897,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,low_premarket_rvol_candidate,OTHER,DISCOVERY,30.07483629560337,-0.4152863821584738,1766,1733,514,1219,7,26,29.659549913444895,1.0832270849298333,1.4988970833689481,0.6983372713378916,1.1213163248509823,112,158,VALIDATION,25.333333333333332,0.6282051282051277,1808,1768,459,1309,31,9,25.96153846153846,1.4312582038384294,1.816014449202852,0.8945773165750381,1.3518820142140187,112,159,True,False,1.0434915103636015,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,low_premarket_rvol_market_aligned_candidate,LOW_PREMARKET_RVOL_MARKET_ALIGNED,DISCOVERY,30.07483629560337,1.9597957390286638,239,231,74,157,0,8,32.03463203463203,0.9573528950913973,1.210237858632548,0.6573401634029228,0.9042473568367391,87,95,VALIDATION,25.333333333333332,-3.4427860696517385,202,201,44,157,0,1,21.890547263681594,1.1495818003036966,1.6289402150446937,0.7944698742720142,1.196100699598535,98,94,True,False,-5.402581808680402,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,low_premarket_rvol_market_aligned_candidate,OTHER,DISCOVERY,30.07483629560337,-0.23739528878637728,1943,1907,569,1338,7,29,29.83744100681699,1.06147238140994,1.4737807810118124,0.6951284721245117,1.1009280742459409,112,158,VALIDATION,25.333333333333332,0.36440231700895254,1940,1899,488,1411,31,10,25.697735650342285,1.4309363290963073,1.8011277927568554,0.9006033363830758,1.332951856188517,112,159,True,False,0.6017976057953298,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,weekday,FRIDAY,DISCOVERY,30.07483629560337,-2.6285355796129153,431,419,115,304,1,11,27.446300715990454,1.0527010426406773,1.5717233262801995,0.6284578610946917,1.084214532757444,109,32,VALIDATION,25.333333333333332,-2.642040457343885,387,379,86,293,7,1,22.691292875989447,1.428882110321687,1.7711318789412178,0.9583486914854331,1.2844006130472319,104,30,True,True,-0.013504877730969866,ESCALATION_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,weekday,MONDAY,DISCOVERY,30.07483629560337,1.1594206313487732,402,397,124,273,1,4,31.234256926952142,0.9784116515811163,1.370448576653891,0.7117607887559264,1.0991137575099108,108,31,VALIDATION,25.333333333333332,-1.6920289855072461,376,368,87,281,7,1,23.641304347826086,1.2969827776022638,1.831022744520948,0.7203020727104366,1.3785218934726804,109,30,True,False,-2.8514496168560193,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,weekday,THURSDAY,DISCOVERY,30.07483629560337,-0.9578911882048011,428,419,122,297,3,6,29.116945107398568,1.0852083164537918,1.5178631878651176,0.6616626297404007,1.1194516337042018,109,29,VALIDATION,25.333333333333332,1.1972789115646272,502,490,130,360,9,3,26.53061224489796,1.4608345980011137,1.8332578898609613,0.8784413326605369,1.3549741527623989,111,33,True,False,2.1551700997694283,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,weekday,TUESDAY,DISCOVERY,30.07483629560337,-0.6630715897210173,467,459,135,324,1,7,29.41176470588235,1.0573468724102955,1.4348708618589698,0.7219827586206946,1.1318553092182018,109,33,VALIDATION,25.333333333333332,-0.6854460093896719,431,426,105,321,3,2,24.64788732394366,1.3392946090221498,1.769092630819993,0.8572834645669244,1.3064405225761935,110,33,True,True,-0.02237441966865461,ESCALATION_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,weekday,WEDNESDAY,DISCOVERY,30.07483629560337,3.0332718125047364,454,444,147,297,1,9,33.108108108108105,1.070401755142701,1.3320257431345623,0.7006049531809149,0.9744807553702166,110,33,VALIDATION,25.333333333333332,3.0419527078565984,446,437,124,313,5,4,28.37528604118993,1.4731259110989527,1.7187597930573557,1.05684531942644,1.2875218108263227,111,33,True,True,0.008680895351862006,RESCUE_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,continuous_short_ma_state,BOTH_FAVORABLE,DISCOVERY,30.07483629560337,-0.12213004231908187,1941,1903,570,1333,6,32,29.952706253284287,1.0645766605206957,1.4625073129162847,0.6938209125785719,1.1009280742459409,112,158,VALIDATION,25.333333333333332,0.5159235668789819,1923,1884,487,1397,28,11,25.849256900212314,1.4485572440719339,1.788666963981256,0.9304386353566783,1.3239845771932728,112,159,True,False,0.6380536091980638,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,continuous_short_ma_state,BOTH_OPPOSING,DISCOVERY,30.07483629560337,2.1399288050677754,153,149,48,101,1,3,32.214765100671144,0.9013389154572525,1.2166828066460271,0.6092254134029523,0.7942692722695053,80,98,VALIDATION,25.333333333333332,-3.750599520383691,141,139,30,109,2,0,21.58273381294964,0.9754805006367205,1.7614074947406615,0.5723846424797389,1.379413524835432,76,89,True,False,-5.890528325451466,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,continuous_short_ma_state,EMA20_ONLY_OPPOSING,DISCOVERY,30.07483629560337,-3.604248060309253,70,68,18,50,0,2,26.470588235294116,0.9312715468200957,1.568456645613842,0.4894209746655694,1.2356252917495136,50,57,VALIDATION,25.333333333333332,-4.698412698412696,63,63,13,50,0,0,20.634920634920636,1.1535318256043938,1.8339007421901956,0.7200435401153558,1.2844036697247758,47,47,False,True,-1.094164638103443,ESCALATION_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,continuous_short_ma_state,EMA9_ONLY_OPPOSING,DISCOVERY,30.07483629560337,9.925163704396631,15,15,6,9,0,0,40.0,1.3433018610990266,1.0076782800043291,0.9798942029617482,0.8305358154945954,13,13,VALIDATION,25.333333333333332,-11.047619047619046,15,14,2,12,1,0,14.285714285714286,0.8294110769999864,1.3155377423304828,0.5207687538747696,1.229170481596778,14,14,False,False,-20.972782752015675,NON_REPLICATING
warning_c3_state,C3_ADVERSE_WARNING,rth_short_ma_state,BOTH_FAVORABLE,DISCOVERY,30.07483629560337,0.5399692250992665,1621,1594,488,1106,6,21,30.614805520702635,1.058072110665353,1.454888562442574,0.6978588421887467,1.0983594991817223,112,157,VALIDATION,25.333333333333332,0.4795399247954002,1539,1507,389,1118,28,4,25.812873258128732,1.3784816678545133,1.7675981742706806,0.8682275401453434,1.3102547986268955,112,159,True,True,-0.060429300303866285,RESCUE_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,rth_short_ma_state,BOTH_OPPOSING,DISCOVERY,30.07483629560337,-1.4432573482349476,489,475,136,339,1,13,28.63157894736842,1.0576912645668495,1.4140864956184993,0.6933744221879766,1.0373831775700886,106,148,VALIDATION,25.333333333333332,-0.5643869377695623,551,541,134,407,3,7,24.76894639556377,1.510368511359402,1.816614890162875,1.0011507479861963,1.3079438353529518,109,144,True,True,0.8788704104653853,ESCALATION_CONTEXT
warning_c3_state,C3_ADVERSE_WARNING,rth_short_ma_state,EMA20_ONLY_OPPOSING,DISCOVERY,30.07483629560337,3.258497037729967,31,30,10,20,0,1,33.333333333333336,1.11291340953189,1.2118496730141595,0.665637661585952,1.0501405117586065,27,26,VALIDATION,25.333333333333332,-11.047619047619046,42,42,6,36,0,0,14.285714285714286,1.099782772332339,2.017840762474153,0.5923462120321094,1.6021490896409318,35,36,False,False,-14.306116085349013,NON_REPLICATING
