validation_subperiod,policy_name,total_signal_n,binary_signal_n,actionable_n,actionable_pct,avg_exit_return_pct,median_exit_return_pct,avg_hold_return_pct,avg_policy_improvement_pp,policy_better_n,policy_better_pct,eventual_favorable_n,eventual_adverse_n,avg_saved_on_adverse_pp,avg_foregone_on_favorable_pp,symbol_n
VALIDATION_NEWER,FAVORABLE_TO_ADVERSE_TRANSITION,2093,2040,461,22.598039215686274,-0.1263173346978849,-0.099601593625498,-0.10954446854663774,-0.01677286615124714,281,60.95444685466378,180,281,0.36382706062605896,0.6109316407313751,100
VALIDATION_NEWER,FIRST_ADVERSE_CLOSE,2093,2040,1023,50.14705882352941,-0.15474668514720477,-0.13286403580335962,-0.15395894428152493,-0.0007877408656798346,669,65.39589442815249,354,669,0.3289682097783704,0.6239705967438424,112
VALIDATION_NEWER,ONE_BAR_NONRECOVERY,2093,2040,552,27.058823529411764,-0.18164509431314543,-0.16542317950103275,-0.19927536231884058,0.017808457599422883,384,69.56521739130434,166,386,0.304136038299732,0.6485539120303875,100
VALIDATION_NEWER,THREE_CONSECUTIVE_ADVERSE,2093,2040,414,20.294117647058822,-0.20585037257115674,-0.19474892531619556,-0.18840579710144928,-0.017444575469707443,285,68.84057971014492,129,285,0.2707388719186536,0.6541289359788772,92
VALIDATION_NEWER,TWO_CONSECUTIVE_ADVERSE,2093,2040,621,30.441176470588236,-0.1822305182408458,-0.16542317950103275,-0.1956521739130435,0.013421655672197686,432,69.56521739130434,189,432,0.3051127142804764,0.6533007640038679,102
VALIDATION_OLDER,FAVORABLE_TO_ADVERSE_TRANSITION,2041,2000,441,22.05,-0.12867486768717987,-0.09841597150623675,-0.10090702947845805,-0.027767838208721803,265,60.090702947845806,176,265,0.3560176828552306,0.6056267193561502,100
VALIDATION_OLDER,FIRST_ADVERSE_CLOSE,2041,2000,1069,53.45,-0.163206402396243,-0.1386328666534587,-0.14546304957904585,-0.017743352817197213,690,64.54630495790458,379,690,0.3167070966338292,0.6266373109206488,111
VALIDATION_OLDER,ONE_BAR_NONRECOVERY,2041,2000,583,29.15,-0.1915109381586553,-0.17707844119779056,-0.1792452830188679,-0.012816780083053921,395,67.75300171526587,187,396,0.28853116844094645,0.6493538906016643,103
VALIDATION_OLDER,THREE_CONSECUTIVE_ADVERSE,2041,2000,415,20.75,-0.1948540000577599,-0.18087307924194623,-0.172289156626506,-0.02256484343125388,279,67.2289156626506,136,279,0.28730086559422824,0.6582452317997062,91
VALIDATION_OLDER,TWO_CONSECUTIVE_ADVERSE,2041,2000,654,32.7,-0.19036125065179443,-0.17515032214411835,-0.17584097859327216,-0.014520272058522255,442,67.58409785932722,212,442,0.28997524410931413,0.6493646972763698,105
