research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,NO_REFERENCE_WARNING,1013,989,927,62,5,19,93.73104145601617,1.911531449843375,0.6822238906496634,1.498191837437567,0.34659924971457456,112,157,reference_warning_state
DISCOVERY,PERSISTENT_REFERENCE_WARNING,1564,1530,262,1268,7,27,17.124183006535947,0.7520552809336941,1.8008627593131799,0.4519027682446556,1.4074282687583073,112,158,reference_warning_state
DISCOVERY,REFERENCE_WARNING_RECOVERED,1596,1559,891,668,2,35,57.152020525978195,1.4212648805215684,1.0521008007878112,1.0566503703815693,0.7379019563390423,112,158,reference_warning_state
VALIDATION,NO_REFERENCE_WARNING,934,912,875,37,18,4,95.94298245614036,2.504600902997532,0.8463582401923739,1.9277694659087001,0.40894881678074624,112,158,reference_warning_state
VALIDATION,PERSISTENT_REFERENCE_WARNING,1498,1467,272,1195,22,9,18.541240627130197,0.995098681301464,2.182345410345781,0.5519009206097012,1.7566718063891273,112,159,reference_warning_state
VALIDATION,REFERENCE_WARNING_RECOVERED,1702,1661,851,810,27,14,51.23419626730885,1.805876165027922,1.3827058838982218,1.3199238901131283,0.9532027403930177,112,159,reference_warning_state
DISCOVERY,NO_VWAP_WARNING,20,20,14,6,0,0,70.0,1.926634229434347,0.8134628012153922,1.5545269455105406,0.46100185654920056,15,18,vwap_warning_state
DISCOVERY,PERSISTENT_VWAP_WARNING,127,127,79,48,0,0,62.20472440944882,1.2953867683214026,1.3826456513000691,0.9950411066161929,0.9726443768996944,74,86,vwap_warning_state
DISCOVERY,VWAP_WARNING_RECOVERED,4026,3931,1987,1944,14,81,50.54693462223353,1.2861122114303416,1.2406681026109916,0.9077780113079447,0.8793889434043174,112,158,vwap_warning_state
VALIDATION,NO_VWAP_WARNING,18,18,16,2,0,0,88.88888888888889,3.4534483255177553,1.017138383825276,3.299011056779747,0.4778747151749282,16,17,vwap_warning_state
VALIDATION,PERSISTENT_VWAP_WARNING,127,124,74,50,2,1,59.67741935483871,1.8106822429104161,1.6916197767880736,1.3301364388879446,1.1949607084944402,79,85,vwap_warning_state
VALIDATION,VWAP_WARNING_RECOVERED,3989,3898,1908,1990,65,26,48.94817855310416,1.6574172940982372,1.5492286871074181,1.1638316920322265,1.1230322567169502,112,159,vwap_warning_state
DISCOVERY,NO_WARNING_COMPONENTS,12,12,12,0,0,0,100.0,1.9023642894676762,0.47665139893888225,1.6970087624393404,0.25268539649235405,8,11,warning_component_state
DISCOVERY,ONE_WARNING_COMPONENT,1007,983,917,66,5,19,93.28585961342829,1.9153479693864877,0.6881490890188299,1.496821816690582,0.35006676531089914,112,157,warning_component_state
DISCOVERY,THREE_WARNING_COMPONENTS,2654,2599,759,1840,9,46,29.20353982300885,0.9871656631981814,1.5275178506938916,0.6358085066253646,1.152448311663269,112,158,warning_component_state
DISCOVERY,TWO_WARNING_COMPONENTS,500,484,392,92,0,16,80.99173553719008,1.6188262412205623,0.868153419360905,1.250248908508894,0.5003192992407185,110,145,warning_component_state
VALIDATION,NO_WARNING_COMPONENTS,14,14,14,0,0,0,100.0,4.078832798830583,0.8276330096027594,3.757217946634116,0.24235892422452107,12,13,warning_component_state
VALIDATION,ONE_WARNING_COMPONENT,920,898,861,37,18,4,95.87973273942093,2.480645200234855,0.8466431893535202,1.9101344088748098,0.40915928878029645,112,158,warning_component_state
VALIDATION,THREE_WARNING_COMPONENTS,2655,2596,712,1884,41,18,27.426810477657934,1.2800527215805986,1.8925198311963465,0.8092300296450533,1.435873015873021,112,159,warning_component_state
VALIDATION,TWO_WARNING_COMPONENTS,545,532,411,121,8,5,77.25563909774436,2.1389340948084894,1.097025114250373,1.6175631659336558,0.6574711746688376,111,154,warning_component_state
