architecture,direction,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,avg_minutes_to_favorable,avg_minutes_to_adverse,symbol_n,trade_date_n
AE0_CLEAN,BEAR,2498,2456,1148,1308,18,24,46.74267100977199,1.3418213030790742,1.403995717974039,0.9414335224827755,1.0034515243555786,16.38507718696398,14.542232277526395,112,312
AE0_CLEAN,BULL,2747,2694,1376,1318,29,24,51.076466221232366,1.3527200704398317,1.289969236133639,0.9937995272162394,0.950551117403173,15.801423487544485,14.789903489235337,112,313
AE2_RECLAIM,BEAR,4137,4049,2021,2028,35,53,49.91355890343295,1.4664635881735508,1.4076976133555934,1.0363049893624454,1.006013600854264,15.234922178988327,13.025206010664082,112,317
AE2_RECLAIM,BULL,4170,4069,2057,2012,46,55,50.55296141558122,1.4910625908817483,1.385172048880482,1.0448250379238013,0.9775323284379226,14.455064194008559,14.682215743440233,112,317
AE3_COLOR_RELAXED,BEAR,932,928,449,479,3,1,48.383620689655174,1.3238493393174282,1.2797745702774024,0.9569055696074297,0.9921457853862683,14.86283185840708,14.014522821576763,110,291
AE3_COLOR_RELAXED,BULL,977,963,467,496,3,11,48.494288681204566,1.251594937374108,1.3478050410394928,0.9370773491337567,1.028962799037266,17.623404255319148,12.793587174348698,111,287
AE4_RECLAIM_C3,BEAR,1931,1891,1022,869,12,28,54.045478582760445,1.44991163168827,1.4137275637561013,1.0540660807653857,1.0035090020660486,16.72533849129594,13.90805902383655,112,312
AE4_RECLAIM_C3,BULL,1959,1921,1026,895,12,26,53.40968245705362,1.530917331324786,1.3423288023867948,1.0672398838480914,0.9582354004700798,15.88728323699422,17.70231532524807,112,313
AE5_COLOR_C3,BEAR,432,427,199,228,4,1,46.604215456674474,1.3171562773412366,1.267535884581096,0.9594473900886462,0.882814303142071,16.142857142857142,14.5,104,220
AE5_COLOR_C3,BULL,486,480,233,247,3,3,48.541666666666664,1.255876206959211,1.2711673548563305,0.9306939566940493,1.0186302544748056,13.584745762711865,15.572,108,224
NC_VWAP_CLOSE_FAIL,BEAR,5272,5154,2618,2536,39,79,50.795498641831585,1.3896606242505658,1.362410289469738,0.9848660913461886,0.9597928270586262,14.66616484757245,14.829902912621359,112,317
NC_VWAP_CLOSE_FAIL,BULL,5131,5026,2596,2430,51,54,51.65141265419817,1.4196247317161734,1.3724941940161366,1.0358829866578272,0.9788962839711585,13.582546278806195,15.577992744860943,112,317
