candidate_id,sample_version,set_code,position_in_set,symbol,trade_date,source_sparse_symbol,selection_rank,selection_hash,selection_basis
SET_1_01_LLY_2025-04-11,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_1,10,LLY,2025-04-11,False,1,00034accc4044b5f69cdfdf3d3bfe7a8b1db92b022a3fa4572126a96fc72a5cd,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_1_02_NVDA_2025-12-04,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_1,16,NVDA,2025-12-04,False,2,000c4bebfcfd2cd01627a26db95229fb044c94995e3936df4d405fc140870052,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_1_03_BAC_2025-01-22,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_1,9,BAC,2025-01-22,False,3,0011a36e83d25b34b5bd88242c24ade03f1b20456350b7242f843164c47d3b4c,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_1_04_TEAM_2025-12-30,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_1,5,TEAM,2025-12-30,False,4,0019b854cb2b96dc119523896573dbe29dcbaa77fdb54b99afb3453f1045bf03,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_1_05_TSLA_2025-07-21,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_1,17,TSLA,2025-07-21,False,5,00263fd1f1d151f0621b78cb0f12d21af4d4c80c5adccf33d2f183cf763dea0f,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_1_06_CVX_2025-08-25,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_1,12,CVX,2025-08-25,False,6,003e1b2aba49bdcdd3697307422b39532af4fba4b2c7bc17cba628d444718c4c,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_1_07_MSFT_2025-03-10,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_1,1,MSFT,2025-03-10,False,7,0040e5fdc080b68fa978af9c2d68a608b8444754d0b0b4b948f8a1dedffd1b0e,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_1_08_PLTR_2025-12-18,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_1,4,PLTR,2025-12-18,False,8,00442e3b2adc0a31afd5ffc247b52f9a9ee0ef33dc96114381cd2c53dbe3130f,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_1_09_AAPL_2025-10-24,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_1,7,AAPL,2025-10-24,False,9,0050095a85bbc11eff362bbe418e7c143aeea22d41df28b06b27b666cfd380d2,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_1_10_DELL_2025-02-19,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_1,22,DELL,2025-02-19,False,10,00530d6ac35dd4de8fafb212eebd2efc3d3c821b85caac4e181d238d8a0d7d9c,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_1_11_QQQ_2025-02-07,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_1,26,QQQ,2025-02-07,False,11,0067b61e53fa96fc5821b21de025900e3994076de4d1fe94a2ffc0bc304d5033,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_1_12_SPY_2025-04-30,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_1,25,SPY,2025-04-30,False,12,00725c808b0f75a2659fada8dda2d293052388644f3e9a4bc169878a2723eae8,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_2_01_RTX_2025-04-14,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_2,15,RTX,2025-04-14,False,1,000bbc118d50941adf8e4412419afbf99d87596af5d5f55f4a7c4c0cf2cebdee,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_2_02_HD_2025-03-11,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_2,18,HD,2025-03-11,False,2,00246385a3ef75a52eca661eb7451134193b9d653e45d591a13c581c149b3de0,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_2_03_BA_2025-01-06,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_2,13,BA,2025-01-06,False,3,002b3f9acfdb2a40810f96f7412fa604a278d53f72db22f0431b555e27913119,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_2_04_WMT_2025-06-05,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_2,16,WMT,2025-06-05,False,4,002c9f90404967a6de80aae4b47c174b905841844c8b03809b0f8c080dc7327f,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_2_05_V_2025-03-07,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_2,8,V,2025-03-07,False,5,0036aacc29df668967f4c22f1abf3d19fa6579b2d1af2d0cf893cf2df36897c5,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_2_06_UNH_2025-06-05,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_2,24,UNH,2025-06-05,False,6,003f757d7fb49fc095e2bc5e0975f2c9cb52aa225d3494f9562ec60b3ad5ae4b,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_2_07_CMCSA_2025-06-16,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_2,3,CMCSA,2025-06-16,False,7,00444954b72394a5d0ab37e651624ca8a76e5a654c61557d7a12748eac872a63,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_2_08_DDOG_2025-06-13,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_2,27,DDOG,2025-06-13,False,8,004e70b7c5ff64f53c34b3c284edbfbae7fd18d7da586960d412f362f88ae751,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_2_09_MNDY_2025-03-11,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_2,28,MNDY,2025-03-11,True,9,005e56494e11c38254423489520a916f062d174b522ff51cd41f00f318bcf3ab,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_2_10_MU_2025-09-24,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_2,22,MU,2025-09-24,False,10,00714973ba304f8b077bc120924a31c324737c761c6abe69be6b01495981772c,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
SET_2_11_GS_2025-05-12,PMPD_V4_PARITY_SAMPLE_CANDIDATES_V1,SET_2,7,GS,2025-05-12,False,11,00753411fc6a0a9dfae4662c5c999792164f31cc17b5eddb196e5771c089fd2d,Protocol-hash deterministic symbol/date selection; no PMPD Python signal output used.
